,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-13,한화,8말,김강률,9 박한결,1-0,유격수 병살타,1사 1루 6:6,이닝종료 6:6,2.37,-0.573,60.7,50.0,-0.107
1,2020-08-02,NC,11말,김강률,4 강진성,2-3,중견수 뜬공,무사 4:4,1사 4:4,2.26,-0.258,63.7,58.0,-0.057999999999999996
2,2020-11-20,NC,7초,김강률,3 나성범,0-0,투수 땅볼,무사 1루 6:6,1사 1루 6:6,2.42,-0.38,44.1,49.7,-0.055999999999999994
3,2020-10-16,키움,6말,김강률,4 박병호,2-2,박병호/10470 : 삼진 아웃,1사 1루 1:0,2사 1루 1:0,2.11,-0.322,39.7,34.6,-0.05
4,2020-06-16,삼성,7초,김강률,1 김상수,1-2,유격수 땅볼,1사 1루 3:3,2사 1루 3:3,2.05,-0.322,49.7,54.6,-0.049
5,2020-06-16,삼성,8초,김강률,3 살라디노,2-1,살라디노/14630 : 삼진 아웃,무사 3:3,1사 3:3,1.85,-0.258,50.0,54.7,-0.047
6,2020-06-13,한화,8말,김강률,7 노시환,2-0,노시환/14125 : 삼진 아웃,무사 6:6,1사 6:6,1.81,-0.258,60.7,56.1,-0.046
7,2020-08-02,NC,11말,김강률,5 노진혁,0-1,우익수 파울 뜬공,1사 4:4,2사 4:4,1.8,-0.18,58.0,53.5,-0.045
8,2020-11-20,NC,4초,김강률,4 양의지,2-3,양의지/10165 : 삼진 아웃,"2사 1,2루 6:5",이닝종료 6:5,1.69,-0.466,38.1,42.5,-0.044000000000000004
9,2020-06-16,삼성,7초,김강률,2 구자욱,2-2,유격수 땅볼,2사 1루 3:3,이닝종료 3:3,1.47,-0.251,54.6,58.8,-0.042
10,2020-10-01,한화,5말,김강률,3 노시환,2-0,노시환/14125 : 삼진 아웃,무사 2루 3:4,1사 2루 3:4,1.1,-0.46399999999999997,76.9,72.9,-0.04
11,2020-08-02,NC,11말,김강률,6 권희동,2-1,권희동/11172 : 삼진 아웃,2사 4:4,이닝종료 4:4,1.38,-0.11699999999999999,53.5,50.0,-0.035
12,2020-11-20,NC,6초,김강률,8 알테어,2-2,우익수 뜬공,무사 6:6,1사 6:6,1.34,-0.258,50.0,53.4,-0.034
13,2020-10-10,KT,2말,김강률,1 배정대,2-2,배정대/11212 : 삼진 아웃,1사 1루 2:2,2사 1루 2:2,1.22,-0.322,55.3,52.4,-0.028999999999999998
14,2020-10-10,KT,4말,김강률,8 강민국,2-1,강민국/11243 : 삼진 아웃,"무사 1,2루 8:2","1사 1,2루 8:2",1.15,-0.602,10.4,7.5,-0.028999999999999998
15,2020-10-01,한화,5말,김강률,7 최진행,2-2,최진행/10578 : 삼진 아웃,"2사 1,2루 3:5",이닝종료 3:5,1.08,-0.466,81.1,78.3,-0.027999999999999997
16,2020-07-03,한화,8초,김강률,2 정은원,1-3,1루수 땅볼,"1사 1,2루 1:0","2사 2,3루 1:0",1.87,-0.337,21.7,24.5,-0.027000000000000003
17,2020-10-01,한화,5말,김강률,6 송광민,2-2,송광민/10555 : 삼진 아웃,"1사 1,2루 3:5","2사 1,2루 3:5",1.2,-0.505,83.8,81.1,-0.027000000000000003
18,2020-08-14,KT,7초,김강률,9 심우준,1-3,2루수 뜬공,무사 3:2,1사 3:2,0.98,-0.258,30.5,32.9,-0.025
19,2020-11-20,NC,6초,김강률,9 권희동,1-0,3루수 땅볼,1사 6:6,2사 6:6,0.98,-0.18,53.4,55.8,-0.024
20,2020-10-10,KT,2말,김강률,2 황재균,2-1,황재균/10407 : 삼진 아웃,2사 1루 2:2,이닝종료 2:2,0.84,-0.251,52.4,50.0,-0.024
21,2020-11-20,NC,5초,김강률,5 지석훈,2-2,지석훈/10683 : 삼진 아웃,무사 6:5,1사 6:5,0.94,-0.258,35.9,38.3,-0.024
22,2020-06-25,SK,6말,김강률,3 최정,2-1,최정/10106 : 삼진 아웃,1사 만루 0:3,2사 만루 0:3,0.78,-0.835,94.4,92.0,-0.024
23,2020-08-02,NC,12말,김강률,7 유영준,0-0,우익수 뜬공,무사 7:4,1사 7:4,0.91,-0.258,4.1,1.8,-0.023
24,2020-06-09,NC,4말,김강률,4 강진성,0-0,유격수 뜬공,"1사 2,3루 4:8","2사 2,3루 4:8",0.45,-0.833,94.1,91.7,-0.023
25,2020-10-10,KT,3말,김강률,3 로하스,2-3,로하스/12995 : 삼진 아웃,무사 5:2,1사 5:2,0.91,-0.258,23.1,20.8,-0.023
26,2020-09-27,키움,8초,김강률,6 러셀,2-1,러셀/14742 : 삼진 아웃,"1사 1,2루 4:2","2사 1,2루 4:2",1.02,-0.505,11.5,13.8,-0.023
27,2020-06-14,한화,8말,김강률,5 정진호,2-1,삼진,2사 2루 2:3,이닝종료 2:3,0.8,-0.344,86.0,83.8,-0.023
28,2020-11-21,NC,7초,김강률,8 알테어,1-2,중견수 뜬공,무사 1루 2:0,1사 1루 2:0,0.94,-0.38,15.8,18.0,-0.022000000000000002
29,2020-10-10,KT,4말,김강률,9 심우준,1-2,유격수 땅볼,"1사 1,2루 8:2","2사 1,3루 8:2",0.96,-0.433,7.5,5.5,-0.02
30,2020-08-13,삼성,8말,김강률,9 이성규,0-1,포수 번트 파울 뜬공,무사 1루 2:3,1사 1루 2:3,0.8,-0.38,88.8,86.9,-0.019
31,2020-08-14,KT,7초,김강률,1 배정대,2-1,배정대/11212 : 삼진 아웃,1사 3:2,2사 3:2,0.72,-0.18,32.9,34.7,-0.018000000000000002
32,2020-10-01,한화,4말,김강률,8 최인호,0-1,유격수 땅볼,"무사 1,2루 2:3","1사 1,3루 2:3",1.61,-0.33,76.9,75.1,-0.018000000000000002
