,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-11-18,NC,9말,김민규,2 이명기,1-3,1루수 땅볼,"2사 1,2루 5:4",이닝종료 5:4,6.65,-0.466,17.1,0.0,-0.171
1,2020-11-18,NC,9말,김민규,1 박민우,2-1,박민우/11137 : 삼진 아웃,"1사 1,2루 5:4","2사 1,2루 5:4",7.15,-0.505,33.5,17.1,-0.16399999999999998
2,2020-09-13,키움,8말,김민규,2 김하성,2-2,김하성/11224 : 삼진 아웃,"무사 2,3루 5:3","1사 2,3루 5:3",3.73,-0.585,46.3,33.9,-0.124
3,2020-11-10,KT,4말,김민규,8 배정대,1-1,유격수 병살타,무사 1루 2:1,2사 2:1,1.97,-0.836,47.4,37.3,-0.1
4,2020-10-16,키움,3말,김민규,8 전병우,2-1,유격수 병살타,무사 1루 1:0,2사 1:0,1.79,-0.836,47.8,38.7,-0.091
5,2020-11-13,KT,1초,김민규,4 유한준,0-2,2루수 뜬공,"1사 2,3루 0:0","2사 2,3루 0:0",1.51,-0.833,41.5,49.0,-0.076
6,2020-08-22,SK,1말,김민규,6 최항,1-2,3루수 땅볼,2사 만루 0:0,이닝종료 0:0,2.81,-0.815,57.1,50.0,-0.071
7,2020-11-21,NC,4초,김민규,나성범,,*도루실패(나성범/11162),무사 1루 0:0,1사 0:0,1.76,-0.6559999999999999,45.7,52.7,-0.071
8,2020-10-16,키움,4말,김민규,7 허정협,2-2,허정협/11498 : 삼진 아웃,"2사 1,3루 1:0",이닝종료 1:0,2.4,-0.5379999999999999,42.6,35.9,-0.066
9,2020-11-13,KT,5초,김민규,9 심우준,0-1,2루수 병살타,1사 1루 0:2,이닝종료 0:2,1.51,-0.573,75.1,81.5,-0.064
10,2020-08-02,NC,12말,김민규,1 이명기,2-2,이명기/10119 : 삼진 아웃,"1사 1,2루 7:4","2사 1,2루 7:4",2.7,-0.505,10.1,4.2,-0.059000000000000004
11,2020-11-13,KT,1초,김민규,5 강백호,2-2,삼진,"2사 2,3루 0:0",이닝종료 0:0,1.95,-0.634,49.0,54.8,-0.057999999999999996
12,2020-10-16,키움,3말,김민규,2 서건창,2-1,중견수 뜬공,"2사 1,2루 1:0",이닝종료 1:0,2.02,-0.466,42.7,37.5,-0.052000000000000005
13,2020-11-10,KT,3말,김민규,6 장성우,2-2,장성우/10235 : 삼진 아웃,"2사 1,2루 2:1",이닝종료 2:1,2.02,-0.466,42.7,37.5,-0.052000000000000005
14,2020-10-16,키움,4말,김민규,6 김혜성,1-2,중견수 뜬공,"1사 1,2루 1:0","2사 1,3루 1:0",2.64,-0.433,47.7,42.6,-0.051
15,2020-10-23,키움,4초,김민규,1 박준태,2-3,박준태/11260 : 삼진 아웃,"2사 1,3루 2:1",이닝종료 2:1,1.83,-0.5379999999999999,37.4,42.5,-0.051
16,2020-11-21,NC,3초,김민규,2 이명기,2-1,유격수 뜬공,"2사 1,2루 0:0",이닝종료 0:0,1.87,-0.466,50.7,55.5,-0.048
17,2020-08-15,KT,6초,김민규,7 장성우,2-0,1루수 파울 뜬공,1사 2루 1:3,2사 2루 1:3,1.71,-0.381,76.0,80.8,-0.048
18,2020-11-21,NC,5초,김민규,7 노진혁,0-1,좌익수 뜬공,무사 1루 0:0,1사 1루 0:0,1.93,-0.38,45.3,49.7,-0.045
19,2020-11-13,KT,5초,김민규,8 김민혁,1-1,김민혁/11339 : 2루수 직선타 아웃,무사 1루 0:2,1사 1루 0:2,1.93,-0.38,70.7,75.1,-0.044000000000000004
20,2020-08-02,NC,12말,김민규,2 김성욱,2-2,2루수 뜬공,"2사 1,2루 7:4",이닝종료 7:4,1.64,-0.466,4.2,0.0,-0.042
21,2020-10-11,KT,7말,김민규,3 로하스,2-1,좌익수 뜬공,2사 1루 4:4,이닝종료 4:4,1.48,-0.251,54.2,50.0,-0.042
22,2020-08-30,LG,1말,김민규,2 양석환,2-2,투수 땅볼,무사 2루 0:0,1사 2루 0:0,1.2,-0.46399999999999997,60.7,56.6,-0.040999999999999995
