,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,양현종,10,9,1,5,1,0,0,6,3,1,0,1,0,0,0,1,0,0,0.556,0.600,0.667,1.267,1.19,2.11,0.335
1,김재윤,5,5,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,1.50,1.66,0.278
2,이민우,6,6,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.78,1.12,0.247
3,김진호,2,1,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.00,2.86,0.205
4,김민우,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.71,0.41,0.148
5,샘슨,5,4,1,1,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0.250,0.400,0.500,0.900,1.04,0.36,0.123
6,김명찬,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.26,0.71,0.116
7,정우람,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.13,0.52,0.110
8,김태훈,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.99,1.22,0.110
9,장민재,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.92,0.77,0.108
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,오승환,2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.00,0.64,0.105
12,김민수,4,2,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.66,1.47,0.091
13,가뇽,3,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.26,0.72,0.086
14,고영창,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0.85,-0.17,0.086
15,김윤식,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1.000,0.500,1.000,1.500,0.97,1.33,0.084
16,송명기,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.04,0.40,0.080
17,브룩스,3,3,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.63,1.02,0.073
18,문경찬,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.23,0.67,0.063
19,이재학,5,3,1,1,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0.333,0.600,1.000,1.600,0.94,0.82,0.063
20,조상우,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.80,0.22,0.062
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김대우,3,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,1.667,0.89,0.93,0.061
23,진해수,5,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,1.11,-0.07,0.058
24,라이트,10,8,1,2,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0.250,0.400,0.250,0.650,1.36,-0.09,0.057
25,전유수,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0.81,-0.15,0.056
26,장지훈,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.69,1.02,0.053
27,이우찬,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.68,0.53,0.052
28,안우진,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,1.99,-0.10,0.047
29,요키시,9,9,1,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0.444,0.444,0.556,1.000,0.81,0.57,0.046
30,스트레일리,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.86,-0.19,0.046
31,서준원,6,6,0,2,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.500,0.833,1.08,0.30,0.044
