,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-06,KIA,9말,김명찬,7 류지혁,2-1,좌익수 2루타,무사 3:3,무사 2루 3:3,2.26,0.634,63.7,81.1,0.17300000000000001
1,2020-05-22,삼성,3초,김윤수,9 류지혁,1-2,우익수 안타,무사 1루 0:2,"무사 1,3루 0:2",1.66,0.951,67.4,57.4,0.10099999999999999
2,2020-06-14,SK,9초,하재훈,5 류지혁,2-3,3루수 내야안타,1사 2:3,1사 1루 2:3,2.12,0.276,91.1,82.9,0.08199999999999999
3,2020-06-06,KIA,3말,가뇽,7 류지혁,1-0,우익수 2루타,무사 2:0,무사 2루 2:0,1.05,0.634,32.3,39.3,0.07
4,2020-05-22,삼성,4초,장지훈,9 류지혁,1-0,중견수 안타,무사 만루 3:2,무사 만루 4:2,1.88,1.0,21.7,14.8,0.069
5,2020-06-10,KT,1초,김민,7 류지혁,2-1,2루수 땅볼 실책[실책포함],1사 만루 2:0,1사 만루 3:0,1.86,1.0,23.9,17.5,0.064
6,2020-06-14,SK,7초,박민호,5 류지혁,0-2,중견수 2루타,1사 0:3,1사 2루 0:3,0.59,0.428,92.0,88.3,0.038
7,2020-06-07,KIA,4말,임기영,8 류지혁,1-0,우익수 안타,2사 1루 1:0,"2사 1,3루 1:0",1.09,0.287,39.0,42.6,0.036000000000000004
8,2020-05-23,삼성,4초,김대우,8 류지혁,0-3,볼넷,1사 2:1,1사 1루 2:1,0.67,0.276,39.8,37.3,0.025
9,2020-05-31,롯데,6말,오현택,8 류지혁,0-0,우익수 안타,2사 2:1,2사 1루 2:1,0.75,0.134,32.4,34.6,0.023
10,2020-06-07,KIA,2말,임기영,8 류지혁,1-3,몸에 맞는 볼,2사 1루 1:0,"2사 1,2루 1:0",0.9,0.215,41.1,43.4,0.022000000000000002
11,2020-06-11,KT,1초,김민수,4 류지혁,1-0,좌익수 안타,2사 1루 0:0,"2사 1,2루 0:0",0.79,0.215,52.6,50.6,0.02
12,2020-06-12,SK,4초,박종훈,5 류지혁,1-3,몸에 맞는 볼,1사 2:0,1사 1루 2:0,0.51,0.276,28.5,26.6,0.019
13,2020-06-12,SK,6초,박종훈,5 류지혁,2-2,3루수 내야안타,2사 4:3,2사 1루 4:3,0.48,0.134,38.0,36.6,0.013999999999999999
14,2020-06-12,SK,6초,박종훈,류지혁,,*도루(류지혁/10894),2사 1루 4:3,2사 2루 4:3,0.92,0.09300000000000001,36.6,35.4,0.012
15,2020-05-22,삼성,7초,노성호,9 류지혁,1-2,좌익수 안타,"1사 1,2루 8:4",1사 만루 8:4,0.42,0.679,4.9,3.7,0.012
16,2020-05-23,삼성,2초,김대우,8 류지혁,2-3,몸에 맞는 볼,2사 2루 0:1,"2사 1,2루 0:1",1.21,0.122,62.3,61.2,0.012
