,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-19,LG,4말,임찬규,1 박건우,2-3,중견수 2루타,2사 만루 5:3,2사 2루 5:6,3.78,2.529,34.1,67.3,0.332
1,2020-08-02,NC,12초,강동연,1 박건우,1-3,중견수 2루타,무사 1루 4:4,무사 2루 5:4,3.44,1.236,41.8,11.5,0.303
2,2020-09-03,삼성,8초,오승환,1 박건우,1-1,중견수 2루타,2사 1루 9:9,2사 3루 10:9,1.8,1.136,55.6,26.1,0.295
3,2020-05-31,롯데,8말,이인복,7 박건우,2-1,중견수 안타,"1사 2,3루 3:1",1사 1루 3:3,3.72,1.1059999999999999,33.9,60.7,0.26899999999999996
4,2020-09-27,키움,7말,안우진,9 박건우,0-0,좌익수 안타[실책포함],"1사 1,2루 2:0","1사 1,3루 2:1",3.61,1.272,29.0,50.4,0.213
5,2020-05-07,LG,5초,정찬헌,1 박건우,0-1,좌익수 홈런,무사 1루 3:3,무사 5:3,1.93,1.6019999999999999,45.3,24.5,0.20800000000000002
6,2020-06-27,NC,8말,배재환,3 박건우,2-3,좌익수 안타,무사 2루 3:3,무사 2루 3:4,2.06,1.0,74.0,90.7,0.16699999999999998
7,2020-11-18,NC,2초,구창모,9 박건우,2-1,3루수 내야안타[실책포함],"1사 1,2루 0:0","1사 2,3루 1:0",2.05,1.496,46.0,31.5,0.146
8,2020-07-15,SK,5말,핀토,1 박건우,1-2,중견수 홈런,무사 2:2,무사 2:3,1.17,1.0,56.6,71.0,0.14400000000000002
9,2020-09-16,NC,5말,김영규,1 박건우,1-1,좌익수 안타,2사 2루 3:2,2사 1루 3:3,1.77,0.907,38.8,53.1,0.14400000000000002
10,2020-09-15,NC,3말,라이트,1 박건우,0-0,좌익수 안타,"1사 2,3루 2:0",1사 1루 2:2,1.92,1.1059999999999999,42.7,55.7,0.131
11,2020-08-22,SK,4초,핀토,1 박건우,1-0,좌익수 홈런,무사 0:0,무사 1:0,1.08,1.0,50.0,37.5,0.125
12,2020-10-15,한화,3말,장민재,1 박건우,1-0,좌익수 2루타,"무사 1,3루 1:0","무사 2,3루 1:1",1.99,1.148,58.7,70.8,0.121
13,2020-05-15,KIA,4초,임기영,1 박건우,1-3,볼넷,2사 만루 1:1,2사 만루 2:1,3.48,1.0,47.2,35.3,0.12
