,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-26,SK,8말,서진용,8 정수빈,0-1,포수 희생번트 실책[실책포함],"무사 1,2루 3:1","무사 2,3루 3:2",4.32,1.479,36.3,68.4,0.321
1,2020-09-03,삼성,8초,우규민,7 정수빈,1-1,중견수 3루타,무사 2루 8:9,무사 3루 9:9,2.93,1.2930000000000001,60.1,28.6,0.314
2,2020-07-14,SK,5말,이건욱,9 정수빈,1-2,우익수 홈런,2사 1루 2:1,2사 2:3,1.26,1.8659999999999999,37.3,67.3,0.301
3,2020-08-29,LG,8초,이정용,7 정수빈,2-1,중견수 안타,"1사 2,3루 3:5",1사 1루 5:5,3.24,1.1059999999999999,71.7,49.8,0.21899999999999997
4,2020-07-21,키움,6말,요키시,9 정수빈,2-0,우익수 3루타,무사 1루 0:0,무사 3루 0:1,2.07,1.5290000000000001,62.6,83.5,0.209
5,2020-08-20,롯데,6말,구승민,2 정수빈,1-2,우익수 2루타,"2사 1,3루 3:2","2사 2,3루 3:3",3.21,1.0959999999999999,39.3,58.7,0.19399999999999998
6,2020-08-01,NC,4초,라이트,8 정수빈,0-0,좌익수 안타,2사 만루 1:3,"2사 1,2루 3:3",3.49,1.651,70.0,50.8,0.192
7,2020-08-22,SK,4초,핀토,7 정수빈,0-1,중견수 안타,2사 만루 1:0,"2사 1,3루 3:0",2.87,1.723,35.3,18.2,0.171
8,2020-08-29,LG,2초,임찬규,7 정수빈,1-1,우익수 홈런,1사 2루 0:0,1사 2:0,1.29,1.5719999999999998,48.1,31.6,0.165
9,2020-08-01,NC,6초,라이트,8 정수빈,1-1,좌익수 안타,"1사 1,2루 3:4","1사 1,2루 4:4",3.23,1.0,59.9,44.5,0.154
10,2020-10-17,키움,2초,이승호,7 정수빈,0-1,우익수 2루타,"1사 1,3루 0:0",1사 2루 2:0,1.93,1.482,43.1,28.4,0.146
11,2020-06-09,NC,4초,최성영,7 정수빈,1-0,좌익수 2루타,1사 1루 2:3,1사 2루 3:3,1.51,1.1520000000000001,62.2,47.7,0.145
12,2020-06-06,KIA,9말,김명찬,8 정수빈,1-1,포수 야수선택(희번),무사 2루 3:3,"무사 1,3루 3:3",2.58,0.715,81.1,93.7,0.126
13,2020-10-06,SK,6초,강지광,8 정수빈,1-1,투수 희생번트 실책[실책포함],"무사 1,2루 4:3","무사 2,3루 5:3",1.85,1.479,24.4,11.8,0.126
14,2020-07-25,LG,2말,켈리,8 정수빈,0-1,우익수 2루타,"1사 2,3루 1:1",1사 2루 1:3,1.57,1.258,64.1,76.4,0.122
15,2020-08-01,NC,10초,원종현,8 정수빈,0-0,3루수 번트안타,무사 1루 8:8,"무사 1,2루 8:8",3.44,0.62,41.8,30.2,0.11699999999999999
16,2020-08-13,삼성,9초,오승환,7 정수빈,1-3,좌익수 안타,무사 2:3,무사 1루 2:3,2.87,0.39799999999999996,83.8,72.3,0.115
17,2020-06-07,KIA,6말,김명찬,8 정수빈,1-3,우익수 안타,1사 1루 2:1,"1사 1,3루 2:1",2.11,0.67,39.7,51.0,0.114
18,2020-11-20,NC,3말,라이트,2 정수빈,1-0,우익수 3루타,무사 3:2,무사 3루 3:2,1.08,0.927,43.4,54.5,0.111
19,2020-08-26,KIA,7말,김명찬,1 정수빈,2-1,좌익수 안타,무사 1루 4:2,"무사 1,2루 4:2",2.66,0.62,28.3,38.8,0.106
20,2020-10-10,KT,2초,쿠에바스,7 정수빈,0-1,우익수 안타[실책포함],1사 2루 1:1,1사 2루 2:1,1.29,1.0,48.1,37.7,0.10300000000000001
21,2020-08-20,롯데,8말,김원중,2 정수빈,0-0,우익수 2루타,2사 1루 4:3,"2사 2,3루 4:3",2.43,0.38299999999999995,23.1,33.4,0.10300000000000001
22,2020-06-25,SK,3초,박종훈,9 정수빈,0-0,중견수 3루타,2사 1루 6:4,2사 3루 7:4,0.65,1.136,30.5,20.8,0.098
23,2020-10-20,롯데,2초,샘슨,1 정수빈,1-0,우익수 홈런,1사 2루 3:0,1사 5:0,0.74,1.5719999999999998,20.6,11.2,0.094
24,2020-10-06,SK,2초,이건욱,8 정수빈,0-3,볼넷,1사 만루 0:0,1사 만루 1:0,2.68,1.0,39.7,30.6,0.092
25,2020-10-24,롯데,1말,박세웅,1 정수빈,0-1,우익수 3루타,무사 0:0,무사 3루 0:0,0.87,0.927,54.8,63.8,0.09
26,2020-09-20,LG,8말,진해수,8 정수빈,2-3,볼넷,무사 1루 5:2,"무사 1,2루 5:2",1.98,0.62,13.4,22.3,0.09
