,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-09,NC,1말,조제영,2 이명기,2-1,이명기/10119 : 삼진 아웃,무사 2루 0:0,1사 2루 0:0,1.2,-0.46399999999999997,60.7,56.6,-0.040999999999999995
1,2020-06-09,NC,1말,조제영,3 나성범,2-2,나성범/11162 : 삼진 아웃,1사 2루 0:0,2사 2루 0:0,1.21,-0.381,56.6,53.2,-0.034
2,2020-06-09,NC,2말,조제영,알테어,,*도루실패(알테어/14599),무사 1루 0:3,1사 0:3,0.74,-0.6559999999999999,84.3,81.3,-0.03
3,2020-06-09,NC,1말,조제영,7 노진혁,0-2,2루수 땅볼,2사 1루 0:3,이닝종료 0:3,0.44,-0.251,79.5,78.2,-0.013000000000000001
4,2020-06-09,NC,3말,조제영,2 이명기,2-3,중견수 뜬공,무사 0:3,1사 0:3,0.45,-0.258,84.3,83.2,-0.011000000000000001
5,2020-06-09,NC,2말,조제영,9 권희동,2-3,권희동/11172 : 삼진 아웃,1사 0:3,2사 0:3,0.34,-0.18,81.3,80.4,-0.008
6,2020-06-09,NC,3말,조제영,3 나성범,0-0,중견수 뜬공,1사 0:3,2사 0:3,0.32,-0.18,83.2,82.4,-0.008
7,2020-06-09,NC,2말,조제영,1 박민우,2-1,좌익수 뜬공,2사 0:3,이닝종료 0:3,0.23,-0.11699999999999999,80.4,79.9,-0.006
8,2020-06-09,NC,3말,조제영,4 강진성,2-3,강진성/11148 : 삼진 아웃,2사 0:3,이닝종료 0:3,0.22,-0.11699999999999999,82.4,81.8,-0.006
9,2020-06-23,SK,9말,조제영,3 이현석,2-1,이현석/11369 : 삼진 아웃,"1사 1,2루 9:2","2사 1,2루 9:2",0.1,-0.505,0.2,0.1,-0.002
10,2020-06-23,SK,9말,조제영,9 김성현,2-0,삼진,무사 9:2,1사 9:2,0.03,-0.258,0.1,0.0,-0.001
11,2020-06-23,SK,9말,조제영,4 로맥,1-1,중견수 뜬공,"2사 1,2루 9:2",이닝종료 9:2,0.02,-0.466,0.1,0.0,-0.001
12,2020-06-25,SK,9말,조제영,3 채태인,0-0,좌익수 파울 뜬공,무사 14:6,1사 14:6,0.02,-0.258,0.1,0.0,-0.001
13,2020-06-25,SK,8말,조제영,7 이재원,2-3,중견수 뜬공,"2사 1,2루 0:7",이닝종료 0:7,0.01,-0.466,99.9,99.9,-0.0
14,2020-06-25,SK,8말,조제영,4 로맥,2-1,유격수 땅볼,"무사 1,2루 0:6","1사 1,3루 0:6",0.02,-0.33,99.9,99.9,-0.0
15,2020-06-25,SK,9말,조제영,6 정진기,2-1,유격수 땅볼,2사 1루 14:6,이닝종료 14:6,0.0,-0.251,0.0,0.0,-0.0
16,2020-06-25,SK,9말,조제영,4 정현,0-2,좌익수 뜬공,1사 14:6,2사 14:6,0.01,-0.18,0.0,0.0,-0.0
17,2020-06-25,SK,8말,조제영,5 정의윤,1-3,볼넷,"1사 1,3루 0:6",1사 만루 0:6,0.02,0.40700000000000003,99.9,99.9,0.0
18,2020-06-25,SK,9말,조제영,5 고종욱,2-1,좌익수 안타,2사 14:6,2사 1루 14:6,0.0,0.134,0.0,0.0,0.0
19,2020-06-25,SK,8말,조제영,6 김강민,1-0,3루수 땅볼,1사 만루 0:6,"2사 1,2루 0:7",0.02,-0.184,99.9,99.9,0.0
20,2020-06-25,SK,8말,조제영,2 최지훈,1-3,볼넷,무사 0:6,무사 1루 0:6,0.01,0.39799999999999996,99.8,99.8,0.0
21,2020-06-25,SK,8말,조제영,3 최정,2-3,몸에 맞는 볼,무사 1루 0:6,"무사 1,2루 0:6",0.02,0.62,99.8,99.9,0.001
22,2020-06-23,SK,9말,조제영,1 고종욱,1-1,유격수 내야안타,1사 9:2,1사 1루 9:2,0.02,0.276,0.0,0.1,0.001
