,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-13,롯데,7초,진명호,5 최주환,1-2,우익수 홈런,"1사 1,2루 5:7",1사 8:7,3.17,2.326,75.3,32.9,0.424
1,2020-09-10,KIA,9초,전상현,5 최주환,2-1,우익수 안타,"2사 1,2루 4:4","2사 1,2루 5:4",4.46,1.0,52.3,16.8,0.355
2,2020-09-18,KT,9초,김재윤,2 최주환,2-3,좌익수 2루타,2사 2루 3:4,2사 2루 4:4,3.94,1.0,88.8,53.4,0.354
3,2020-05-30,롯데,7말,박진형,6 최주환,2-1,우익수 홈런,1사 2루 3:1,1사 3:3,2.13,1.5719999999999998,24.4,54.9,0.306
4,2020-07-03,한화,8말,황영국,5 최주환,1-0,좌익수 안타,"1사 1,2루 1:0","1사 1,2루 1:1",5.24,1.0,40.4,67.0,0.266
5,2020-05-26,SK,8말,서진용,3 최주환,1-2,우익수 안타,"2사 1,3루 3:3","2사 1,2루 3:4",3.85,0.9279999999999999,60.7,86.4,0.257
6,2020-06-18,삼성,5말,허윤동,3 최주환,0-1,우익수 홈런,2사 3루 3:1,2사 3:3,1.72,1.73,26.4,51.5,0.251
7,2020-11-13,KT,4말,소형준,5 최주환,1-3,우익수 홈런,2사 2루 0:0,2사 0:2,1.46,1.7730000000000001,54.1,76.3,0.222
8,2020-10-07,SK,6초,박민호,2 최주환,1-2,좌익수 안타,"2사 1,2루 3:4","2사 1,3루 4:4",2.73,1.072,67.2,49.9,0.17300000000000001
9,2020-10-16,키움,7초,안우진,2 최주환,2-2,우익수 안타,1사 2루 1:1,1사 1루 2:1,2.16,0.848,46.5,30.3,0.162
10,2020-07-26,LG,2말,이민호,5 최주환,0-1,우익수 홈런,무사 1루 0:0,무사 0:2,1.51,1.6019999999999999,58.8,75.0,0.162
11,2020-06-25,SK,2초,박종훈,3 최주환,2-2,우익수 안타,"2사 2,3루 4:3",2사 2루 6:3,1.84,1.71,38.6,22.7,0.159
12,2020-09-27,키움,5말,김성민,3 최주환,1-1,우익수 2루타[실책포함],"1사 1,2루 1:2",1사 2루 1:4,1.79,1.754,74.4,89.6,0.151
13,2020-09-25,삼성,1말,최채흥,3 최주환,2-1,좌익수 3루타,"무사 1,3루 1:0",무사 3루 1:2,1.75,1.578,57.8,72.7,0.149
14,2020-08-29,LG,8초,진해수,5 최주환,1-1,중견수 안타,무사 1루 3:5,"무사 1,3루 3:5",2.61,0.951,79.9,65.1,0.149
15,2020-10-22,KT,3말,쿠에바스,2 최주환,2-1,우익수 안타,"무사 1,2루 1:0","무사 1,3루 1:1",2.32,1.331,54.6,69.4,0.14800000000000002
16,2020-05-07,LG,4초,정찬헌,5 최주환,0-0,2루수 땅볼 실책[실책포함],무사 1루 1:1,무사 2루 2:1,1.76,1.236,45.7,31.2,0.14400000000000002
17,2020-07-30,키움,6말,최원태,5 최주환,0-0,우익수 홈런,"무사 1,2루 7:2",무사 7:5,1.5,1.982,11.6,25.5,0.139
18,2020-05-31,롯데,8말,진명호,5 최주환,1-3,볼넷,무사 1루 3:1,"무사 1,2루 3:1",3.05,0.62,24.1,36.3,0.122
19,2020-09-05,SK,4말,이건욱,5 최주환,1-0,좌익수 안타,"2사 1,3루 0:0","2사 1,2루 0:1",2.18,0.9279999999999999,56.0,68.1,0.121
20,2020-05-23,삼성,3초,김대우,3 최주환,2-1,우익수 홈런,1사 1:1,1사 2:1,0.72,1.0,52.5,40.8,0.11699999999999999
21,2020-06-18,삼성,7말,김윤수,3 최주환,0-0,중견수 안타,"1사 1,3루 3:3","1사 1,2루 3:4",3.29,0.728,70.6,82.0,0.114
22,2020-08-25,KIA,2말,이민우,5 최주환,1-1,좌익수 홈런,1사 0:0,1사 0:1,0.67,1.0,52.8,63.8,0.11
23,2020-07-05,한화,6말,채드벨,6 최주환,2-2,유격수 내야안타,무사 2루 4:2,"무사 1,3루 4:2",2.04,0.715,34.5,45.4,0.109
24,2020-10-01,한화,1초,김이환,3 최주환,2-2,우익수 홈런,2사 0:0,2사 1:0,0.4,1.0,53.8,43.6,0.102
25,2020-09-08,KT,4말,배제성,5 최주환,0-0,우익수 홈런,무사 0:1,무사 0:2,0.83,1.0,68.8,78.9,0.102
26,2020-10-10,KT,1초,쿠에바스,2 최주환,0-1,우익수 홈런,1사 0:0,1사 1:0,0.62,1.0,52.2,42.2,0.1
27,2020-08-04,삼성,6말,원태인,6 최주환,1-3,우익수 안타,1사 1루 5:3,"1사 1,3루 5:3",1.85,0.67,26.0,35.5,0.096
28,2020-08-14,KT,6말,데스파이네,5 최주환,2-3,볼넷,무사 1루 3:2,"무사 1,2루 3:2",2.56,0.62,45.6,55.0,0.094
29,2020-07-15,SK,5말,핀토,5 최주환,2-3,중견수 안타,"1사 1,2루 2:3","1사 1,2루 2:4",1.79,1.0,74.4,83.8,0.094
30,2020-06-25,SK,4초,박종훈,3 최주환,2-1,우익수 안타,무사 1루 7:6,"무사 1,3루 7:6",1.45,0.951,33.9,24.9,0.09
