,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김웅빈,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.72,1.11,0.269
1,서건창,7,7,2,2,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0.286,0.286,0.571,0.857,1.37,0.47,0.205
2,반즈,3,3,1,1,0,0,1,4,4,0,0,0,0,0,2,0,0,0,0.333,0.333,1.333,1.667,0.71,1.50,0.146
3,유한준,7,7,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.143,0.143,0.571,0.714,0.91,0.29,0.134
4,박용택,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.57,1.00,0.103
5,하주석,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.97,0.73,0.067
6,김현수,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.83,0.27,0.062
7,송광민,4,4,1,2,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0.500,0.500,0.750,1.250,0.29,1.20,0.060
8,이정후,5,4,1,3,0,0,0,3,1,0,1,1,0,1,1,0,0,0,0.750,0.800,0.750,1.550,0.82,1.49,0.049
9,최인호,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.57,0.26,0.046
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,최재훈,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.28,1.58,0.045
12,홍창기,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.50,0.07,0.043
13,노수광,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,0.32,-0.30,0.024
14,박병호,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,0.60,-0.62,0.018
15,박해민,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.31,0.43,0.015
16,이형종,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,0.61,0.42,0.013
