,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-05,KIA,7말,이민우,7 김재호,1-2,좌익수 안타,2사 1루 1:1,"2사 1,3루 1:2",1.48,1.287,54.2,79.1,0.25
1,2020-10-14,한화,7말,김민우,9 김재호,0-2,좌익수 안타,2사 2루 1:1,2사 1루 1:2,2.25,0.907,56.4,76.9,0.205
2,2020-08-28,NC,3초,김진호,8 김재호,0-1,좌익수 홈런,"2사 1,3루 2:0",2사 5:0,1.41,2.5789999999999997,28.4,10.2,0.182
3,2020-10-02,KIA,4말,양현종,8 김재호,1-1,중견수 2루타,"1사 2,3루 1:0",1사 2루 1:2,2.05,1.258,54.2,70.6,0.163
4,2020-08-14,KT,9말,김재윤,8 김재호,1-0,좌익수 안타,무사 3:2,무사 1루 3:2,3.47,0.39799999999999996,20.0,33.4,0.134
5,2020-05-13,롯데,3초,서준원,6 김재호,0-0,좌익수 2루타,"1사 1,2루 3:2","1사 2,3루 4:2",1.88,1.496,35.0,21.7,0.133
6,2020-06-10,NC,5초,루친스키,7 김재호,2-3,좌익수 홈런,2사 1:0,2사 2:0,0.47,1.0,40.0,27.5,0.125
7,2020-07-30,키움,8말,안우진,7 김재호,0-3,볼넷,무사 1루 7:5,"무사 1,2루 7:5",3.05,0.62,24.1,36.3,0.122
8,2020-11-20,NC,3말,김영규,6 김재호,2-2,중견수 안타,"1사 2,3루 3:3",1사 1루 3:5,1.68,1.1059999999999999,65.2,76.9,0.11699999999999999
9,2020-10-20,롯데,2초,샘슨,8 김재호,1-0,중견수 2루타,"1사 1,3루 0:0","1사 2,3루 1:0",1.93,1.224,43.1,31.5,0.11599999999999999
10,2020-06-07,KIA,6말,고영창,7 김재호,0-1,중견수 안타,1사 2루 2:0,1사 1루 2:1,1.91,0.848,28.1,39.7,0.11599999999999999
11,2020-09-18,KT,9초,김재윤,8 김재호,1-1,유격수 땅볼 실책[실책포함],무사 3:4,무사 1루 3:4,2.87,0.39799999999999996,83.8,72.3,0.115
12,2020-11-20,NC,7말,김진성,6 김재호,1-1,중견수 안타,"1사 1,3루 6:6","1사 1,2루 6:7",3.29,0.728,70.6,82.0,0.114
13,2020-09-13,키움,5초,김태훈,7 김재호,2-3,유격수 땅볼 실책[실책포함],"1사 1,3루 2:1","1사 2,3루 3:1",1.99,1.224,28.8,17.8,0.11
