,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,배재환,5,4,2,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,0.89,1.96,0.317
1,강동연,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.43,1.24,0.303
2,임찬규,7,6,0,2,2,0,0,4,3,0,0,1,0,0,1,1,0,0,0.333,0.429,0.667,1.095,1.28,2.03,0.279
3,채드벨,6,5,3,3,1,0,2,10,2,0,0,1,0,1,1,0,0,0,0.600,0.667,2.000,2.667,1.30,2.70,0.272
4,이인복,4,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.88,0.26,0.207
5,이건욱,10,7,5,2,0,0,1,5,1,1,0,2,1,0,2,0,0,0,0.286,0.500,0.714,1.214,1.06,2.10,0.199
6,안우진,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.42,1.02,0.178
7,라이트,14,13,3,6,3,0,0,9,3,0,0,0,1,0,0,0,0,0,0.462,0.500,0.692,1.192,1.13,1.94,0.170
8,정찬헌,3,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.17,1.16,0.168
9,오승환,3,3,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,2.84,0.32,0.161
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김태훈,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,1.12,1.73,0.150
12,원태인,8,7,3,4,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0.571,0.625,0.714,1.339,0.87,1.58,0.149
13,한승주,2,2,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.65,1.40,0.145
14,양현종,8,6,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0.333,0.500,0.500,1.000,1.01,1.03,0.134
15,장시환,6,6,1,4,1,0,0,5,2,0,0,0,0,0,0,1,0,0,0.667,0.667,0.833,1.500,0.83,1.97,0.134
16,이태양,3,3,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,0.49,0.95,0.126
17,송명기,4,3,3,2,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0.667,0.750,1.333,2.083,1.29,1.13,0.114
18,핀토,9,9,2,4,1,0,2,11,2,0,0,0,0,0,2,1,0,0,0.444,0.444,1.222,1.667,1.01,0.15,0.114
19,김진욱,6,6,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,0.81,0.70,0.109
20,조영우,4,3,2,2,2,0,0,4,2,0,0,1,0,0,0,0,0,0,0.667,0.750,1.333,2.083,0.71,2.65,0.098
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김영규,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.15,0.40,0.098
23,노경은,7,6,1,3,1,0,0,4,2,0,0,0,0,0,0,1,0,1,0.500,0.429,0.667,1.095,1.26,0.40,0.095
24,스트레일리,5,4,2,3,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0.750,0.800,0.750,1.550,0.79,1.62,0.092
25,임기영,8,7,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0.286,0.375,0.286,0.661,1.18,0.47,0.089
26,박상원,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.96,1.35,0.087
27,박진우,4,3,0,2,1,0,0,3,1,0,0,1,0,1,0,0,0,0,0.667,0.750,1.000,1.750,1.14,1.84,0.087
28,장민재,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.16,0.57,0.083
29,이민우,10,9,3,4,2,0,0,6,1,0,0,0,0,0,1,0,0,1,0.444,0.400,0.667,1.067,1.12,0.80,0.079
30,루친스키,3,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.96,0.77,0.070
31,백정현,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.04,0.41,0.069
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김대현,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.05,0.75,0.062
34,정우람,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.57,0.28,0.061
35,장지훈,2,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.82,1.73,0.059
36,정해영,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.64,0.89,0.058
37,강지광,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.54,0.62,0.056
38,이우찬,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.36,0.30,0.052
39,노성호,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.34,0.87,0.044
40,김민,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.99,0.38,0.043
41,권오준,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.61,0.02,0.039
42,김이환,5,4,1,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0.500,0.500,0.500,1.000,1.07,0.82,0.039
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,라이블리,10,9,2,2,1,0,1,6,1,0,0,1,0,0,2,0,0,0,0.222,0.300,0.667,0.967,1.12,0.25,0.038
45,박종훈,8,6,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0.333,0.500,0.333,0.833,0.89,0.39,0.037
46,송승준,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.50,0.63,0.035
47,강재민,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,0.93,-0.53,0.035
48,이재학,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.000,0.667,0.000,0.667,1.28,0.33,0.033
49,서폴드,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.51,0.37,0.033
50,김정빈,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.36,1.42,0.033
51,한현희,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.54,0.14,0.031
52,구승민,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.20,1.54,0.027
53,문성현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.68,0.40,0.027
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,하준호,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.36,0.75,0.026
56,김진호,3,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,0.62,0.96,0.025
57,가뇽,6,6,1,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,1.18,0.35,0.025
58,김선기,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1.10,0.38,0.022
59,뷰캐넌,7,6,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.167,0.286,0.333,0.619,0.71,-0.30,0.017
60,박준표,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.36,0.03,0.017
61,원종현,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,3.77,-0.33,0.016
62,데스파이네,12,11,3,4,1,0,1,8,1,1,0,1,0,0,1,0,0,0,0.364,0.417,0.727,1.144,1.06,0.40,0.015
63,백승건,4,4,1,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0.250,0.250,0.500,0.750,0.57,-0.34,0.015
64,김윤수,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.000,0.500,0.000,0.500,1.82,-0.06,0.014
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,이창재,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.17,1.10,0.012
67,김진성,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.39,0.37,0.011
68,백청훈,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.08,1.77,0.010
69,윤정현,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.45,0.07,0.010
70,김범수,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,1.21,0.20,0.009
71,이승민,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.20,1.16,0.008
72,문승원,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,0.93,0.02,0.007
73,김주한,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.000,,,0.19,0.23,0.007
74,김대우,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.25,0.03,0.006
75,류희운,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1.000,0.667,1.000,1.667,0.07,0.57,0.005
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,차우찬,9,6,1,1,1,0,0,2,2,0,0,2,0,0,0,0,0,1,0.167,0.333,0.333,0.667,1.18,0.58,0.005
78,양기현,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.07,0.63,0.005
79,김진영,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.13,0.13,0.004
80,김재열,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.07,0.003
81,배민서,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.09,0.40,0.002
82,신재웅,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,0.29,0.002
83,김태훈,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.59,0.28,0.002
84,오원석,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.74,0.14,0.002
85,장현식,5,3,3,2,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0.667,0.800,0.667,1.467,0.74,1.93,0.000
86,강동호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.01,0.22,0.000
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,이대은,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
89,김대유,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
90,황영국,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.98,0.000
91,이강준,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.40,0.000
92,임현준,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
93,박주성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.18,0.000
94,홍성무,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
95,김건국,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.01,0.40,0.000
96,박진태,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.26,0.000
97,이상화,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,고영창,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.18,0.31,-0.001
100,서균,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.26,-0.001
101,김재웅,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.02,-0.03,-0.001
102,양승철,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.05,0.05,-0.001
