,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-24,삼성,9초,이영하,6 이원석,0-0,유격수 병살타,무사 1루 0:1,2사 0:1,4.61,-0.836,72.3,96.4,-0.24100000000000002
1,2020-10-14,한화,9초,이영하,9 오선진,2-1,삼진,2사 만루 1:2,이닝종료 1:2,9.19,-0.815,76.9,100.0,-0.23199999999999998
2,2020-09-18,KT,10말,이영하,7 박승욱,2-2,박승욱/10804 : 삼진 아웃,1사 만루 4:4,2사 만루 4:4,5.64,-0.835,83.3,65.9,-0.175
3,2020-10-11,KT,10말,이영하,5 조용호,2-0,좌익수 뜬공,1사 만루 4:4,2사 만루 4:4,5.64,-0.835,83.3,65.9,-0.175
4,2020-09-13,키움,9말,이영하,4 이정후,2-1,이정후/12906 : 삼진 아웃,2사 만루 6:6,이닝종료 6:6,6.39,-0.815,65.9,50.0,-0.159
5,2020-09-18,KT,10말,이영하,8 문상철,2-3,문상철/11333 : 삼진 아웃,2사 만루 4:4,이닝종료 4:4,6.39,-0.815,65.9,50.0,-0.159
6,2020-08-07,롯데,2초,이영하,7 안치홍,1-0,우익수 뜬공,"무사 2,3루 0:0",2사 3루 0:0,1.5,-1.665,35.5,51.3,-0.158
7,2020-11-09,KT,8말,이영하,2 강백호,1-2,2루수 뜬공,"1사 2,3루 2:0","2사 2,3루 2:0",3.72,-0.833,33.9,19.8,-0.14
8,2020-11-09,KT,9말,이영하,7 조용호,1-2,포수 번트 파울 뜬공,무사 1루 3:2,1사 1루 3:2,5.4,-0.38,33.4,20.9,-0.125
9,2020-11-05,LG,8말,이영하,2 오지환,1-0,좌익수 뜬공,"2사 1,2루 8:7",이닝종료 8:7,4.74,-0.466,28.4,16.2,-0.122
10,2020-11-05,LG,8말,이영하,1 홍창기,1-2,좌익수 뜬공,"1사 1,2루 8:7","2사 1,2루 8:7",5.24,-0.505,40.4,28.4,-0.12
11,2020-07-19,KIA,4말,이영하,8 박찬호,1-1,우익수 안타,"무사 1,3루 3:2","1사 1,2루 3:2",2.16,-0.9329999999999999,59.4,47.7,-0.11699999999999999
12,2020-07-26,LG,7초,이영하,7 이형종,0-2,좌익수 뜬공,"무사 1,3루 1:2","1사 1,3루 1:2",3.02,-0.6609999999999999,45.4,56.7,-0.113
13,2020-11-09,KT,9말,이영하,8 배정대,2-1,3루수 땅볼,1사 1루 3:2,2사 1루 3:2,4.68,-0.322,20.9,9.8,-0.111
14,2020-05-06,LG,6말,이영하,7 김민성,1-1,3루수 병살타,"1사 1,2루 5:2",이닝종료 5:2,2.54,-0.971,21.0,10.3,-0.107
15,2020-06-05,KIA,6초,이영하,7 장영석,0-0,중견수 뜬공,2사 만루 1:1,이닝종료 1:1,4.23,-0.815,46.9,57.5,-0.107
