,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-01,NC,10말,이형범,7 김형준,1-0,김형준/13081 : 유격수 직선타 아웃,1사 만루 12:10,이닝종료 12:10,7.38,-1.65,33.0,0.0,-0.33
1,2020-08-01,NC,9말,이형범,9 이상호,0-1,중견수 뜬공,"2사 1,2루 8:8",이닝종료 8:8,4.37,-0.466,61.2,50.0,-0.11199999999999999
2,2020-05-10,KT,8초,이형범,2 오태곤,1-1,우익수 뜬공,"2사 1,2루 9:10",이닝종료 9:10,4.1,-0.466,76.3,86.9,-0.105
3,2020-05-10,KT,9초,이형범,4 유한준,0-1,포수 파울 뜬공,무사 10:11,1사 10:11,2.87,-0.258,83.8,91.1,-0.073
4,2020-05-10,KT,10초,이형범,8 송민섭,2-3,우익수 뜬공,무사 11:11,1사 11:11,2.32,-0.258,50.0,55.9,-0.059000000000000004
5,2020-05-30,롯데,11초,이형범,8 정보근,0-0,1루수 뜬공,무사 4:4,1사 4:4,2.32,-0.258,50.0,55.9,-0.059000000000000004
6,2020-07-31,NC,5말,이형범,7 강진성,1-3,중견수 뜬공,"2사 1,2루 4:4",이닝종료 4:4,2.23,-0.466,55.7,50.0,-0.057
7,2020-05-10,KT,9초,이형범,5 로하스,2-0,1루수 뜬공,1사 10:11,2사 10:11,2.12,-0.18,91.1,96.4,-0.053
8,2020-07-31,NC,6말,이형범,9 권희동,2-3,권희동/11172 : 삼진 아웃,무사 2루 7:4,1사 2루 7:4,1.65,-0.46399999999999997,22.6,17.6,-0.05
9,2020-08-26,KIA,7초,이형범,7 홍종표,0-1,중견수 뜬공,2사 만루 4:2,이닝종료 4:2,1.86,-0.815,16.8,21.5,-0.047
10,2020-05-10,KT,10초,이형범,1 심우준,2-2,유격수 땅볼,1사 1루 11:11,2사 2루 11:11,3.04,-0.22899999999999998,50.0,53.4,-0.035
11,2020-05-10,KT,9초,이형범,7 박승욱,0-0,좌익수 뜬공,2사 11:11,이닝종료 11:11,1.32,-0.11699999999999999,60.4,63.7,-0.034
12,2020-07-19,KIA,6말,이형범,6 유민상,2-2,유격수 뜬공,무사 4:4,1사 4:4,1.32,-0.258,57.5,54.2,-0.034
13,2020-05-28,SK,7초,이형범,5 정진기,2-3,1루수 땅볼,1사 만루 4:1,2사 만루 4:1,0.93,-0.835,6.8,9.6,-0.027999999999999997
14,2020-05-13,롯데,8말,이형범,7 한동희,0-0,우익수 뜬공,"2사 1,2루 8:9",이닝종료 8:9,1.01,-0.466,86.4,83.8,-0.026000000000000002
15,2020-07-19,KIA,6말,이형범,7 나주환,2-3,1루수 파울 뜬공,1사 4:4,2사 4:4,0.98,-0.18,54.2,51.7,-0.024
16,2020-07-16,SK,8초,이형범,5 윤석민,2-2,유격수 땅볼,1사 2:4,2사 2:4,0.97,-0.18,90.3,92.7,-0.024
17,2020-07-17,KIA,7말,이형범,5 황대인,2-0,황대인/11306 : 삼진 아웃,"2사 1,3루 2:4",이닝종료 2:4,0.85,-0.5379999999999999,89.0,86.6,-0.024
18,2020-05-06,LG,9말,이형범,7 김민성,2-2,유격수 땅볼,무사 5:2,1사 5:2,0.91,-0.258,4.1,1.8,-0.023
19,2020-07-28,키움,8초,이형범,5 박병호,0-0,우익수 뜬공,무사 3:2,1사 3:2,0.9,-0.258,25.2,27.5,-0.023
20,2020-08-04,삼성,8초,이형범,8 김재현,2-2,김재현/11289 : 삼진 아웃,2사 2루 5:3,이닝종료 5:3,0.72,-0.344,14.2,16.2,-0.02
21,2020-07-28,키움,8초,이형범,6 박동원,0-0,유격수 땅볼,1사 3:2,2사 3:2,0.68,-0.18,27.5,29.2,-0.017
22,2020-07-26,LG,8초,이형범,5 구본혁,2-0,구본혁/14140 : 삼진 아웃,1사 1루 4:2,2사 1루 4:2,0.65,-0.322,13.3,14.9,-0.016
23,2020-07-16,SK,8초,이형범,6 로맥,0-0,유격수 뜬공,2사 2:4,이닝종료 2:4,0.51,-0.11699999999999999,92.7,94.0,-0.013999999999999999
24,2020-07-26,LG,8초,이형범,6 김용의,2-2,김용의/10466 : 삼진 아웃,2사 1루 4:2,이닝종료 4:2,0.47,-0.251,14.9,16.2,-0.013000000000000001
25,2020-08-12,삼성,8말,이형범,박승규,,*도루실패(박승규/14122),1사 1루 13:8,2사 13:8,0.39,-0.456,2.1,0.8,-0.013000000000000001
26,2020-05-06,LG,9말,이형범,8 홍창기,2-0,홍창기/12546 : 삼진 아웃,1사 5:2,2사 5:2,0.5,-0.18,1.8,0.5,-0.013000000000000001
27,2020-08-04,삼성,8초,이형범,5 김동엽,1-2,좌익수 뜬공,무사 5:3,1사 5:3,0.49,-0.258,13.4,14.6,-0.013000000000000001
28,2020-07-28,키움,8초,이형범,7 김혜성,0-0,1루수 땅볼,2사 3:2,이닝종료 3:2,0.47,-0.11699999999999999,29.2,30.4,-0.012
29,2020-08-01,NC,10말,이형범,1 이명기,1-0,이명기/10119 : 중견수 직선타 아웃,무사 12:8,1사 12:8,0.44,-0.258,1.8,0.7,-0.011000000000000001
30,2020-08-04,삼성,8초,이형범,7 김호재,0-0,투수 번트 아웃,1사 1루 5:3,2사 2루 5:3,0.65,-0.22899999999999998,13.3,14.2,-0.009000000000000001
31,2020-05-19,NC,7초,이형범,3 나성범,2-2,1루수 땅볼,2사 만루 5:0,이닝종료 5:0,0.34,-0.815,2.8,3.7,-0.009000000000000001
32,2020-08-12,삼성,8말,이형범,1 김재현,2-1,2루수 땅볼,"무사 2,3루 13:6",1사 3루 13:7,0.37,-0.069,2.0,1.2,-0.008
33,2020-07-17,KIA,8말,이형범,8 박찬호,2-2,3루수 파울 뜬공,1사 1루 2:4,2사 1루 2:4,0.32,-0.322,94.1,93.3,-0.008
34,2020-07-26,LG,9초,이형범,7 이형종,2-2,유격수 땅볼,무사 4:2,1사 4:2,0.29,-0.258,7.4,8.1,-0.008
35,2020-07-17,KIA,8말,이형범,9 김규성,2-2,김규성/12540 : 삼진 아웃,2사 1루 2:4,이닝종료 2:4,0.23,-0.251,93.3,92.6,-0.006999999999999999
36,2020-05-28,SK,7초,이형범,7 오준혁,0-1,2루수 뜬공,"2사 1,3루 6:1",이닝종료 6:1,0.23,-0.5379999999999999,3.0,3.7,-0.006
37,2020-07-17,KIA,8말,이형범,6 나주환,2-3,1루수 땅볼,무사 2:4,1사 2:4,0.23,-0.258,94.0,93.4,-0.006
38,2020-07-26,LG,9초,이형범,8 유강남,0-0,2루수 땅볼,1사 4:2,2사 4:2,0.23,-0.18,8.1,8.7,-0.006
39,2020-08-30,LG,8말,이형범,1 홍창기,2-2,유격수 땅볼,2사 3루 1:4,이닝종료 1:4,0.2,-0.387,97.2,96.7,-0.005
40,2020-05-19,NC,7초,이형범,1 박민우,2-2,좌익수 뜬공,"1사 1,2루 5:0","2사 1,2루 5:0",0.22,-0.505,2.6,3.1,-0.005
41,2020-05-06,LG,9말,이형범,9 오지환,2-1,오지환/10475 : 삼진 아웃,2사 5:2,이닝종료 5:2,0.18,-0.11699999999999999,0.5,0.0,-0.005
42,2020-07-26,LG,9초,이형범,9 정주현,2-2,유격수 땅볼,2사 4:2,이닝종료 4:2,0.16,-0.11699999999999999,8.7,9.1,-0.004
43,2020-08-30,LG,8말,이형범,8 오지환,0-0,좌익수 뜬공,무사 1루 1:4,1사 1루 1:4,0.17,-0.38,97.7,97.4,-0.004
44,2020-08-30,LG,8말,이형범,9 장준원,2-2,중견수 뜬공,1사 1루 1:4,2사 1루 1:4,0.15,-0.322,97.4,97.0,-0.004
45,2020-07-04,한화,8초,이형범,9 장운호,0-0,우익수 뜬공,2사 2루 6:1,이닝종료 6:1,0.1,-0.344,1.8,2.1,-0.003
46,2020-07-04,한화,8초,이형범,8 송광민,0-0,송광민/10555 : 2루수 직선타 아웃,1사 2루 6:1,2사 2루 6:1,0.09,-0.381,1.5,1.8,-0.003
47,2020-08-12,삼성,8말,이형범,3 이성곤,2-3,이성곤/11206 : 삼진 아웃,2사 13:8,이닝종료 13:8,0.07,-0.11699999999999999,0.8,0.6,-0.002
48,2020-05-28,SK,8초,이형범,8 이홍구,2-1,3루수 파울 뜬공,무사 6:1,1사 6:1,0.06,-0.258,1.7,1.8,-0.002
49,2020-07-04,한화,8초,이형범,6 오선진,2-3,중견수 뜬공,무사 6:1,1사 6:1,0.06,-0.258,1.7,1.8,-0.002
50,2020-08-27,NC,7말,이형범,1 지석훈,2-2,투수 병살타,1사 1루 2:8,이닝종료 2:8,0.03,-0.573,99.4,99.2,-0.002
51,2020-05-28,SK,8초,이형범,9 정현,2-2,유격수 땅볼,1사 6:1,2사 6:1,0.05,-0.18,1.8,2.0,-0.001
52,2020-05-28,SK,8초,이형범,1 노수광,0-2,1루수 땅볼,2사 6:1,이닝종료 6:1,0.03,-0.11699999999999999,2.0,2.1,-0.001
53,2020-06-19,LG,9말,이형범,2 김호은,0-0,김호은/12554 : 2루수 직선타 아웃,무사 1루 18:10,1사 1루 18:10,0.03,-0.38,0.1,0.0,-0.001
54,2020-05-24,삼성,7말,이형범,4 김동엽,2-1,김동엽/12548 : 삼진 아웃,무사 0:6,1사 0:6,0.03,-0.258,99.4,99.3,-0.001
55,2020-07-10,롯데,8말,이형범,1 마차도,0-1,유격수 병살타,1사 1루 10:1,이닝종료 10:1,0.01,-0.573,0.1,0.0,-0.001
56,2020-08-27,NC,7말,이형범,8 알테어,2-2,알테어/14599 : 삼진 아웃,무사 2:8,1사 2:8,0.03,-0.258,99.4,99.3,-0.001
57,2020-09-04,삼성,6말,이형범,9 이성규,1-0,중견수 뜬공,"1사 1,2루 1:9","2사 1,2루 1:9",0.02,-0.505,99.7,99.7,-0.001
58,2020-07-10,롯데,8말,이형범,8 정보근,1-0,유격수 땅볼,무사 10:1,1사 10:1,0.01,-0.258,0.1,0.1,-0.001
59,2020-05-24,삼성,7말,이형범,6 김헌곤,2-1,3루수 땅볼,2사 0:6,이닝종료 0:6,0.02,-0.11699999999999999,99.3,99.2,-0.0
60,2020-05-24,삼성,7말,이형범,5 이원석,0-1,중견수 뜬공,1사 0:6,2사 0:6,0.01,-0.18,99.3,99.3,-0.0
61,2020-06-19,LG,9말,이형범,3 신민재,0-2,투수 땅볼,1사 1루 18:10,2사 2루 18:10,0.02,-0.22899999999999998,0.0,0.0,-0.0
62,2020-09-04,삼성,6말,이형범,6 강민호,0-1,강민호/10232 : 유격수 직선타 아웃,무사 1:9,1사 1:9,0.02,-0.258,99.7,99.6,-0.0
63,2020-09-04,삼성,6말,이형범,2 김상수,1-0,유격수 땅볼,"2사 1,2루 1:10",이닝종료 1:10,0.01,-0.466,99.8,99.8,-0.0
64,2020-05-15,KIA,9말,이형범,2 최정용,0-0,2루수 땅볼,무사 13:4,1사 13:4,0.01,-0.258,0.0,0.0,-0.0
65,2020-07-14,SK,9초,이형범,1 최지훈,2-0,최지훈/14587 : 삼진 아웃,2사 2루 12:4,이닝종료 12:4,0.0,-0.344,0.1,0.1,-0.0
66,2020-07-14,SK,9초,이형범,9 정현,0-0,우익수 뜬공,1사 1루 12:4,2사 1루 12:4,0.0,-0.322,0.0,0.1,-0.0
67,2020-07-14,SK,9초,이형범,7 김강민,1-0,유격수 땅볼,무사 12:4,1사 12:4,0.0,-0.258,0.0,0.1,-0.0
68,2020-05-15,KIA,9말,이형범,4 최형우,0-2,중견수 뜬공,2사 13:4,이닝종료 13:4,0.0,-0.11699999999999999,0.0,0.0,0.0
69,2020-05-15,KIA,9말,이형범,3 이우성,1-2,2루수 땅볼,1사 13:4,2사 13:4,0.0,-0.18,0.0,0.0,0.0
70,2020-09-04,삼성,7말,이형범,6 김응민,2-0,김응민/10890 : 삼진 아웃,2사 1:11,이닝종료 1:11,0.0,-0.11699999999999999,100.0,100.0,0.0
71,2020-09-04,삼성,7말,이형범,4 팔카,2-1,3루수 파울 뜬공,무사 1:11,1사 1:11,0.0,-0.258,100.0,100.0,0.0
72,2020-09-04,삼성,7말,이형범,5 박계범,1-1,유격수 땅볼,1사 1:11,2사 1:11,0.0,-0.18,100.0,100.0,0.0
73,2020-07-14,SK,9초,이형범,8 이홍구,0-0,우익수 안타,1사 12:4,1사 1루 12:4,0.0,0.276,0.1,0.0,0.0
74,2020-09-04,삼성,7말,이형범,3 구자욱,0-0,우익수 홈런,무사 1:10,무사 1:11,0.0,1.0,99.9,100.0,0.0
75,2020-09-04,삼성,6말,이형범,7 김헌곤,2-1,우익수 안타,1사 1:9,1사 1루 1:9,0.01,0.276,99.6,99.7,0.0
76,2020-07-10,롯데,8말,이형범,9 김동한,0-0,중견수 안타,1사 10:1,1사 1루 10:1,0.01,0.276,0.1,0.1,0.0
77,2020-09-04,삼성,6말,이형범,8 김지찬,1-3,볼넷,1사 1루 1:9,"1사 1,2루 1:9",0.02,0.39799999999999996,99.7,99.7,0.001
78,2020-06-19,LG,9말,이형범,1 홍창기,0-3,볼넷,무사 18:10,무사 1루 18:10,0.02,0.39799999999999996,0.1,0.1,0.001
79,2020-07-28,키움,9초,이형범,2 김하성,,고의4구,"1사 2,3루 3:2",1사 만루 3:2,1.12,0.183,10.0,9.9,0.001
80,2020-08-27,NC,7말,이형범,9 김준완,1-0,우익수 안타,1사 2:8,1사 1루 2:8,0.01,0.276,99.3,99.4,0.001
81,2020-05-28,SK,7초,이형범,4 로맥,0-2,고의4구,"1사 2,3루 4:1",1사 만루 4:1,0.61,0.183,6.9,6.8,0.001
82,2020-09-04,삼성,6말,이형범,1 김동엽,2-2,좌익수 안타,"2사 1,2루 1:9","2사 1,2루 1:10",0.02,1.0,99.7,99.8,0.002
83,2020-08-30,LG,8말,이형범,신민재,,*실책진루(포수)[실책포함],2사 1루 1:4,2사 3루 1:4,0.11,0.136,97.0,97.2,0.002
84,2020-05-19,NC,7초,이형범,2 알테어,1-0,3루수 땅볼 실책[실책포함],"2사 1,2루 5:0",2사 만루 5:0,0.21,0.349,3.1,2.8,0.003
85,2020-07-04,한화,8초,이형범,7 정진호,2-1,좌익수 2루타,1사 6:1,1사 2루 6:1,0.05,0.428,1.8,1.5,0.003
