,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김성욱,2,2,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,0.80,1.43,0.313
1,황재균,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,2.02,1.30,0.299
2,배정대,4,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.65,1.15,0.133
3,반즈,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.54,0.12,0.132
4,김응민,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.91,1.46,0.127
5,김동엽,4,4,2,3,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0.750,0.750,1.500,2.250,0.32,1.66,0.115
6,알테어,2,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,1.000,0.500,4.000,4.500,1.72,0.82,0.075
7,정수빈,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.47,0.63,0.068
8,하주석,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.37,0.01,0.067
9,박건우,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.05,0.75,0.062
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,살라디노,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.50,1.57,0.062
12,양의지,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.02,0.68,0.060
13,박세혁,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.65,0.38,0.057
14,박병호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000,0.500,0.000,0.500,1.71,-0.22,0.051
15,심우준,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,1.94,-0.01,0.032
16,모창민,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.51,0.23,0.029
17,백용환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.50,0.40,0.024
18,권희동,2,2,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.67,1.43,0.018
19,박찬도,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.27,0.43,0.017
20,민병헌,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.25,0.36,0.016
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,박경수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.26,0.62,0.012
23,김재환,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.11,-0.11,0.012
24,박승규,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.667,1.000,0.26,0.25,0.012
