,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-29,SK,1초,백승건,5 김민성,2-2,우익수 홈런,"2사 1,2루 0:0",2사 3:0,1.62,2.6510000000000002,50.6,25.6,0.25
1,2020-10-04,KT,3초,쿠에바스,6 김민성,0-0,좌익수 홈런,"2사 1,2루 2:1",2사 5:1,1.62,2.6510000000000002,39.2,15.4,0.23800000000000002
2,2020-10-07,삼성,8말,노성호,6 김민성,0-1,좌익수 2루타,"무사 1,2루 1:1",무사 2루 1:3,2.91,1.6159999999999999,76.2,95.8,0.196
3,2020-05-22,KT,9말,김재윤,9 김민성,2-0,우익수 안타,무사 만루 5:4,무사 만루 5:5,5.55,1.0,74.1,93.7,0.196
4,2020-07-28,SK,3초,핀토,5 김민성,1-1,좌익수 안타,2사 만루 1:2,"2사 1,2루 3:2",3.4,1.651,58.4,39.2,0.192
5,2020-11-02,키움,13말,김상수,7 김민성,0-1,우익수 안타,1사 2루 3:2,"1사 1,3루 3:2",4.9,0.518,28.1,45.9,0.179
6,2020-08-05,KIA,3초,양현종,5 김민성,2-3,우익수 안타,2사 만루 1:0,"2사 1,3루 3:0",2.76,1.723,36.4,20.1,0.163
7,2020-08-12,KIA,2말,브룩스,7 김민성,2-3,유격수 2루타,"1사 1,2루 0:0","1사 2,3루 0:1",2.01,1.496,59.0,73.4,0.14300000000000002
8,2020-10-01,롯데,8말,최준용,5 김민성,2-1,우익수 안타,"2사 1,3루 3:1","2사 1,3루 3:2",3.32,1.0,16.6,30.4,0.139
9,2020-06-09,SK,9말,조영우,5 김민성,0-1,좌익수 안타,"1사 1,2루 2:2",1사 만루 2:2,4.3,0.679,70.8,83.3,0.126
10,2020-05-05,두산,2말,알칸타라,7 김민성,0-1,중견수 2루타,2사 1루 0:0,2사 2루 0:1,0.84,1.093,52.4,64.4,0.12
11,2020-09-22,SK,6말,김태훈,7 김민성,2-1,투수 내야안타,"2사 2,3루 2:3","2사 1,3루 2:4",1.84,0.904,75.0,84.9,0.099
12,2020-10-07,삼성,1말,허윤동,6 김민성,0-3,볼넷,2사 만루 0:0,2사 만루 0:1,2.81,1.0,57.1,66.6,0.095
13,2020-10-04,KT,6초,쿠에바스,6 김민성,0-1,중견수 2루타,무사 5:5,무사 2루 5:5,1.34,0.634,50.0,40.7,0.09300000000000001
14,2020-08-01,한화,1말,서폴드,5 김민성,1-1,좌익수 2루타,2사 2루 0:1,2사 2루 0:2,1.0,1.0,63.4,72.5,0.091
15,2020-07-21,KT,5초,배제성,6 김민성,0-0,우익수 안타,"2사 2,3루 4:1",2사 1루 6:1,1.05,1.617,15.5,6.7,0.08900000000000001
16,2020-09-22,SK,5말,박종훈,7 김민성,1-1,좌익수 안타,1사 1루 2:0,"1사 1,3루 2:0",1.66,0.67,28.8,37.6,0.087
17,2020-05-24,KT,1말,쿠에바스,5 김민성,2-1,좌익수 안타,1사 만루 0:0,1사 만루 0:1,2.48,1.0,64.3,72.9,0.085
18,2020-10-04,KT,8초,하준호,6 김민성,2-3,볼넷,1사 1루 6:7,"1사 1,2루 6:7",2.9,0.39799999999999996,74.2,65.7,0.085
19,2020-09-26,KT,9초,전유수,6 김민성,2-0,우익수 안타,무사 1:1,무사 1루 1:1,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
20,2020-09-20,두산,2초,알칸타라,7 김민성,1-0,좌익수 홈런,무사 2:0,무사 3:0,0.68,1.0,29.9,21.8,0.081
21,2020-11-02,키움,7말,브리검,7 김민성,1-1,중견수 안타,1사 1루 2:1,"1사 1,2루 2:1",2.58,0.39799999999999996,36.5,44.0,0.075
22,2020-05-14,SK,4말,박종훈,5 김민성,1-0,중견수 2루타,무사 2:2,무사 2루 2:2,1.07,0.634,56.0,63.4,0.07400000000000001
23,2020-10-16,KIA,1말,가뇽,6 김민성,2-2,좌익수 2루타,"1사 1,3루 0:2","1사 2,3루 0:3",1.29,1.224,78.2,85.5,0.073
24,2020-07-26,두산,7초,이영하,5 김민성,2-0,중견수 안타,무사 1:2,무사 1루 1:2,1.73,0.39799999999999996,69.6,62.5,0.07
25,2020-05-12,SK,4말,킹엄,5 김민성,2-2,유격수 땅볼 실책[실책포함],2사 만루 3:5,2사 만루 3:6,1.89,1.0,80.3,87.3,0.07
26,2020-07-24,두산,5초,유희관,5 김민성,1-2,좌익수 안타[실책포함],1사 만루 3:0,"1사 2,3루 5:0",1.26,1.817,11.1,4.2,0.069
27,2020-05-08,NC,6초,박진우,7 김민성,0-0,좌익수 2루타,"1사 2,3루 2:7",1사 2루 4:7,0.97,1.258,91.4,85.1,0.063
28,2020-05-27,한화,2초,장민재,5 김민성,0-0,우익수 2루타,무사 1:1,무사 2루 1:1,0.93,0.634,50.0,43.7,0.063
29,2020-05-07,두산,2말,플렉센,7 김민성,2-2,우익수 안타,1사 3루 1:0,1사 1루 1:1,1.52,0.59,49.1,55.3,0.063
30,2020-05-14,SK,2말,박종훈,5 김민성,2-2,중견수 안타,무사 1루 1:0,"무사 1,2루 1:0",1.65,0.62,48.1,54.4,0.063
31,2020-10-23,KIA,4초,김재열,6 김민성,2-1,우익수 2루타,무사 4:3,무사 2루 4:3,0.9,0.634,37.5,31.2,0.062
32,2020-05-28,한화,1초,서폴드,5 김민성,1-2,좌익수 안타,"1사 1,3루 1:0","1사 1,2루 2:0",1.64,0.728,34.3,28.3,0.06
33,2020-10-02,KT,7초,손동현,7 김민성,2-3,볼넷,무사 0:2,무사 1루 0:2,1.34,0.39799999999999996,81.9,76.0,0.059000000000000004
34,2020-10-15,롯데,7초,서준원,6 김민성,2-1,중견수 안타,무사 1루 2:1,"무사 1,2루 2:1",1.52,0.62,26.7,21.3,0.055
35,2020-05-13,SK,2말,핀토,5 김민성,2-0,우익수 2루타,무사 0:1,무사 2루 0:1,0.77,0.634,65.8,71.1,0.054000000000000006
36,2020-10-04,KT,6초,쿠에바스,김민성,,*실책진루(유격수)[실책포함],무사 2루 5:5,무사 3루 5:5,1.77,0.293,40.7,35.6,0.052000000000000005
37,2020-05-24,KT,8말,하준호,5 김민성,0-3,볼넷,무사 7:4,무사 1루 7:4,1.05,0.39799999999999996,8.4,13.4,0.049
38,2020-08-09,키움,7초,이승호,5 김민성,1-3,볼넷,1사 1:2,1사 1루 1:2,1.25,0.276,73.9,69.0,0.049
