,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,정해영,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.50,1.15,0.440
1,이민우,10,9,3,2,0,0,2,8,5,0,0,1,0,0,0,0,0,0,0.222,0.300,0.889,1.189,1.14,2.01,0.385
2,김대우,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.80,1.00,0.380
3,원종현,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.69,1.61,0.346
4,서폴드,8,8,3,4,1,0,1,8,4,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.74,2.96,0.344
5,이승진,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5.64,1.72,0.332
6,라이블리,9,9,1,3,0,0,1,6,3,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,1.41,2.41,0.299
7,킹엄,3,3,1,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,1.56,2.95,0.295
8,브룩스,12,12,2,7,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0.583,0.583,0.667,1.250,0.75,3.27,0.264
9,허윤동,10,8,2,4,1,0,1,8,3,0,0,2,0,0,1,0,0,0,0.500,0.600,1.000,1.600,0.71,3.28,0.256
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김건태,3,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.90,0.88,0.246
12,김진성,4,4,1,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,1.25,0.59,0.233
