,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-07-05,삼성,8초,장지훈,7 김호은,1-1,우익수 안타,"1사 1,2루 1:2","1사 1,3루 2:2",4.67,1.272,65.7,35.6,0.3
1,2020-07-26,두산,7초,이영하,6 김호은,0-0,2루수 땅볼 실책[실책포함],무사 1루 1:2,"무사 1,3루 1:2",2.83,0.951,62.5,45.4,0.171
2,2020-07-04,삼성,7초,이승현,9 김호은,1-3,중견수 2루타,1사 1루 2:4,"1사 2,3루 2:4",1.8,0.894,81.3,68.4,0.13
3,2020-10-10,NC,7말,루친스키,9 김호은,2-2,우익수 안타,1사 만루 0:0,1사 만루 0:1,3.98,1.0,73.6,86.5,0.129
4,2020-10-08,삼성,9말,이상민,9 김호은,1-3,볼넷,"1사 1,2루 0:0",1사 만루 0:0,4.3,0.679,70.8,83.3,0.126
5,2020-07-07,두산,4초,이영하,5 김호은,1-1,좌익수 홈런,무사 2:2,무사 3:2,1.08,1.0,50.0,37.5,0.125
6,2020-06-14,롯데,6말,샘슨,6 김호은,2-2,좌익수 2루타,1사 1루 4:4,"1사 2,3루 4:4",1.75,0.894,57.8,70.3,0.125
7,2020-06-13,롯데,4말,박세웅,6 김호은,1-2,우익수 안타,무사 1루 2:1,"무사 1,3루 2:1",1.97,0.951,47.4,59.4,0.12
8,2020-06-27,SK,6초,서진용,6 김호은,2-2,우익수 안타,2사 2루 1:0,2사 1루 2:0,1.36,0.907,35.4,23.7,0.11699999999999999
9,2020-07-18,한화,2말,장시환,6 김호은,1-3,우익수 홈런,무사 0:0,무사 0:1,0.92,1.0,55.1,65.8,0.107
10,2020-07-30,SK,5초,박종훈,9 김호은,1-2,중견수 안타,1사 2루 1:0,1사 1루 2:0,1.32,0.848,33.9,24.4,0.095
11,2020-07-03,삼성,8초,우규민,7 김호은,1-1,우익수 안타,1사 1루 7:9,"1사 1,3루 7:9",1.97,0.67,85.8,76.4,0.095
12,2020-07-18,한화,6말,장시환,6 김호은,0-0,우익수 안타,2사 2루 0:1,이닝종료 0:2,1.18,0.6559999999999999,72.9,81.9,0.09
13,2020-09-08,KIA,8초,홍상삼,9 김호은,1-3,볼넷,1사 1루 2:3,"1사 1,2루 2:3",2.9,0.39799999999999996,74.2,65.7,0.085
14,2020-10-30,SK,9초,서진용,9 김호은,2-3,볼넷,1사 1루 1:3,"1사 1,2루 1:3",2.09,0.39799999999999996,91.5,83.8,0.078
15,2020-06-18,한화,6초,이현호,6 김호은,1-1,투수 땅볼 실책[실책포함],"1사 2,3루 3:2","1사 1,3루 4:2",1.65,0.7759999999999999,24.3,16.6,0.077
16,2020-09-03,NC,7말,홍성민,8 김호은,1-3,우익수 안타,무사 4:3,무사 1루 4:3,1.91,0.39799999999999996,36.0,43.7,0.077
17,2020-06-23,키움,5말,최원태,5 김호은,2-0,좌익수 안타,"2사 1,2루 5:1","2사 1,2루 5:2",1.34,1.0,11.4,18.1,0.068
18,2020-07-08,두산,3초,박종기,5 김호은,1-1,우익수 2루타,1사 1루 2:0,"1사 2,3루 2:0",0.92,0.894,28.3,21.7,0.066
19,2020-10-11,NC,8말,원종현,4 김호은,2-1,투수 땅볼 실책[실책포함],1사 만루 3:4,"1사 2,3루 3:6",1.37,1.817,92.0,98.4,0.064
20,2020-06-27,SK,5초,핀토,6 김호은,0-0,우익수 안타,무사 1:0,무사 1루 1:0,0.94,0.39799999999999996,35.9,32.2,0.037000000000000005
21,2020-06-14,롯데,5말,샘슨,6 김호은,1-0,우익수 안타,1사 1루 4:0,"1사 1,2루 4:0",1.0,0.39799999999999996,12.0,15.5,0.035
22,2020-06-18,한화,2초,장시환,6 김호은,1-1,2루수 안타,무사 2:1,무사 1루 2:1,0.82,0.39799999999999996,39.5,36.2,0.033
23,2020-09-06,롯데,8초,오현택,9 김호은,1-0,중견수 2루타,"1사 2,3루 4:1",1사 2루 6:1,0.45,1.258,4.4,1.5,0.028999999999999998
24,2020-06-17,한화,4초,채드벨,6 김호은,0-1,중견수 안타,무사 3:1,무사 1루 3:1,0.69,0.39799999999999996,26.7,24.0,0.027000000000000003
25,2020-07-21,KT,4초,배제성,7 김호은,2-0,좌익수 안타,무사 4:1,무사 1루 4:1,0.5,0.39799999999999996,18.2,16.3,0.02
26,2020-06-13,롯데,6말,송승준,6 김호은,2-3,몸에 맞는 볼,무사 3:5,무사 1루 3:5,0.5,0.39799999999999996,84.8,86.8,0.019
27,2020-07-07,두산,6초,이영하,5 김호은,2-1,유격수 내야안타,1사 3:7,1사 1루 3:7,0.4,0.276,93.7,91.9,0.018000000000000002
28,2020-07-25,두산,9초,함덕주,6 김호은,2-0,좌익수 안타,무사 3:7,무사 1루 3:7,0.34,0.39799999999999996,98.6,96.8,0.018000000000000002
29,2020-07-21,KT,2초,배제성,7 김호은,0-3,볼넷,2사 0:0,2사 1루 0:0,0.42,0.134,54.0,52.7,0.013000000000000001
30,2020-07-17,한화,4말,김진욱,6 김호은,2-3,볼넷,1사 0:3,1사 1루 0:3,0.3,0.276,85.3,86.4,0.011000000000000001
