,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-11,NC,2초,남호,9 김형준,1-2,좌익수 뜬공,2사 만루 0:0,이닝종료 0:0,3.01,-0.815,47.5,55.1,-0.076
1,2020-10-06,삼성,1초,남호,4 김동엽,2-1,김동엽/12548 : 삼진 아웃,무사 만루 0:0,1사 만루 0:0,2.13,-0.767,33.8,40.3,-0.065
2,2020-10-17,KIA,3초,남호,3 터커,2-3,터커/14224 : 삼진 아웃,"무사 1,2루 0:3","1사 1,2루 0:3",2.07,-0.602,70.4,75.9,-0.055
3,2020-10-17,KIA,2초,남호,8 한승택,0-0,유격수 인필드 뜬공,"1사 1,2루 0:2","2사 1,2루 0:2",2.09,-0.505,65.9,70.7,-0.047
4,2020-10-11,NC,4초,남호,6 박석민,1-0,중견수 뜬공,무사 1루 0:1,1사 1루 0:1,1.89,-0.38,57.9,62.2,-0.044000000000000004
5,2020-10-17,KIA,2초,남호,9 박찬호,0-2,우익수 뜬공,"2사 1,2루 0:2",이닝종료 0:2,1.69,-0.466,70.7,75.0,-0.043
6,2020-10-11,NC,3초,남호,2 강진성,2-0,강진성/11148 : 삼진 아웃,무사 1루 0:1,1사 1루 0:1,1.73,-0.38,57.1,61.1,-0.04
7,2020-10-11,NC,4초,남호,3 박민우,1-0,좌익수 뜬공,"2사 1,3루 3:1",이닝종료 3:1,1.42,-0.5379999999999999,26.7,30.6,-0.039
8,2020-10-06,삼성,1초,남호,6 이원석,2-3,이원석/10180 : 삼진 아웃,"2사 1,2루 1:0",이닝종료 1:0,1.48,-0.466,40.7,44.5,-0.038
9,2020-10-11,NC,4초,남호,7 노진혁,2-2,좌익수 뜬공,1사 1루 0:1,2사 1루 0:1,1.51,-0.322,62.2,65.8,-0.036000000000000004
10,2020-10-11,NC,3초,남호,3 박민우,2-0,중견수 뜬공,1사 1루 0:1,2사 1루 0:1,1.39,-0.322,61.1,64.4,-0.033
11,2020-10-06,삼성,5초,남호,7 강민호,1-2,유격수 땅볼,무사 1:1,1사 1:1,1.19,-0.258,50.0,53.0,-0.03
12,2020-10-11,NC,2초,남호,6 박석민,2-2,박석민/10322 : 삼진 아웃,1사 1루 0:0,2사 1루 0:0,1.23,-0.322,49.8,52.7,-0.03
