,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-24,KT,9말,김민수,4 라모스,2-2,우익수 홈런,1사 만루 7:5,1사 7:9,7.38,2.647,33.0,100.0,0.67
1,2020-08-26,삼성,8초,최지광,6 라모스,0-0,우익수 홈런,2사 1루 5:5,2사 7:5,1.8,1.8659999999999999,55.6,15.6,0.401
2,2020-06-11,SK,7말,서진용,4 라모스,2-3,우익수 홈런,2사 2루 1:1,2사 1:3,2.25,1.7730000000000001,56.4,87.2,0.308
3,2020-05-16,키움,8말,양현,4 라모스,1-0,중견수 홈런,무사 3:2,무사 3:3,2.48,1.0,30.4,60.7,0.303
4,2020-08-29,두산,7말,채지선,3 라모스,0-0,우익수 홈런,2사 3루 3:3,2사 3:5,2.67,1.73,57.3,87.2,0.298
5,2020-08-20,키움,8초,이영준,6 라모스,0-0,우익수 홈런,2사 4:4,2사 5:4,0.98,1.0,58.2,29.2,0.29
6,2020-06-11,SK,6말,김태훈,4 라모스,0-0,우익수 2루타,"1사 1,2루 3:1",1사 2루 3:3,3.18,1.754,32.0,60.5,0.28600000000000003
7,2020-08-14,NC,5초,라이트,6 라모스,1-3,우익수 홈런,2사 1루 2:3,2사 4:3,1.16,1.8659999999999999,67.8,40.0,0.27699999999999997
8,2020-09-15,한화,3초,김민우,3 라모스,1-2,우익수 홈런,"1사 1,2루 0:0",1사 3:0,2.2,2.326,45.7,21.5,0.243
9,2020-05-29,KIA,4초,브룩스,4 라모스,1-0,좌익수 홈런,1사 1루 0:0,1사 2:0,1.44,1.724,49.7,28.5,0.213
10,2020-05-12,SK,3말,킹엄,4 라모스,2-1,좌익수 홈런,1사 1루 2:2,1사 2:4,1.31,1.724,55.7,75.2,0.195
11,2020-09-20,두산,1초,알칸타라,3 라모스,1-3,중견수 홈런,1사 1루 0:0,1사 2:0,1.15,1.724,49.8,32.8,0.17
12,2020-05-26,한화,6초,김이환,4 라모스,2-3,우익수 홈런,무사 0:0,무사 1:0,1.34,1.0,50.0,33.7,0.163
