,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,오윤석,3,2,2,1,0,0,1,4,4,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0.85,4.33,0.158
1,한동희,2,1,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.25,1.85,0.143
2,마차도,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.77,0.66,0.054
3,정훈,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.75,0.12,0.024
4,정보근,2,1,1,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.54,2.16,0.023
5,양의지,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1.000,,,0.51,1.00,0.021
6,전준우,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,0.48,0.73,0.019
7,이대호,2,2,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.21,-0.03,0.018
8,이병규,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.52,0.40,0.010
9,김성욱,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1.000,,,0.16,0.27,0.006
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박민우,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.35,0.28,0.003
12,권희동,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.27,0.15,0.002
13,이지영,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,0.03,0.67,0.002
14,전병우,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.07,0.62,0.002
15,김주형,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.01,0.38,0.000
16,변상권,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.32,0.000
17,김혜성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.26,0.000
18,김하성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.63,-0.001
19,허정협,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.51,-0.002
20,박정음,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.60,-0.002
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김형준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.13,-0.18,-0.003
23,이원재,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.16,-0.26,-0.004
24,박석민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.28,-0.82,-0.007
25,손아섭,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.62,0.55,-0.012
