,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-03,NC,8말,문경찬,7 박용택,1-2,우익수 홈런,"2사 1,3루 5:3",2사 5:6,3.32,2.5789999999999997,16.6,84.5,0.68
1,2020-10-03,KT,5초,김민수,9 박용택,0-0,우익수 안타,1사 만루 0:2,"1사 1,3루 2:2",3.67,1.5930000000000002,62.0,41.0,0.21
2,2020-10-06,삼성,9말,이승현,9 박용택,0-2,우익수 2루타,1사 1루 2:2,"1사 2,3루 2:2",2.92,0.894,63.5,84.4,0.209
3,2020-06-11,SK,4말,핀토,5 박용택,2-1,우익수 2루타,무사 1루 1:0,"무사 2,3루 1:0",1.97,1.099,47.4,61.3,0.139
4,2020-05-16,키움,5말,브리검,6 박용택,1-3,우익수 안타[실책포함],1사 2루 0:0,1사 2루 0:1,1.64,1.0,59.2,72.9,0.13699999999999998
5,2020-10-15,롯데,7초,서준원,9 박용택,0-2,우익수 2루타,"2사 1,2루 2:1","2사 2,3루 3:1",1.85,1.168,31.3,17.6,0.13699999999999998
6,2020-05-07,두산,4말,플렉센,6 박용택,1-1,좌익수 2루타,무사 1루 3:1,"무사 2,3루 3:1",1.92,1.099,35.4,49.0,0.13699999999999998
7,2020-08-18,KIA,9말,전상현,7 박용택,1-3,우익수 안타,무사 5:4,무사 1루 5:4,3.47,0.39799999999999996,20.0,33.4,0.134
8,2020-08-27,KT,1말,김민수,3 박용택,2-1,1루수 땅볼 실책[실책포함],"무사 1,2루 0:0","무사 1,3루 0:1",1.83,1.331,63.7,75.3,0.11599999999999999
9,2020-05-16,키움,3말,한현희,3 박용택,2-3,중견수 안타,"1사 2,3루 3:0",1사 1루 3:2,1.78,1.1059999999999999,32.2,43.7,0.115
10,2020-08-23,한화,6말,김민우,2 박용택,0-1,우익수 안타,무사 1루 3:0,"무사 1,3루 3:0",1.88,0.951,20.5,31.8,0.114
11,2020-08-30,두산,4말,김민규,7 박용택,2-2,우익수 안타,"2사 1,2루 0:1","2사 1,2루 0:2",1.57,1.0,68.1,78.4,0.10300000000000001
12,2020-06-09,SK,8말,서진용,6 박용택,1-0,우익수 안타,1사 1루 2:1,"1사 1,2루 2:1",3.34,0.39799999999999996,31.0,40.4,0.094
13,2020-09-01,SK,2초,백승건,7 박용택,1-2,우익수 홈런,2사 0:2,2사 1:2,0.39,1.0,74.0,64.7,0.094
14,2020-06-23,키움,1말,최원태,5 박용택,2-1,유격수 내야안타,"2사 1,3루 0:0","2사 1,2루 0:1",1.74,0.9279999999999999,54.8,64.2,0.09300000000000001
15,2020-08-20,키움,7초,김태훈,8 박용택,1-1,우익수 안타,1사 2루 2:3,"1사 1,3루 2:3",2.41,0.518,65.9,56.7,0.092
16,2020-05-06,두산,6말,이영하,6 박용택,2-1,좌익수 안타,1사 만루 5:0,"1사 1,2루 5:2",2.08,1.321,12.3,21.0,0.087
17,2020-06-06,키움,1초,이승호,5 박용택,2-1,투수 내야안타,1사 만루 0:0,1사 만루 1:0,2.54,1.0,40.3,31.6,0.087
18,2020-10-11,NC,8말,문경찬,6 박용택,2-0,우익수 안타,무사 3:1,무사 1루 3:1,1.71,0.39799999999999996,16.2,24.1,0.078
19,2020-09-16,한화,1초,김진욱,5 박용택,1-2,우익수 2루타,1사 2루 2:0,1사 2루 3:0,0.93,1.0,29.7,22.1,0.076
20,2020-05-27,한화,2초,장민재,6 박용택,0-0,우익수 안타,무사 2루 1:1,무사 1루 2:1,1.29,0.764,43.7,36.2,0.075
21,2020-05-12,SK,4말,킹엄,6 박용택,2-1,중견수 안타,2사 만루 3:6,"2사 1,2루 3:8",1.28,1.651,87.3,94.7,0.075
22,2020-09-04,NC,9말,원종현,6 박용택,2-1,중견수 안타,무사 5:5,무사 1루 5:5,2.26,0.39799999999999996,63.7,71.1,0.07400000000000001
23,2020-09-17,롯데,3말,서준원,5 박용택,1-1,중견수 안타,2사 2루 0:2,2사 1루 0:3,0.85,0.907,75.7,83.0,0.073
24,2020-06-09,SK,6말,정영일,6 박용택,2-1,유격수 내야안타,1사 2루 1:1,"1사 1,3루 1:1",1.85,0.518,60.5,67.6,0.071
25,2020-06-03,삼성,6말,노성호,9 박용택,1-0,중견수 2루타,1사 2루 8:4,1사 2루 8:5,0.99,1.0,10.6,17.6,0.07
26,2020-06-16,한화,1초,장민재,5 박용택,1-1,좌익수 안타,"1사 1,3루 1:0","1사 1,2루 2:0",1.64,0.728,34.3,28.3,0.06
27,2020-10-10,NC,7말,루친스키,7 박용택,0-0,중견수 안타,1사 1루 0:0,"1사 1,2루 0:0",2.01,0.39799999999999996,59.0,64.5,0.055
28,2020-06-21,두산,5말,알칸타라,6 박용택,2-1,좌익수 안타,무사 2:0,무사 1루 2:0,1.25,0.39799999999999996,28.4,33.7,0.053
29,2020-05-21,삼성,4초,원태인,6 박용택,2-2,좌익수 안타,1사 1루 2:0,"1사 1,3루 2:0",0.92,0.67,26.6,21.4,0.051
30,2020-06-12,롯데,4말,스트레일리,3 박용택,1-2,중견수 안타,무사 2:1,무사 1루 2:1,1.19,0.39799999999999996,42.5,47.4,0.049
31,2020-09-04,NC,5말,루친스키,6 박용택,1-1,유격수 땅볼 실책[실책포함],"2사 1,2루 5:3",2사 만루 5:3,2.31,0.349,27.7,32.3,0.046
32,2020-05-28,한화,4초,서폴드,6 박용택,1-0,중견수 안타,무사 1루 2:0,"무사 1,2루 2:0",1.11,0.62,24.0,19.9,0.040999999999999995
33,2020-05-22,KT,4말,데스파이네,5 박용택,0-2,우익수 2루타,2사 1루 4:1,"2사 2,3루 4:1",0.81,0.38299999999999995,18.3,22.3,0.04
34,2020-10-02,KT,9초,이보근,8 박용택,0-0,좌익수 안타,무사 2:5,무사 1루 2:5,0.75,0.39799999999999996,96.7,92.9,0.038
35,2020-06-04,삼성,2말,백정현,6 박용택,2-2,우익수 안타,무사 0:0,무사 1루 0:0,0.92,0.39799999999999996,55.1,58.8,0.037000000000000005
36,2020-09-17,롯데,2말,서준원,5 박용택,1-1,좌익수 안타,무사 0:0,무사 1루 0:0,0.92,0.39799999999999996,55.1,58.8,0.037000000000000005
37,2020-06-11,SK,6말,핀토,5 박용택,1-3,중견수 안타,1사 1:1,1사 1루 1:1,0.98,0.276,54.2,57.8,0.036000000000000004
38,2020-05-13,SK,2말,핀토,6 박용택,2-0,중견수 2루타,2사 만루 0:6,2사 2루 0:9,0.46,2.529,95.3,98.8,0.035
39,2020-10-20,KT,2초,배제성,6 박용택,2-3,볼넷,무사 1:0,무사 1루 1:0,0.82,0.39799999999999996,39.5,36.2,0.033
40,2020-10-08,삼성,7말,심창민,9 박용택,2-2,중견수 안타,2사 1루 0:0,"2사 1,2루 0:0",1.48,0.215,54.2,57.4,0.033
41,2020-05-22,KT,7말,데스파이네,5 박용택,0-0,중견수 안타,무사 5:1,무사 1루 5:1,0.69,0.39799999999999996,6.9,10.0,0.032
42,2020-06-09,SK,4말,이건욱,6 박용택,0-3,볼넷,1사 2루 1:0,"1사 1,2루 1:0",1.67,0.24600000000000002,45.0,47.7,0.027000000000000003
43,2020-09-04,NC,7말,홍성민,6 박용택,,고의4구,"2사 2,3루 5:3",2사 만루 5:3,3.63,0.18100000000000002,24.2,26.8,0.026000000000000002
44,2020-05-10,NC,8초,임창민,6 박용택,0-0,좌익수 안타,1사 4:7,1사 1루 4:7,0.54,0.276,95.3,92.8,0.026000000000000002
45,2020-05-06,두산,2말,이영하,6 박용택,2-3,볼넷,1사 0:0,1사 1루 0:0,0.67,0.276,52.8,55.3,0.026000000000000002
46,2020-08-29,두산,8말,김명신,7 박용택,1-2,2루수 안타,2사 5:5,2사 1루 5:5,1.03,0.134,52.6,55.0,0.024
47,2020-05-22,KT,7말,데스파이네,박용택,,*포일,"무사 1,2루 5:1","무사 2,3루 5:1",2.14,0.331,15.8,18.0,0.022000000000000002
48,2020-09-01,SK,3초,정영일,7 박용택,0-3,볼넷,"2사 1,2루 4:2",2사 만루 4:2,1.3,0.349,29.0,26.8,0.022000000000000002
49,2020-10-30,SK,7초,김세현,박용택,,*도루(박용택/10485),"2사 1,3루 1:2","2사 2,3루 1:2",3.5,0.096,69.4,67.3,0.021
50,2020-09-16,한화,1초,김진욱,박용택,,*폭투,"1사 2,3루 3:0",1사 3루 4:0,0.91,0.258,18.0,15.9,0.021
51,2020-10-30,SK,7초,김세현,9 박용택,0-3,볼넷,2사 2루 1:2,"2사 1,2루 1:2",2.27,0.122,72.7,70.7,0.02
52,2020-05-29,KIA,4초,브룩스,5 박용택,2-3,볼넷,1사 2:0,1사 1루 2:0,0.51,0.276,28.5,26.6,0.019
53,2020-05-14,SK,6말,김정빈,6 박용택,0-0,우익수 안타,2사 2:2,2사 1루 2:2,0.68,0.134,51.7,53.6,0.018000000000000002
54,2020-06-04,삼성,3말,백정현,6 박용택,1-0,우익수 희생플라이,"1사 1,3루 0:2",2사 1루 0:3,1.3,0.008,81.4,83.0,0.015
55,2020-09-06,롯데,6초,샘슨,6 박용택,2-2,중견수 안타,2사 2:1,2사 1루 2:1,0.48,0.134,38.0,36.6,0.013999999999999999
56,2020-05-05,두산,2말,알칸타라,6 박용택,1-3,볼넷,2사 0:0,2사 1루 0:0,0.43,0.134,51.1,52.4,0.013000000000000001
57,2020-09-06,롯데,2초,샘슨,6 박용택,0-0,중견수 안타,2사 0:0,2사 1루 0:0,0.42,0.134,54.0,52.7,0.013000000000000001
58,2020-05-16,키움,1말,한현희,3 박용택,0-0,중견수 안타,2사 0:0,2사 1루 0:0,0.4,0.134,51.0,52.2,0.012
59,2020-06-16,한화,5초,장민재,5 박용택,2-3,우익수 안타,무사 1루 6:0,"무사 1,3루 6:0",0.18,0.951,3.1,2.0,0.012
60,2020-06-05,키움,2초,최원태,6 박용택,0-0,중견수 안타,2사 0:3,2사 1루 0:3,0.32,0.134,81.6,80.5,0.011000000000000001
61,2020-05-06,두산,2말,이영하,박용택,,*도루(박용택/10485),2사 1루 0:0,2사 2루 0:0,0.84,0.09300000000000001,52.4,53.4,0.01
62,2020-09-01,SK,7초,조영우,7 박용택,0-1,우익수 2루타,1사 8:4,1사 2루 8:4,0.14,0.428,6.2,5.2,0.01
63,2020-09-06,롯데,8초,진명호,6 박용택,0-1,우익수 안타,무사 4:1,무사 1루 4:1,0.26,0.39799999999999996,6.9,5.9,0.01
64,2020-06-19,두산,4말,이영하,5 박용택,1-0,좌익수 2루타,"2사 1,3루 15:5",2사 2루 15:7,0.1,1.806,0.7,1.6,0.009000000000000001
65,2020-06-05,키움,9초,조상우,6 박용택,1-3,볼넷,2사 3:6,2사 1루 3:6,0.14,0.134,99.6,98.8,0.008
66,2020-06-19,두산,3말,이영하,5 박용택,1-2,좌익수 2루타,무사 13:4,무사 2루 13:4,0.12,0.634,1.6,2.4,0.008
67,2020-06-20,두산,2말,박종기,박용택,,*폭투,2사 1루 3:0,2사 2루 3:0,0.74,0.09300000000000001,22.3,23.1,0.008
68,2020-05-31,KIA,7초,김현준,2 박용택,0-1,중견수 2루타,"무사 1,2루 10:4",무사 2루 12:4,0.1,1.6159999999999999,1.0,0.3,0.008
69,2020-06-11,SK,7말,박민호,5 박용택,1-1,유격수 내야안타,2사 1:3,2사 1루 1:3,0.22,0.134,87.2,87.7,0.006
70,2020-09-07,롯데,3초,박세웅,5 박용택,2-2,우익수 2루타,2사 3:10,2사 2루 3:10,0.08,0.22699999999999998,97.4,96.9,0.005
71,2020-05-29,KIA,8초,고영창,5 박용택,2-2,우익수 안타,2사 1루 5:1,"2사 1,3루 5:1",0.13,0.287,3.9,3.5,0.004
72,2020-09-17,롯데,6말,이인복,5 박용택,2-2,2루수 땅볼 실책[실책포함],무사 0:5,무사 1루 0:5,0.09,0.39799999999999996,97.5,97.8,0.003
73,2020-06-07,키움,8초,김성민,3 박용택,2-0,투수 안타,1사 1루 6:0,"1사 1,3루 6:0",0.04,0.67,0.8,0.6,0.002
