,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,문경찬,5,5,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,1.62,2.14,0.681
1,서준원,3,3,2,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,1.21,2.47,0.247
2,김민수,5,5,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,1.98,1.95,0.223
3,이승현,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,1.47,0.64,0.209
4,핀토,6,5,0,3,2,0,0,5,3,0,0,1,0,0,1,0,0,0,0.600,0.667,1.000,1.667,0.91,3.32,0.148
5,장민재,5,5,3,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,0.76,2.03,0.134
6,전상현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.47,0.40,0.134
7,플렉센,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.19,0.78,0.113
8,김민규,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.57,1.00,0.103
9,김진욱,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.63,1.14,0.095
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,서진용,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.34,0.40,0.094
12,백승건,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.39,1.00,0.094
13,김민우,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.29,0.57,0.094
14,정영일,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.58,0.87,0.093
15,브리검,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,1.43,0.43,0.084
16,데스파이네,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.04,0.93,0.082
17,최원태,4,4,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,0.77,0.62,0.079
18,원종현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.26,0.40,0.074
19,노성호,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.99,1.00,0.070
20,루친스키,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,1.59,0.05,0.061
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,이영하,6,5,1,3,2,0,0,5,4,1,0,1,0,0,0,0,0,0,0.600,0.667,1.000,1.667,0.96,2.99,0.060
23,이승호,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.27,0.50,0.056
24,백정현,3,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1.000,0.333,1.000,1.333,0.75,0.08,0.052
25,김태훈,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.19,0.20,0.050
26,심창민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.48,0.22,0.033
27,김세현,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,2.40,-0.03,0.031
28,김명신,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.03,0.13,0.024
29,홍성민,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.500,0.000,0.500,1.92,0.00,0.021
30,배제성,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.66,0.15,0.019
31,김정빈,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.68,0.13,0.018
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,원태인,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.82,0.09,0.013
34,킹엄,3,3,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.667,1.21,0.79,0.013
35,진명호,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.13,0.14,0.010
36,조상우,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.14,0.13,0.008
37,한현희,6,6,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.18,0.14,0.008
38,김현준,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.10,1.62,0.007
39,박민호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.22,0.13,0.006
40,고영창,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.13,0.29,0.004
41,이인복,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,0.40,0.003
42,박시영,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.09,0.52,0.002
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,채지선,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.04,1.25,0.002
45,이동원,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.24,0.28,0.002
46,김성민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.04,0.67,0.002
47,이현호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.02,0.13,0.001
48,김범수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
49,이현승,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
50,김현수,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.000,,,0.03,-0.17,0.000
51,권오준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
52,김기탁,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.04,0.25,0.000
53,손정욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.34,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,안영명,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.13,0.000
56,하준호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
57,최채흥,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
58,서덕원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.26,-0.001
59,이건욱,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,0.69,-0.66,-0.001
60,윤대경,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.05,-0.38,-0.001
61,김종수,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.07,0.12,-0.002
62,김대우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.38,-0.002
