,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,박건우,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,0.08,1.77,0.01
1,박세혁,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
2,모창민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
3,나성범,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,0.4,0.0
4,페르난데스,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02,-0.12,0.0
5,김찬형,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,,,0.0,-0.12,0.0
6,김태군,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,0.62,0.0
7,김진성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
8,이상호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0
9,최정원,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,0.01,1.5,0.0
