,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,윤대경,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.49,1.00,0.069
1,이인복,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.04,0.95,0.065
2,박상원,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.60,0.63,0.043
3,이승현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.98,0.28,0.037
4,원종현,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3.32,0.10,0.033
5,최원준,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.45,0.84,0.021
6,라이블리,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.18,0.08,0.019
7,김대우,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.87,0.15,0.014
8,장시환,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,2.42,0.10,0.012
9,하준호,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.31,0.23,0.011
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,허윤동,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.26,0.13,0.009
12,손동현,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.20,1.00,0.007
13,장원삼,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.73,0.02,0.005
14,진명호,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.10,0.74,0.005
15,이영하,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.16,0.59,0.005
16,김재윤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
17,박시영,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
18,알칸타라,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
19,조현우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
20,문동욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김종수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
23,문경찬,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
24,김민우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
25,김주온,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.01,0.24,0.000
26,윤호솔,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.26,0.000
27,송명기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
28,이현승,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
29,채지선,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.34,-0.001
30,홍건희,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.05,-0.47,-0.001
31,홍정우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.81,-0.18,-0.020
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김민수,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.56,-0.44,-0.027
34,박진형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.73,-0.26,-0.044
35,박진우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.80,-0.18,-0.045
36,김진욱,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.28,-0.83,-0.059
37,채드벨,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.65,-1.26,-0.082
38,박종기,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,1.00,-0.95,-0.088
39,유원상,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,2.53,-1.95,-0.325
