,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-04,NC,12초,송은범,9 김성욱,1-0,김성욱/11153 : 3루수 직선타 아웃,1사 만루 5:5,2사 만루 5:5,5.95,-0.835,28.5,46.6,-0.18100000000000002
1,2020-09-04,NC,12초,송은범,1 박민우,2-2,2루수 땅볼,2사 만루 5:5,이닝종료 5:5,6.87,-0.815,46.6,63.7,-0.171
2,2020-10-06,삼성,10초,송은범,5 김헌곤,2-1,1루수 뜬공,2사 만루 2:2,이닝종료 2:2,6.87,-0.815,46.6,63.7,-0.171
3,2020-05-16,키움,9초,송은범,1 서건창,2-3,우익수 뜬공,2사 만루 3:5,이닝종료 3:5,5.7,-0.815,85.5,100.0,-0.145
4,2020-08-28,KT,9초,송은범,5 유한준,2-1,유격수 병살타,1사 1루 5:5,이닝종료 5:5,3.04,-0.573,50.0,63.7,-0.138
5,2020-06-11,SK,9초,송은범,1 김강민,2-2,유격수 땅볼,1사 2루 3:4,2사 2루 3:4,4.05,-0.381,77.5,88.8,-0.113
6,2020-06-11,SK,9초,송은범,2 최지훈,2-1,최지훈/14587 : 삼진 아웃,2사 2루 3:4,이닝종료 3:4,3.94,-0.344,88.8,100.0,-0.11199999999999999
7,2020-07-02,KT,10초,송은범,6 박경수,2-2,우익수 안타,"1사 1,2루 3:3","2사 1,2루 3:3",4.62,-0.505,41.9,52.3,-0.10400000000000001
8,2020-05-06,두산,2초,송은범,7 박세혁,0-1,1루수 병살타,무사 1루 0:0,2사 0:0,1.53,-0.836,46.2,54.0,-0.078
9,2020-11-02,키움,12초,송은범,1 박준태,2-2,박준태/11260 : 삼진 아웃,1사 1루 2:2,2사 1루 2:2,3.04,-0.322,50.0,57.3,-0.073
10,2020-10-20,KT,8말,송은범,8 문상철,2-1,유격수 병살타,1사 만루 7:2,이닝종료 7:2,1.71,-1.65,7.3,0.6,-0.067
11,2020-10-17,KIA,4초,송은범,9 박찬호,1-3,유격수 병살타,1사 1루 3:4,이닝종료 3:4,1.51,-0.573,62.2,68.8,-0.065
12,2020-06-12,롯데,10초,송은범,8 한동희,1-0,유격수 땅볼,2사 1루 2:2,이닝종료 2:2,2.32,-0.251,57.3,63.7,-0.065
13,2020-11-02,키움,12초,송은범,2 서건창,1-2,2루수 땅볼,2사 1루 2:2,이닝종료 2:2,2.32,-0.251,57.3,63.7,-0.065
14,2020-09-01,SK,6말,송은범,1 최지훈,2-2,투수 병살타,무사 1루 8:4,2사 8:4,1.35,-0.836,12.7,6.3,-0.064
15,2020-06-18,한화,8말,송은범,5 김태균,2-3,김태균/10552 : 삼진 아웃,"1사 1,2루 6:3","2사 1,2루 6:3",2.75,-0.505,14.4,8.2,-0.062
16,2020-08-29,두산,7초,송은범,1 박건우,0-0,포수 파울 뜬공,1사 2루 3:3,2사 2루 3:3,2.16,-0.381,46.5,52.6,-0.061
17,2020-06-12,롯데,10초,송은범,5 마차도,0-2,2루수 뜬공,무사 2:2,1사 2:2,2.32,-0.258,50.0,55.9,-0.059000000000000004
18,2020-11-02,키움,12초,송은범,8 러셀,0-0,중견수 뜬공,무사 2:2,1사 2:2,2.32,-0.258,50.0,55.9,-0.059000000000000004
19,2020-08-28,KT,10초,송은범,6 배정대,1-1,중견수 뜬공,무사 5:5,1사 5:5,2.32,-0.258,50.0,55.9,-0.059000000000000004
20,2020-10-06,삼성,10초,송은범,9 이성규,2-2,중견수 뜬공,무사 2:2,1사 2:2,2.32,-0.258,50.0,55.9,-0.059000000000000004
21,2020-06-11,SK,9초,송은범,9 김성현,0-2,1루수 희생번트,무사 1루 3:4,1사 2루 3:4,4.61,-0.228,72.3,77.5,-0.052000000000000005
22,2020-05-29,KIA,7말,송은범,7 백용환,2-1,유격수 땅볼,무사 2:1,1사 2:1,1.91,-0.258,36.0,31.1,-0.049
23,2020-08-20,키움,7말,송은범,1 서건창,1-0,2루수 땅볼,무사 4:3,1사 4:3,1.91,-0.258,36.0,31.1,-0.049
24,2020-10-11,NC,8초,송은범,9 김형준,2-2,3루수 병살타,"1사 1,2루 3:1",이닝종료 3:1,1.02,-0.971,11.5,16.2,-0.047
25,2020-10-08,삼성,8초,송은범,8 김도환,2-2,김도환/14115 : 삼진 아웃,무사 0:0,1사 0:0,1.85,-0.258,50.0,54.7,-0.047
26,2020-06-12,롯데,10초,송은범,6 김준태,2-1,김준태/10835 : 삼진 아웃,1사 2:2,2사 2:2,1.8,-0.18,55.9,60.4,-0.045
27,2020-08-28,KT,10초,송은범,7 장성우,0-2,유격수 땅볼,1사 5:5,2사 5:5,1.8,-0.18,55.9,60.4,-0.045
28,2020-10-06,삼성,10초,송은범,1 박해민,0-1,유격수 땅볼,1사 2:2,2사 2:2,1.8,-0.18,55.9,60.4,-0.045
29,2020-10-17,KIA,4초,송은범,8 한승택,2-3,한승택/11119 : 삼진 아웃,무사 1루 3:4,1사 1루 3:4,1.89,-0.38,57.9,62.2,-0.044000000000000004
30,2020-09-18,롯데,8초,송은범,8 신본기,1-1,투수 땅볼,"1사 1,3루 5:3","2사 1,2루 5:3",1.06,-0.777,9.6,13.8,-0.042
31,2020-05-06,두산,1초,송은범,5 최주환,1-2,중견수 뜬공,"2사 1,2루 0:0",이닝종료 0:0,1.62,-0.466,50.6,54.8,-0.042
32,2020-08-29,두산,7초,송은범,8 김재호,2-2,3루수 땅볼,무사 3:3,1사 3:3,1.54,-0.258,50.0,53.9,-0.039
33,2020-10-23,KIA,7말,송은범,9 박찬호,2-3,박찬호/11261 : 삼진 아웃,무사 6:4,1사 6:4,1.54,-0.258,21.5,17.6,-0.039
34,2020-05-16,키움,9초,송은범,5 박동원,1-2,3루수 땅볼,무사 3:5,1사 3:5,1.5,-0.258,92.6,96.5,-0.038
35,2020-07-02,KT,10초,송은범,8 조용호,2-1,조용호/12943 : 삼진 아웃,"2사 1,3루 4:3",이닝종료 4:3,1.37,-0.5379999999999999,16.2,20.0,-0.038
36,2020-08-14,NC,5말,송은범,6 박석민,0-0,중견수 뜬공,1사 1루 4:4,2사 1루 4:4,1.56,-0.322,56.9,53.1,-0.037000000000000005
37,2020-08-14,NC,6말,송은범,2 권희동,2-3,권희동/11172 : 삼진 아웃,2사 1루 4:4,이닝종료 4:4,1.27,-0.251,53.6,50.0,-0.036000000000000004
38,2020-05-29,KIA,7말,송은범,8 김규성,2-1,1루수 땅볼,1사 2:1,2사 2:1,1.41,-0.18,31.1,27.6,-0.035
39,2020-10-08,삼성,8초,송은범,9 김호재,1-0,3루수 땅볼,1사 0:0,2사 0:0,1.39,-0.18,54.7,58.2,-0.035
40,2020-08-28,KT,10초,송은범,8 심우준,2-2,심우준/11334 : 삼진 아웃,2사 5:5,이닝종료 5:5,1.32,-0.11699999999999999,60.4,63.7,-0.034
41,2020-08-14,NC,6말,송은범,8 박준영,2-2,박준영/12522 : 삼진 아웃,무사 4:4,1사 4:4,1.32,-0.258,57.5,54.2,-0.034
42,2020-08-14,NC,5말,송은범,7 모창민,2-1,모창민/10093 : 삼진 아웃,2사 1루 4:4,이닝종료 4:4,1.11,-0.251,53.1,50.0,-0.031
43,2020-10-04,KT,7말,송은범,1 배정대,1-3,유격수 땅볼,2사 2루 6:7,이닝종료 6:7,1.1,-0.344,77.9,74.8,-0.031
44,2020-10-01,롯데,7초,송은범,1 오윤석,2-2,유격수 땅볼,"2사 1,2루 3:1",이닝종료 3:1,1.14,-0.466,18.6,21.5,-0.028999999999999998
45,2020-10-20,KT,8말,송은범,6 배정대,2-0,배정대/11212 : 삼진 아웃,"무사 1,2루 7:2","1사 1,2루 7:2",1.23,-0.602,6.6,3.7,-0.028999999999999998
46,2020-10-01,롯데,7초,송은범,9 김재유,2-2,김재유/11483 : 삼진 아웃,"1사 1,2루 3:1","2사 1,2루 3:1",1.25,-0.505,15.7,18.6,-0.028999999999999998
47,2020-08-30,두산,8초,송은범,8 김재호,2-2,김재호/10174 : 삼진 아웃,1사 1루 0:3,2사 1루 0:3,1.14,-0.322,92.8,95.6,-0.027999999999999997
48,2020-09-06,롯데,7말,송은범,7 이병규,1-2,2루수 땅볼,무사 4:1,1사 4:1,1.07,-0.258,12.4,9.6,-0.027000000000000003
49,2020-10-08,삼성,8초,송은범,1 박해민,1-2,우익수 뜬공,2사 0:0,이닝종료 0:0,0.98,-0.11699999999999999,58.2,60.7,-0.025
50,2020-08-14,NC,6말,송은범,9 지석훈,2-1,지석훈/10683 : 삼진 아웃,1사 4:4,2사 4:4,0.98,-0.18,54.2,51.7,-0.024
51,2020-08-20,키움,6말,송은범,7 허정협,2-2,3루수 땅볼,무사 2루 1:3,1사 2루 1:3,0.64,-0.46399999999999997,88.4,86.0,-0.024
52,2020-05-29,KIA,7말,송은범,9 황윤호,2-3,2루수 뜬공,2사 2:1,이닝종료 2:1,0.94,-0.11699999999999999,27.6,25.2,-0.024
53,2020-05-16,키움,9초,송은범,6 김규민,2-3,중견수 뜬공,1사 3:5,2사 3:5,0.95,-0.18,96.5,98.8,-0.024
54,2020-09-04,NC,12초,송은범,6 김태군,1-1,포수 희생번트,무사 1루 5:5,1사 2루 5:5,3.44,-0.228,41.8,44.2,-0.024
55,2020-09-22,SK,7초,송은범,5 채현우,1-1,중견수 뜬공,무사 2:5,1사 2:5,0.92,-0.258,89.7,92.0,-0.024
56,2020-06-16,한화,9말,송은범,5 정진호,1-1,1루수 땅볼,"1사 1,2루 9:5","2사 2,3루 9:5",1.24,-0.337,4.2,2.0,-0.022000000000000002
57,2020-08-30,두산,8초,송은범,6 허경민,2-2,유격수 땅볼,무사 0:3,1사 0:3,0.88,-0.258,93.1,95.3,-0.022000000000000002
58,2020-05-06,두산,1초,송은범,1 박건우,1-1,우익수 뜬공,무사 0:0,1사 0:0,0.87,-0.258,50.0,52.2,-0.022000000000000002
59,2020-08-20,키움,6말,송은범,9 김혜성,2-3,중견수 뜬공,2사 2루 1:3,이닝종료 1:3,0.73,-0.344,84.0,81.9,-0.021
60,2020-06-02,삼성,8초,송은범,3 살라디노,0-1,유격수 땅볼,2사 2루 2:0,이닝종료 2:0,0.72,-0.344,14.2,16.2,-0.02
61,2020-08-20,키움,6말,송은범,8 전병우,0-0,유격수 땅볼,1사 2루 1:3,2사 2루 1:3,0.71,-0.381,86.0,84.0,-0.02
62,2020-08-25,삼성,7말,송은범,7 김헌곤,2-2,김헌곤/10640 : 삼진 아웃,무사 3:4,1사 3:4,0.75,-0.258,79.1,77.2,-0.019
63,2020-10-04,KT,7말,송은범,7 장성우,2-2,2루수 땅볼,무사 6:7,1사 6:7,0.75,-0.258,79.1,77.2,-0.019
64,2020-06-14,롯데,8초,송은범,9 마차도,2-2,유격수 땅볼,1사 2루 6:10,2사 2루 6:10,0.64,-0.381,96.0,97.8,-0.018000000000000002
65,2020-09-01,SK,7말,송은범,3 최정,2-2,최정/10106 : 삼진 아웃,무사 8:4,1사 8:4,0.69,-0.258,6.9,5.1,-0.018000000000000002
66,2020-10-17,KIA,3초,송은범,5 나지완,2-2,유격수 땅볼,1사 3:3,2사 3:3,0.72,-0.18,52.5,54.3,-0.018000000000000002
67,2020-08-18,KIA,5초,송은범,6 나주환,2-0,나주환/10092 : 삼진 아웃,무사 5:3,1사 5:3,0.69,-0.258,24.5,26.3,-0.018000000000000002
68,2020-09-06,롯데,7말,송은범,8 김준태,0-0,2루수 땅볼,1사 4:1,2사 4:1,0.7,-0.18,9.6,7.9,-0.017
69,2020-05-06,두산,1초,송은범,2 페르난데스,1-1,2루수 땅볼,1사 0:0,2사 0:0,0.62,-0.18,52.2,53.8,-0.016
70,2020-10-30,SK,7말,송은범,2 고종욱,0-2,1루수 땅볼,"1사 1,2루 1:3","2사 1,3루 1:3",0.83,-0.433,90.5,89.0,-0.015
71,2020-05-23,KT,7초,송은범,1 심우준,1-1,3루수 땅볼,무사 4:2,1사 4:2,0.6,-0.258,18.1,19.6,-0.015
72,2020-09-22,SK,7초,송은범,6 김강민,2-2,2루수 땅볼,1사 2:5,2사 2:5,0.59,-0.18,92.0,93.5,-0.015
73,2020-08-25,삼성,7말,송은범,8 김동엽,2-2,좌익수 뜬공,1사 3:4,2사 3:4,0.56,-0.18,77.2,75.8,-0.013999999999999999
74,2020-10-04,KT,7말,송은범,8 황재균,2-0,3루수 땅볼,1사 6:7,2사 6:7,0.56,-0.18,77.2,75.8,-0.013999999999999999
75,2020-08-23,한화,8초,송은범,5 하주석,2-1,2루수 땅볼,2사 1루 3:1,이닝종료 3:1,0.47,-0.251,14.9,16.2,-0.013000000000000001
