,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김호재,3,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,3.03,0.95,0.338
1,장성우,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.92,1.25,0.328
2,이병규,4,4,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,1.51,0.96,0.192
3,오재일,2,2,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.36,1.77,0.152
4,로하스,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.58,1.87,0.133
5,알테어,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.64,0.67,0.122
6,문상철,3,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.500,0.667,0.500,1.167,3.00,-0.40,0.115
7,이흥련,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.87,0.40,0.115
8,박승욱,3,3,0,3,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.65,1.88,0.090
9,김혜성,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.84,0.76,0.085
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,호잉,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,1.25,0.53,0.078
12,오태곤,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.67,1.22,0.074
13,박준태,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,1.44,0.23,0.071
14,김선빈,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.07,0.05,0.066
15,페르난데스,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.36,0.66,0.065
16,전병우,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0.63,-0.05,0.064
17,구자욱,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.24,0.85,0.060
18,강진성,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,4.23,0.47,0.056
19,최진행,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.38,0.40,0.055
20,김하성,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.41,0.28,0.054
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,로맥,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.45,0.41,0.047
23,최원준,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.06,0.28,0.046
24,김동엽,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.28,0.33,0.043
25,이성열,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.29,1.00,0.041
26,정수빈,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.99,0.40,0.040
27,김태진,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.77,-0.07,0.037
28,마차도,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.85,0.04,0.034
29,최주환,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,1.25,0.85,0.032
30,강경학,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.42,0.01,0.029
31,김상수,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.27,0.24,0.029
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
