,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-11-02,키움,13말,김태훈,2 신민재,0-2,우익수 안타,2사 만루 3:3,2사 만루 3:4,6.39,1.0,65.9,100.0,0.342
1,2020-08-18,KIA,9말,전상현,신민재,,*실책진루(포수)[실책포함],1사 1루 5:4,1사 3루 5:4,4.68,0.41,20.9,41.2,0.203
2,2020-10-08,삼성,9말,이상민,1 신민재,0-2,좌익수 안타,1사 만루 0:0,1사 만루 0:1,5.64,1.0,83.3,100.0,0.16699999999999998
3,2020-09-04,NC,2말,루친스키,8 신민재,0-0,우익수 안타,"2사 1,2루 0:0",이닝종료 0:1,1.74,0.534,54.5,61.4,0.07
4,2020-10-28,한화,10말,김진영,8 신민재,2-3,볼넷,1사 6:6,1사 1루 6:6,1.8,0.276,58.0,63.5,0.055
5,2020-10-30,SK,9초,서진용,8 신민재,2-3,볼넷,1사 1:3,1사 1루 1:3,0.95,0.276,96.5,91.5,0.05
6,2020-10-28,한화,8말,윤대경,신민재,,*도루(신민재/13056),1사 1루 6:6,1사 2루 6:6,2.37,0.152,60.7,65.2,0.045
7,2020-11-05,두산,8말,이영하,9 신민재,2-3,볼넷,1사 2루 8:7,"1사 1,2루 8:7",3.51,0.24600000000000002,36.0,40.4,0.044000000000000004
8,2020-10-28,한화,10말,김진영,신민재,,*도루(신민재/13056),2사 1루 6:6,2사 2루 6:6,2.3,0.09300000000000001,56.4,60.8,0.044000000000000004
9,2020-09-06,롯데,3초,샘슨,8 신민재,0-0,중견수 안타,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,50.0,46.0,0.04
10,2020-08-26,삼성,8초,최지광,신민재,,*폭투,1사 1루 4:5,1사 2루 4:5,2.9,0.152,74.2,70.2,0.04
11,2020-08-20,키움,7초,김태훈,신민재,,*실책진루(투수)[실책포함],1사 1루 2:3,1사 2루 2:3,2.31,0.152,69.0,65.9,0.031
12,2020-09-06,롯데,8초,진명호,8 신민재,1-1,우익수 2루타,1사 1루 4:1,"1사 2,3루 4:1",0.35,0.894,6.9,4.4,0.025
13,2020-10-30,SK,7초,박종훈,신민재,,*도루(신민재/13056),2사 1루 1:2,2사 2루 1:2,1.61,0.09300000000000001,74.6,72.7,0.019
14,2020-10-04,KT,9초,손동현,5 신민재,0-0,투수 희생번트 실책[실책포함],무사 1루 11:8,"무사 2,3루 11:8",0.21,1.099,2.8,1.4,0.013999999999999999
15,2020-11-05,두산,6말,최원준,9 신민재,2-3,볼넷,2사 8:5,2사 1루 8:5,0.39,0.134,11.3,12.8,0.013999999999999999
16,2020-10-30,SK,7초,김세현,신민재,,*도루(신민재/13056),"2사 1,2루 1:2","2사 1,3루 1:2",3.26,0.07200000000000001,70.7,69.4,0.013000000000000001
17,2020-09-04,NC,9말,원종현,8 신민재,0-3,볼넷,1사 2루 5:5,"1사 1,2루 5:5",3.17,0.24600000000000002,69.8,70.8,0.01
18,2020-09-27,KT,9초,이보근,신민재,,*도루(신민재/13056),2사 1루 4:3,2사 2루 4:3,0.64,0.09300000000000001,18.2,17.2,0.01
19,2020-07-29,SK,8초,조영우,신민재,,*실책진루(투수)[실책포함],무사 1루 8:5,무사 2루 8:5,0.4,0.23600000000000002,5.9,5.1,0.009000000000000001
20,2020-06-18,한화,9초,황영국,신민재,,*도루(신민재/13056),"1사 1,3루 6:4","1사 2,3루 6:4",0.65,0.22399999999999998,5.0,4.5,0.005
21,2020-08-30,두산,6말,이주엽,7 신민재,2-1,좌익수 안타,2사 0:3,2사 1루 0:3,0.16,0.134,90.1,90.5,0.004
22,2020-08-30,두산,8말,이형범,7 신민재,2-3,볼넷,무사 1:4,무사 1루 1:4,0.11,0.39799999999999996,97.3,97.7,0.004
23,2020-07-29,SK,9초,이원준,7 신민재,0-0,좌익수 안타,"1사 1,2루 10:5","1사 1,2루 11:5",0.05,1.0,0.5,0.2,0.003
24,2020-08-30,두산,8말,이형범,신민재,,*실책진루(포수)[실책포함],2사 1루 1:4,2사 3루 1:4,0.11,0.136,97.0,97.2,0.002
25,2020-09-11,키움,9말,김동혁,9 신민재,0-2,중견수 안타,1사 8:2,1사 1루 8:2,0.03,0.276,0.1,0.3,0.002
26,2020-09-01,SK,9초,김주온,8 신민재,2-2,유격수 땅볼 실책[실책포함],무사 2루 11:5,"무사 1,3루 11:5",0.02,0.715,0.2,0.1,0.001
27,2020-09-07,롯데,9초,이인복,6 신민재,2-1,1루수 땅볼 실책[실책포함],2사 3루 5:12,2사 1루 6:12,0.01,0.8640000000000001,100.0,100.0,0.0
28,2020-08-12,KIA,8말,양승철,신민재,,*폭투,무사 1루 0:7,무사 2루 0:7,0.01,0.23600000000000002,99.9,99.9,0.0
29,2020-07-28,SK,9초,김주온,9 신민재,0-0,우익수 안타,1사 만루 18:5,"1사 1,2루 20:5",0.0,1.321,0.0,0.0,0.0
30,2020-10-13,롯데,9초,오현택,5 신민재,2-0,유격수 땅볼,1사 2:17,2사 2:17,0.0,-0.18,100.0,100.0,0.0
31,2020-06-19,두산,9말,이형범,3 신민재,0-2,투수 땅볼,1사 1루 18:10,2사 2루 18:10,0.02,-0.22899999999999998,0.0,0.0,-0.0
32,2020-09-06,롯데,9초,장원삼,8 신민재,2-0,신민재/13056 : 삼진 아웃,"2사 1,2루 7:1",이닝종료 7:1,0.03,-0.466,0.3,0.3,-0.001
33,2020-09-03,NC,8말,문경찬,8 신민재,2-0,3루수 땅볼,2사 5:6,이닝종료 5:6,0.29,-0.11699999999999999,84.5,83.8,-0.006999999999999999
34,2020-08-14,NC,4초,라이트,2 신민재,2-1,신민재/13056 : 삼진 아웃,2사 2:0,이닝종료 2:0,0.34,-0.11699999999999999,29.7,30.6,-0.009000000000000001
35,2020-09-04,NC,4말,루친스키,8 신민재,1-1,투수 희생번트,무사 1루 1:3,1사 2루 1:3,0.94,-0.228,81.2,80.2,-0.01
36,2020-08-14,NC,1초,라이트,2 신민재,1-1,1루수 땅볼,1사 0:0,2사 0:0,0.62,-0.18,52.2,53.8,-0.016
37,2020-09-06,롯데,4초,샘슨,8 신민재,2-3,유격수 땅볼,2사 1루 2:0,이닝종료 2:0,0.66,-0.251,28.8,30.6,-0.019
38,2020-06-25,키움,8말,양현,9 신민재,2-1,신민재/13056 : 삼진 아웃,1사 2루 4:5,2사 2루 4:5,0.74,-0.381,88.1,86.0,-0.021
39,2020-09-06,롯데,7초,김대우,8 신민재,1-3,3루수 땅볼,무사 2:1,1사 2:1,0.98,-0.258,30.5,32.9,-0.025
40,2020-08-13,KIA,6말,이민우,신민재,,*도루실패(신민재/13056),무사 1루 1:3,1사 1:3,0.79,-0.6559999999999999,86.8,83.5,-0.032
41,2020-09-04,NC,6말,임창민,8 신민재,2-3,유격수 땅볼,무사 5:3,1사 5:3,1.38,-0.258,25.5,22.0,-0.035
42,2020-09-04,NC,11말,김건태,8 신민재,2-2,유격수 땅볼,2사 5:5,이닝종료 5:5,1.38,-0.11699999999999999,53.5,50.0,-0.035
43,2020-09-04,NC,8말,문경찬,8 신민재,2-1,신민재/13056 : 삼진 아웃,무사 5:3,1사 5:3,1.71,-0.258,16.2,11.9,-0.043
44,2020-10-06,삼성,11말,우규민,8 신민재,0-1,3루수 땅볼,1사 2:2,2사 2:2,1.8,-0.18,58.0,53.5,-0.045
45,2020-10-24,NC,10초,원종현,3 신민재,1-1,중견수 뜬공,1사 3:3,2사 3:3,1.8,-0.18,55.9,60.4,-0.045
46,2020-08-14,NC,2초,라이트,2 신민재,2-0,2루수 땅볼,"2사 1,3루 1:0",이닝종료 1:0,1.66,-0.5379999999999999,39.4,44.0,-0.046
47,2020-07-31,한화,8말,정우람,신민재,,*도루실패(신민재/13056),2사 1루 1:0,이닝종료 1:0,2.43,-0.251,23.1,16.2,-0.069
48,2020-08-23,한화,9말,정우람,1 신민재,1-0,2루수 병살타,1사 만루 4:3,이닝종료 4:3,8.9,-1.65,53.7,0.0,-0.537
