,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김명신,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,0.92,1.34,0.140
1,김재윤,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.72,1.14,0.126
2,백승건,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2.16,0.74,0.088
3,이보근,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.24,0.47,0.079
4,임창민,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.13,0.67,0.068
5,우규민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.055
6,최성영,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.88,0.80,0.053
7,김재열,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,1.32,0.38,0.044
8,김진욱,3,2,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.43,1.15,0.040
9,가뇽,2,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.43,0.99,0.031
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김이환,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.70,-0.14,0.028
12,이태양,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.86,2.40,0.027
13,박정수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.73,0.44,0.027
14,김기훈,3,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.28,-0.60,0.024
15,김원중,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.40,0.28,0.022
16,신민혁,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.37,0.72,0.019
17,김민수,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,1.61,-0.12,0.013
18,이인복,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.09,1.19,0.009
19,한현희,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.85,0.15,0.005
20,손정욱,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,0.67,0.004
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,강동연,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.02,0.13,0.001
23,장원삼,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.28,0.000
24,전유수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.23,0.000
25,김종수,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.02,0.15,0.000
26,진명호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,0.23,0.000
27,김기탁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.51,-0.001
28,강윤구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.18,-0.001
29,박시영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.32,-0.001
30,하준호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.21,-0.18,-0.005
31,스트레일리,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.50,-0.005
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,박세웅,3,3,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,0.22,-0.36,-0.006
34,김선기,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.21,-0.25,-0.006
35,김세현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.26,-0.18,-0.006
36,조영우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.25,-0.25,-0.007
37,김성민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.24,-0.63,-0.007
38,윤명준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.38,-0.60,-0.016
39,최원준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.67,-0.18,-0.017
40,김대우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.68,-0.47,-0.017
41,샘슨,9,8,1,2,0,0,1,5,1,0,0,1,0,0,2,0,0,0,0.250,0.333,0.625,0.958,0.92,0.07,-0.019
42,홍건희,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.78,-0.12,-0.020
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,소형준,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,1.04,0.12,-0.020
45,브리검,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.44,-0.72,-0.024
46,정해영,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.59,-0.36,-0.026
47,쿠에바스,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.50,-0.38,-0.026
48,구승민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.15,-0.18,-0.029
49,심창민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.15,-0.18,-0.029
50,박치국,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.32,-0.26,-0.034
51,김민우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.20,-0.34,-0.034
52,김진성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.38,-0.26,-0.035
53,최준용,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.54,-0.26,-0.039
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,라이트,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.79,-0.38,-0.040
56,김영규,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0.84,-0.42,-0.041
57,함덕주,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.82,-0.65,-0.042
58,장현식,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.52,-0.39,-0.042
59,박종훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.73,-0.26,-0.044
60,라이블리,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.88,-0.44,-0.045
61,윤대경,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.81,-0.26,-0.046
62,김민규,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.80,-0.58,-0.051
63,권휘,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.26,-0.51,-0.051
64,양현종,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.71,-0.56,-0.054
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,문경찬,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.34,-0.32,-0.056
67,김진영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.26,-0.26,-0.058
68,서준원,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,1.27,-0.83,-0.059
69,노경은,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.57,-0.60,-0.060
70,최채흥,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,0.55,-1.14,-0.068
71,양승철,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0.58,-0.15,-0.079
72,허윤동,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.60,-1.00,-0.080
73,루친스키,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,1.11,-1.18,-0.082
74,원종현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3.85,-0.54,-0.107
75,홍성민,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.09,-0.95,-0.132
