,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-20,키움,7초,안우진,2 오지환,1-2,우익수 안타,2사 만루 2:3,"2사 1,3루 4:3",5.62,1.723,64.9,30.4,0.345
1,2020-09-26,KT,9초,김재윤,8 오지환,1-1,좌익수 3루타,1사 2루 1:1,1사 3루 2:1,3.27,1.258,44.2,11.8,0.324
2,2020-10-11,NC,8말,문경찬,9 오지환,1-0,좌익수 2루타,"1사 1,2루 3:1","1사 2,3루 3:2",4.11,1.496,25.1,54.9,0.298
3,2020-11-05,두산,6말,이승진,2 오지환,2-2,중견수 2루타,"2사 1,2루 8:5",2사 2루 8:7,1.91,1.8780000000000001,15.3,36.4,0.212
4,2020-09-06,롯데,7초,김대우,2 오지환,0-0,우익수 홈런,2사 2루 2:1,2사 4:1,1.38,1.7730000000000001,32.1,11.9,0.20199999999999999
5,2020-07-21,KT,2초,배제성,2 오지환,2-2,우익수 2루타,2사 만루 1:0,이닝종료 4:0,2.64,2.185,37.4,17.6,0.198
6,2020-10-02,KT,7초,주권,2 오지환,1-1,우익수 안타,"1사 1,3루 1:2","1사 1,3루 2:2",3.57,1.0,56.7,38.2,0.185
7,2020-06-30,KT,7말,주권,2 오지환,1-2,우익수 2루타,1사 2루 2:2,1사 2루 2:3,2.13,1.0,62.4,80.9,0.185
8,2020-05-31,KIA,3초,가뇽,7 오지환,2-3,좌익수 안타,"2사 2,3루 3:3",2사 1루 5:3,2.24,1.617,48.9,30.5,0.184
9,2020-05-14,SK,9말,김주온,7 오지환,1-0,우익수 안타[실책포함],무사 2:2,무사 2루 2:2,2.26,0.634,63.7,81.1,0.17300000000000001
10,2020-10-01,롯데,3말,노경은,2 오지환,2-1,우익수 안타,"1사 1,2루 2:0","1사 2,3루 2:1",2.37,1.496,37.1,54.0,0.16899999999999998
11,2020-10-04,KT,8초,이보근,2 오지환,2-3,우익수 안타,2사 만루 8:7,"2사 1,3루 10:7",2.78,1.723,23.4,6.9,0.165
12,2020-10-17,KIA,1말,김기훈,2 오지환,0-1,중견수 3루타,무사 1루 0:0,무사 3루 0:1,1.42,1.5290000000000001,58.3,72.7,0.14400000000000002
13,2020-09-03,NC,6말,김영규,2 오지환,0-0,우익수 2루타,무사 1루 4:1,"무사 2,3루 4:1",1.88,1.099,20.5,33.8,0.133
14,2020-06-17,한화,4초,채드벨,2 오지환,2-1,중견수 안타,2사 만루 3:1,"2사 1,2루 5:1",2.2,1.651,25.1,12.3,0.128
15,2020-07-16,롯데,5초,장원삼,2 오지환,2-3,중견수 안타,"1사 1,2루 1:4","1사 1,3루 2:4",2.14,1.272,79.7,67.2,0.125
16,2020-07-11,NC,3말,라이트,7 오지환,1-3,중견수 홈런,1사 3:2,1사 3:3,0.77,1.0,40.7,53.0,0.12300000000000001
17,2020-07-15,롯데,5초,샘슨,2 오지환,0-1,우익수 안타,무사 1루 2:2,"무사 1,3루 2:2",1.93,0.951,45.3,33.4,0.11900000000000001
18,2020-09-20,두산,5초,알칸타라,2 오지환,2-0,좌익수 2루타,2사 2루 3:2,2사 2루 4:2,1.3,1.0,37.6,25.7,0.11900000000000001
19,2020-10-03,KT,5초,김민수,2 오지환,0-1,2루수 2루타,"1사 2,3루 3:2",1사 2루 5:2,1.6,1.258,26.8,14.9,0.11900000000000001
