,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,배제성,11,11,2,7,3,0,0,10,4,0,0,0,0,0,1,0,0,0,0.636,0.636,0.909,1.546,1.11,5.37,0.418
1,안우진,3,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,2.01,1.49,0.334
2,김재윤,3,2,1,1,0,1,0,3,1,0,0,1,0,1,1,0,0,0,0.500,0.667,1.500,2.167,2.29,1.25,0.322
3,문경찬,4,4,1,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.750,0.750,1.750,2.500,2.19,2.20,0.311
4,김대우,5,4,1,2,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0.500,0.600,1.250,1.850,0.65,1.87,0.239
5,가뇽,5,5,1,4,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0.800,0.800,0.800,1.600,1.01,2.63,0.227
6,주권,7,6,0,2,1,0,0,3,2,0,1,1,0,0,0,0,0,0,0.333,0.429,0.500,0.929,1.91,0.90,0.182
7,라이트,4,3,2,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.667,0.750,1.667,2.417,0.83,1.54,0.176
8,김주온,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.14,1.63,0.174
9,이보근,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.78,1.72,0.165
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,노경은,6,6,0,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.500,0.833,1.42,1.24,0.137
12,김기훈,4,4,2,2,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.250,1.750,1.19,1.48,0.133
13,백승건,3,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.02,1.31,0.122
14,김영규,5,5,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,1.07,0.61,0.117
15,이현호,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2.49,0.72,0.114
16,브룩스,11,11,1,3,2,0,0,5,2,0,0,0,0,0,2,0,0,0,0.273,0.273,0.455,0.727,0.89,1.67,0.111
17,우규민,3,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,1.70,0.29,0.104
18,장원삼,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.03,0.98,0.100
19,문승원,3,3,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,1.20,1.00,0.098
20,김정빈,6,4,0,2,1,0,0,3,1,0,0,0,1,0,1,0,1,0,0.500,0.600,0.750,1.350,0.78,1.20,0.097
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,함덕주,4,4,1,3,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0.750,0.750,1.000,1.750,0.96,2.27,0.095
23,쿠에바스,6,6,3,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,1.24,0.99,0.092
24,박정수,3,2,1,2,1,0,0,3,0,0,1,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.74,0.39,0.088
25,황영국,2,1,2,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.48,2.26,0.085
26,브리검,8,5,2,2,0,1,0,4,1,1,0,1,1,0,2,0,0,1,0.400,0.500,0.800,1.300,0.74,1.68,0.083
27,김민수,12,12,0,3,1,0,0,4,3,1,1,0,0,0,1,0,0,0,0.250,0.250,0.333,0.583,1.14,0.23,0.079
28,임창민,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.71,0.64,0.078
29,채드벨,5,4,0,2,0,0,0,2,3,0,0,0,0,0,1,0,1,0,0.500,0.500,0.500,1.000,0.95,1.65,0.076
30,샘슨,17,16,4,7,0,0,0,7,1,0,0,1,0,0,2,0,0,0,0.438,0.471,0.438,0.908,0.90,0.87,0.074
31,정영일,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.08,0.63,0.074
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김민,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.30,0.55,0.073
34,이승진,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.84,0.38,0.069
35,이현승,5,4,0,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.500,0.600,0.750,1.350,0.60,0.89,0.068
36,김종수,3,3,3,2,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0.667,0.667,2.667,3.333,0.25,2.75,0.067
37,서폴드,10,10,0,3,1,1,0,6,3,0,0,0,0,0,3,0,0,0,0.300,0.300,0.600,0.900,0.76,0.71,0.065
38,권오준,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.94,1.10,0.065
39,노성호,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.34,0.40,0.059
40,이대은,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.30,1.88,0.058
41,박시영,2,1,2,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.40,1.61,0.056
42,신재웅,2,2,2,2,1,0,1,6,3,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.26,3.21,0.055
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,알칸타라,11,11,2,3,1,0,0,4,2,0,0,0,0,0,3,0,0,0,0.273,0.273,0.364,0.636,0.77,0.40,0.055
45,뷰캐넌,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,0.09,0.63,0.053
46,김주한,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.52,0.59,0.048
47,송승준,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.89,0.89,0.048
48,박종기,4,4,1,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,1.35,0.80,0.047
49,장지훈,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.52,0.07,0.045
50,이상민,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.80,0.05,0.040
51,김진욱,4,3,2,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.333,0.500,1.333,1.833,0.77,0.69,0.038
52,조현우,5,4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,1.59,-0.43,0.035
53,김재열,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1.000,,,0.92,0.40,0.034
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,조성운,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.23,0.05,0.032
56,김명찬,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.34,0.31,0.029
57,정우람,2,2,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,1.50,0.25,0.029
58,윤대경,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,1.32,0.07,0.027
59,백정현,5,5,1,2,0,0,1,5,3,1,0,0,0,0,1,0,0,0,0.400,0.400,1.000,1.400,0.52,1.66,0.026
60,김건태,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.34,0.89,0.024
61,박치국,3,3,1,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.32,0.34,0.021
62,신민혁,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.17,0.52,0.021
63,신정락,3,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.333,0.333,1.000,1.333,0.13,-0.43,0.020
64,구승민,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.63,0.12,0.019
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,고영창,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.19,1.47,0.015
67,안영명,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.21,0.41,0.015
68,정해영,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,2.74,-0.07,0.015
69,김진영,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.43,-0.12,0.014
70,조영우,4,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0.33,-0.17,0.013
71,양승철,3,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,1.05,0.48,0.011
72,소이현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.34,0.68,0.010
73,김성민,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.26,0.40,0.010
74,박진태,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.21,0.40,0.008
75,김현수,3,3,1,3,1,1,0,6,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.03,2.05,0.005
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,이원준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.13,0.22,0.003
78,임정호,5,4,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.250,0.400,0.250,0.650,1.28,-0.64,0.003
79,양현종,9,7,1,3,1,0,0,4,0,0,1,2,0,0,2,0,0,0,0.429,0.556,0.571,1.127,1.03,-0.11,0.001
80,김범수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
81,윤희상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
82,윤호솔,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.40,0.000
83,김현준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.18,0.000
84,이인복,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
85,진명호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.34,-0.001
86,김찬호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.60,-0.001
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,이영하,13,12,1,4,0,0,0,4,2,2,0,0,0,0,1,0,0,1,0.333,0.308,0.333,0.641,0.95,0.02,-0.001
89,김택형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.18,-0.001
90,홍정우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.38,-0.002
91,하준호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.25,-0.002
92,조영건,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.12,-0.39,-0.003
93,김건국,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.11,-0.26,-0.003
94,김기탁,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.07,-0.25,-0.003
95,오현택,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.10,-0.34,-0.003
96,오승환,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,3.36,0.00,-0.004
97,남재현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.26,-0.38,-0.006
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,양현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.22,-0.12,-0.006
100,이태양,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.13,0.02,-0.006
101,이형범,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.18,-0.50,-0.008
102,손정욱,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.17,-0.61,-0.008
103,장민재,4,4,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.56,0.10,-0.009
104,박준표,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.44,-0.26,-0.011
105,서진용,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,4.46,0.33,-0.013
106,배재환,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.000,0.333,0.000,0.333,0.32,-0.18,-0.013
107,임규빈,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.20,0.22,-0.014
108,윤명준,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.17,-0.85,-0.015
109,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
110,유원상,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.34,-1.07,-0.017
111,조병욱,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.76,-0.16,-0.017
112,장필준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.85,-0.18,-0.021
113,박진형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.80,-0.12,-0.021
114,이영준,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.40,-0.38,-0.021
115,최원태,5,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0.72,-0.54,-0.023
116,오주원,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,1.45,-0.49,-0.024
117,스트레일리,5,5,1,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.400,0.400,0.600,1.000,0.73,-0.11,-0.026
118,이승현,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.93,-0.04,-0.027
119,최성영,6,5,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.200,0.333,0.200,0.533,0.59,-0.18,-0.027
120,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
121,김민규,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.58,-1.30,-0.030
122,박진우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.10,-0.39,-0.030
123,강윤구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.26,-0.34,-0.032
124,강재민,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,0.58,-0.21,-0.033
125,김태훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.38,-0.26,-0.035
126,고효준,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.33,-1.25,-0.035
127,강동연,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.64,-0.72,-0.035
128,플렉센,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.68,-0.37,-0.037
129,송명기,6,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.000,0.167,0.000,0.167,0.71,-0.49,-0.039
130,킹엄,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.90,-0.50,-0.042
131,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
