,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-16,NC,5초,최성영,7 유강남,2-2,좌익수 홈런,"2사 1,2루 3:4",2사 6:4,2.38,2.6510000000000002,64.9,27.5,0.374
1,2020-07-26,두산,7초,이영하,8 유강남,2-2,좌익수 안타,"1사 1,3루 1:2",1사 1루 3:2,3.57,1.33,56.7,30.3,0.264
2,2020-07-03,삼성,3초,백정현,5 유강남,2-2,좌익수 홈런,"2사 1,2루 2:5",2사 5:5,1.52,2.6510000000000002,80.4,54.3,0.261
3,2020-06-07,키움,6초,김재웅,8 유강남,0-1,중견수 안타,"2사 2,3루 0:0",2사 1루 2:0,3.0,1.617,48.7,23.7,0.25
4,2020-10-09,NC,2말,최성영,8 유강남,1-0,좌익수 홈런,"1사 1,2루 0:0",1사 0:3,2.01,2.326,59.0,81.3,0.223
5,2020-07-16,롯데,5초,이인복,6 유강남,2-3,우익수 안타,"2사 2,3루 4:4",2사 1루 6:4,2.67,1.617,48.7,26.6,0.222
6,2020-06-09,SK,8말,서진용,8 유강남,2-3,우익수 안타,1사 만루 2:1,1사 만루 2:2,6.54,1.0,55.5,77.5,0.22
7,2020-09-10,키움,6말,김태훈,8 유강남,1-1,좌익수 2루타,2사 1루 1:1,2사 2루 1:2,1.27,1.093,53.6,72.9,0.193
8,2020-08-23,한화,9말,정우람,7 유강남,1-0,좌익수 2루타,"1사 1,2루 4:1","1사 2,3루 4:2",2.7,1.496,10.1,28.8,0.187
9,2020-09-01,SK,3초,정영일,6 유강남,1-2,중견수 안타,2사 만루 2:2,"2사 1,2루 4:2",3.22,1.651,47.4,29.0,0.184
10,2020-06-14,롯데,6말,오현택,8 유강남,1-0,우익수 안타,1사 만루 4:4,"1사 1,3루 4:6",3.53,1.5930000000000002,70.9,88.7,0.17800000000000002
11,2020-05-27,한화,2초,장민재,8 유강남,2-2,우익수 홈런,1사 1루 2:1,1사 4:1,1.1,1.724,39.3,23.2,0.161
12,2020-06-12,롯데,8말,스트레일리,8 유강남,2-2,좌익수 안타,1사 3루 2:1,1사 1루 2:2,4.09,0.59,44.9,60.7,0.159
13,2020-07-21,KT,8초,유원상,8 유강남,2-3,우익수 2루타,무사 8:9,무사 2루 8:9,2.16,0.634,74.8,60.1,0.147
14,2020-05-10,NC,8초,임창민,8 유강남,0-1,우익수 2루타,"1사 2,3루 4:7",1사 2루 6:7,2.19,1.258,84.3,70.2,0.141
15,2020-07-08,두산,2초,박종기,7 유강남,2-2,좌익수 안타,"1사 1,2루 0:0","1사 1,3루 1:0",2.05,1.272,46.0,33.3,0.127
16,2020-10-11,NC,8말,문경찬,7 유강남,2-3,볼넷,무사 1루 3:1,"무사 1,2루 3:1",3.05,0.62,24.1,36.3,0.122
17,2020-06-14,롯데,5말,샘슨,8 유강남,2-3,우익수 안타,"2사 2,3루 4:0",2사 1루 4:2,1.62,1.617,12.8,24.8,0.121
18,2020-11-02,키움,7말,안우진,8 유강남,0-1,몸에 맞는 볼,"1사 1,2루 2:1",1사 만루 2:1,4.13,0.679,44.0,56.0,0.121
19,2020-06-03,삼성,4말,허윤동,8 유강남,0-2,우익수 홈런,1사 4:2,1사 4:3,0.8,1.0,27.7,39.5,0.11699999999999999
