,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-11,SK,7말,정영일,8 이성우,2-2,좌익수 홈런,무사 3:3,무사 3:4,1.51,1.0,58.8,79.1,0.203
1,2020-07-30,SK,5초,박종훈,8 이성우,2-0,중견수 2루타,1사 2루 0:0,1사 2루 1:0,1.66,1.0,47.5,33.9,0.136
2,2020-10-01,롯데,5말,노경은,8 이성우,2-0,중견수 안타,무사 2:1,무사 1루 2:1,1.36,0.39799999999999996,41.2,46.7,0.055
3,2020-08-29,두산,5말,권휘,8 이성우,2-2,중견수 안타,무사 3:0,무사 1루 3:0,1.02,0.39799999999999996,18.7,23.1,0.044000000000000004
4,2020-06-20,두산,3말,박종기,8 이성우,1-2,중견수 안타,무사 3:0,무사 1루 3:0,0.91,0.39799999999999996,23.1,27.0,0.039
5,2020-06-11,SK,5말,김태훈,8 이성우,1-3,볼넷,1사 2:1,1사 1루 2:1,0.97,0.276,37.8,41.6,0.038
6,2020-07-10,NC,2말,루친스키,8 이성우,1-3,볼넷,무사 0:1,무사 1루 0:1,0.77,0.39799999999999996,65.8,68.9,0.031
7,2020-07-17,한화,2말,김진욱,8 이성우,1-3,좌익수 안타,"2사 1,2루 0:0",2사 만루 0:0,1.74,0.349,54.5,57.5,0.031
8,2020-10-01,롯데,5말,노경은,이성우,,*포일,1사 1루 2:1,1사 2루 2:1,1.81,0.152,41.6,44.1,0.025
9,2020-07-30,SK,7초,김정빈,8 이성우,2-2,중견수 안타,무사 3:1,무사 1루 3:1,0.6,0.39799999999999996,18.1,15.8,0.023
10,2020-08-29,두산,5말,권휘,이성우,,*폭투,무사 1루 3:0,무사 2루 3:0,1.78,0.23600000000000002,23.1,25.3,0.022000000000000002
11,2020-09-18,롯데,2말,샘슨,8 이성우,0-0,좌익수 안타,2사 1루 0:0,"2사 1,2루 0:0",0.84,0.215,52.4,54.5,0.021
12,2020-05-14,SK,9말,김주온,8 이성우,0-0,투수 희생번트,무사 2루 2:2,1사 3루 2:2,2.58,-0.20600000000000002,81.1,82.7,0.017
13,2020-09-18,롯데,4말,샘슨,8 이성우,2-3,중견수 안타,1사 0:2,1사 1루 0:2,0.44,0.276,77.4,79.0,0.017
14,2020-08-14,NC,2초,라이트,8 이성우,2-1,중견수 안타,2사 0:0,2사 1루 0:0,0.42,0.134,54.0,52.7,0.013000000000000001
15,2020-07-17,한화,4말,김진욱,8 이성우,1-3,볼넷,2사 1루 0:3,"2사 1,2루 0:3",0.39,0.215,85.1,86.0,0.009000000000000001
16,2020-06-11,SK,2말,김태훈,8 이성우,2-3,볼넷,2사 2루 0:1,"2사 1,3루 0:1",1.05,0.122,64.4,65.2,0.008
17,2020-05-29,KIA,9초,김현수,8 이성우,2-3,중견수 안타,1사 2루 5:1,1사 1루 6:1,0.08,0.848,1.3,0.6,0.006999999999999999
18,2020-08-11,KIA,8말,이준영,5 이성우,2-3,우익수 안타,2사 3루 8:2,2사 1루 8:3,0.1,0.8640000000000001,0.5,1.1,0.006
19,2020-05-30,KIA,9초,김현준,8 이성우,0-0,좌익수 홈런,"1사 1,2루 3:10",1사 6:10,0.08,2.326,99.8,99.5,0.004
20,2020-07-17,한화,4말,김진욱,이성우,,*폭투,"2사 1,2루 0:3","2사 2,3루 0:3",0.84,0.096,86.4,86.7,0.004
21,2020-05-19,삼성,4초,뷰캐넌,8 이성우,0-1,중견수 안타,무사 7:0,무사 1루 7:0,0.09,0.39799999999999996,2.8,2.5,0.003
