,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-20,두산,4말,이우찬,2 페르난데스,0-0,페르난데스/13927 : 3루수 직선타 아웃,"무사 1,2루 3:2",2사 1루 3:2,2.53,-1.3219999999999998,54.8,39.0,-0.158
1,2020-09-20,두산,2말,이우찬,8 정수빈,2-0,2루수 병살타,"무사 1,2루 3:0",2사 3루 3:0,2.1,-1.186,34.5,23.4,-0.111
2,2020-09-20,두산,3말,이우찬,8 정수빈,0-1,좌익수 뜬공,"2사 1,2루 3:2",이닝종료 3:2,2.02,-0.466,42.7,37.5,-0.052000000000000005
3,2020-09-20,두산,2말,이우찬,1 허경민,2-2,유격수 땅볼,"2사 1,3루 3:0",이닝종료 3:0,1.68,-0.5379999999999999,24.8,20.2,-0.047
4,2020-09-20,두산,1말,이우찬,5 오재일,2-3,오재일/10400 : 삼진 아웃,"2사 1,2루 2:0",이닝종료 2:0,1.69,-0.466,34.2,29.9,-0.043
5,2020-09-20,두산,3말,이우찬,2 페르난데스,1-1,유격수 땅볼,무사 3:0,1사 3:0,0.91,-0.258,23.1,20.8,-0.023
6,2020-09-20,두산,1말,이우찬,1 허경민,2-3,3루수 땅볼,무사 2:0,1사 2:0,0.91,-0.258,34.8,32.5,-0.023
7,2020-09-20,두산,3말,이우찬,5 오재일,2-2,오재일/10400 : 삼진 아웃,1사 3:2,2사 3:2,0.77,-0.18,40.7,38.7,-0.019
8,2020-09-20,두산,1말,이우찬,2 페르난데스,2-3,페르난데스/13927 : 삼진 아웃,1사 2:0,2사 2:0,0.64,-0.18,32.5,30.9,-0.016
9,2020-06-16,한화,9말,이우찬,1 이동훈,2-1,이동훈/12526 : 삼진 아웃,무사 2루 9:3,1사 2루 9:3,0.18,-0.46399999999999997,0.8,0.3,-0.005
10,2020-06-19,두산,6초,이우찬,3 박건우,1-2,유격수 땅볼,무사 15:8,1사 15:8,0.05,-0.258,1.4,1.5,-0.001
11,2020-06-19,두산,5초,이우찬,2 페르난데스,2-3,중견수 뜬공,2사 1루 15:7,이닝종료 15:7,0.04,-0.251,1.3,1.4,-0.001
12,2020-06-19,두산,6초,이우찬,4 김재환,0-3,볼넷,1사 15:8,1사 1루 15:8,0.04,0.276,1.5,1.4,0.001
13,2020-07-17,한화,8초,이우찬,8 최재훈,2-3,볼넷,무사 0:8,무사 1루 0:8,0.03,0.39799999999999996,99.8,99.7,0.002
14,2020-06-19,두산,6초,이우찬,5 최주환,1-3,볼넷,1사 1루 15:8,"1사 1,2루 15:8",0.06,0.39799999999999996,1.4,1.2,0.002
15,2020-07-17,한화,8초,이우찬,9 정은원,2-2,중견수 안타,무사 1루 0:8,"무사 1,2루 0:8",0.07,0.62,99.7,99.3,0.004
16,2020-06-16,한화,9말,이우찬,2 김민하,2-2,중견수 안타,1사 2루 9:3,1사 1루 9:4,0.09,0.848,0.3,0.7,0.004
17,2020-06-16,한화,9말,이우찬,9 조한민,2-3,우익수 2루타,무사 9:3,무사 2루 9:3,0.09,0.634,0.3,0.8,0.005
18,2020-06-16,한화,9말,이우찬,3 정은원,0-3,볼넷,1사 1루 9:4,"1사 1,2루 9:4",0.21,0.39799999999999996,0.7,1.7,0.01
19,2020-09-20,두산,1말,이우찬,3 박건우,1-1,중견수 안타,2사 2:0,2사 1루 2:0,0.4,0.134,30.9,32.2,0.013000000000000001
20,2020-09-20,두산,2말,이우찬,9 박세혁,2-3,몸에 맞는 볼,2사 3루 3:0,"2사 1,3루 3:0",1.17,0.151,23.4,24.8,0.013999999999999999
21,2020-09-20,두산,3말,이우찬,6 김재호,2-0,좌익수 안타,2사 3:2,2사 1루 3:2,0.49,0.134,38.7,40.2,0.015
22,2020-09-20,두산,1말,이우찬,4 김재환,0-3,볼넷,2사 1루 2:0,"2사 1,2루 2:0",0.81,0.215,32.2,34.2,0.021
23,2020-09-20,두산,3말,이우찬,7 최주환,1-1,우익수 안타,2사 1루 3:2,"2사 1,2루 3:2",0.98,0.215,40.2,42.7,0.024
24,2020-09-20,두산,2말,이우찬,6 김재호,1-3,좌익수 안타,무사 3:0,무사 1루 3:0,0.87,0.39799999999999996,24.8,28.5,0.037000000000000005
25,2020-09-20,두산,3말,이우찬,3 박건우,1-1,좌익수 2루타,1사 3:0,1사 2루 3:0,0.63,0.428,20.8,24.8,0.04
26,2020-09-20,두산,4말,이우찬,9 박세혁,2-1,몸에 맞는 볼,무사 3:2,무사 1루 3:2,1.19,0.39799999999999996,42.5,47.4,0.049
27,2020-09-20,두산,2말,이우찬,7 최주환,0-3,볼넷,무사 1루 3:0,"무사 1,2루 3:0",1.5,0.62,28.5,34.5,0.06
28,2020-09-20,두산,4말,이우찬,1 허경민,1-3,볼넷,무사 1루 3:2,"무사 1,2루 3:2",1.97,0.62,47.4,54.8,0.07400000000000001
29,2020-09-20,두산,3말,이우찬,4 김재환,0-1,좌익수 홈런,1사 2루 3:0,1사 3:2,1.26,1.5719999999999998,24.8,40.7,0.159
