,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김재환,3,1,1,1,0,0,1,4,2,0,0,2,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.70,2.06,0.180
1,최주환,3,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.85,1.23,0.086
2,박세혁,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1.000,,,1.18,0.55,0.063
3,박건우,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.36,0.30,0.052
4,김재호,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.68,0.53,0.052
5,정은원,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.14,1.02,0.013
6,조한민,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.09,0.63,0.005
7,허경민,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,1.52,-0.18,0.004
8,김민하,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.09,0.85,0.004
9,최재훈,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.03,0.40,0.002
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,이동훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.18,-0.46,-0.005
12,오재일,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.23,-0.65,-0.062
13,정수빈,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,2.06,-1.65,-0.163
14,페르난데스,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.03,-2.01,-0.198
