,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-06,삼성,6초,이정용,4 김동엽,0-0,1루수 뜬공,"1사 2,3루 1:2","2사 2,3루 1:2",2.53,-0.833,51.9,64.4,-0.125
1,2020-08-29,두산,8초,이정용,6 허경민,0-0,유격수 뜬공,"무사 1,3루 3:5","1사 1,3루 3:5",3.82,-0.6609999999999999,65.1,76.4,-0.113
2,2020-10-04,KT,4말,이정용,7 장성우,0-0,유격수 병살타,"무사 1,2루 5:1",2사 3루 5:1,2.0,-1.186,22.8,12.6,-0.102
3,2020-10-06,삼성,6초,이정용,5 팔카,2-2,유격수 땅볼,"2사 2,3루 1:2",이닝종료 1:2,3.33,-0.634,64.4,74.3,-0.098
4,2020-08-01,한화,5초,이정용,6 최재훈,2-2,포수 파울 뜬공,1사 만루 5:7,2사 만루 5:7,3.67,-0.835,62.0,71.9,-0.098
5,2020-08-01,한화,5초,이정용,7 하주석,2-1,하주석/10913 : 삼진 아웃,2사 만루 5:7,이닝종료 5:7,3.8,-0.815,71.9,81.5,-0.09699999999999999
6,2020-08-16,NC,7말,이정용,4 양의지,1-2,1루수 파울 뜬공,"2사 1,2루 6:5",이닝종료 6:5,3.66,-0.466,34.6,25.2,-0.094
7,2020-10-08,삼성,7초,이정용,7 김상수,0-2,우익수 뜬공,"2사 1,3루 0:0",이닝종료 0:0,3.19,-0.5379999999999999,49.9,58.8,-0.08800000000000001
8,2020-08-29,두산,8초,이정용,정수빈,,*도루실패(정수빈/10195),1사 1루 5:5,2사 5:5,2.44,-0.456,49.8,58.2,-0.084
9,2020-08-28,KT,11초,이정용,1 송민섭,2-1,송민섭/11342 : 삼진 아웃,무사 1루 5:5,1사 1루 5:5,3.44,-0.38,41.8,50.0,-0.081
10,2020-08-14,NC,7말,이정용,7 모창민,2-1,삼진,"2사 1,2루 4:4",이닝종료 4:4,2.9,-0.466,57.4,50.0,-0.07400000000000001
11,2020-10-24,NC,10말,이정용,7 김성욱,1-2,우익수 뜬공,2사 1루 3:3,이닝종료 3:3,2.3,-0.251,56.4,50.0,-0.064
12,2020-08-16,NC,8말,이정용,5 박석민,2-3,박석민/10322 : 삼진 아웃,무사 6:5,1사 6:5,2.48,-0.258,30.4,24.0,-0.063
13,2020-10-11,NC,6초,이정용,1 김성욱,2-3,1루수 뜬공,"1사 2,3루 3:1","2사 2,3루 3:1",1.12,-0.833,15.3,21.1,-0.057999999999999996
14,2020-10-24,NC,11말,이정용,8 알테어,2-2,알테어/14599 : 삼진 아웃,무사 3:3,1사 3:3,2.26,-0.258,63.7,58.0,-0.057999999999999996
15,2020-10-08,삼성,7초,이정용,5 이원석,1-0,좌익수 뜬공,1사 1루 0:0,2사 1루 0:0,2.05,-0.322,49.7,54.6,-0.049
16,2020-08-01,한화,6초,이정용,1 이용규,1-2,1루수 파울 뜬공,1사 2루 5:7,2사 2루 5:7,1.71,-0.381,76.0,80.8,-0.048
17,2020-08-16,NC,8말,이정용,6 이원재,2-2,이원재/12999 : 삼진 아웃,1사 6:5,2사 6:5,1.85,-0.18,24.0,19.4,-0.046
18,2020-09-26,KT,8말,이정용,1 배정대,2-3,배정대/11212 : 삼진 아웃,무사 1:1,1사 1:1,1.81,-0.258,60.7,56.1,-0.046
19,2020-10-24,NC,11말,이정용,9 지석훈,2-3,중견수 뜬공,1사 3:3,2사 3:3,1.8,-0.18,58.0,53.5,-0.045
20,2020-08-01,한화,6초,이정용,2 정은원,2-2,정은원/13137 : 삼진 아웃,2사 2루 5:7,이닝종료 5:7,1.41,-0.344,80.8,84.8,-0.04
21,2020-10-08,삼성,7초,이정용,3 구자욱,2-1,구자욱/10892 : 삼진 아웃,무사 0:0,1사 0:0,1.54,-0.258,50.0,53.9,-0.039
22,2020-09-19,두산,7말,이정용,1 박건우,1-0,유격수 땅볼,무사 6:6,1사 6:6,1.51,-0.258,58.8,54.9,-0.039
23,2020-10-10,NC,6초,이정용,9 김형준,0-0,유격수 뜬공,"1사 1,2루 3:7","2사 1,2루 3:7",1.57,-0.505,88.9,92.4,-0.036000000000000004
24,2020-10-04,KT,3말,이정용,4 강백호,2-3,유격수 땅볼,"2사 1,2루 5:1",이닝종료 5:1,1.34,-0.466,15.5,12.0,-0.035
25,2020-09-03,NC,8초,이정용,7 강진성,1-2,우익수 뜬공,무사 1루 4:3,1사 1루 4:3,1.39,-0.38,21.8,25.1,-0.032
26,2020-08-01,한화,6초,이정용,8 노시환,2-0,노시환/14125 : 삼진 아웃,무사 5:7,1사 5:7,1.23,-0.258,78.3,81.4,-0.031
27,2020-07-26,두산,8말,이정용,6 허경민,1-0,우익수 뜬공,1사 4:2,2사 4:2,1.15,-0.18,11.9,9.0,-0.028999999999999998
28,2020-08-14,NC,7말,이정용,4 알테어,2-3,중견수 뜬공,1사 4:4,2사 4:4,1.15,-0.18,54.9,52.1,-0.028999999999999998
29,2020-08-29,두산,8초,이정용,8 김재호,2-3,중견수 안타,2사 5:5,이닝종료 5:5,0.98,-0.11699999999999999,58.2,60.7,-0.025
30,2020-08-24,한화,6초,이정용,3 반즈,1-0,유격수 뜬공,"2사 1,3루 4:1",이닝종료 4:1,0.88,-0.5379999999999999,13.3,15.8,-0.025
31,2020-09-24,NC,7말,이정용,3 박민우,0-2,중견수 뜬공,"무사 1,2루 7:1","1사 1,2루 7:1",0.86,-0.602,5.2,3.1,-0.021
32,2020-08-26,삼성,7말,이정용,1 김상수,2-1,김상수/10320 : 삼진 아웃,무사 4:5,1사 4:5,0.75,-0.258,79.1,77.2,-0.019
33,2020-10-11,NC,5초,이정용,4 양의지,0-0,유격수 땅볼,무사 3:1,1사 3:1,0.69,-0.258,24.5,26.3,-0.018000000000000002
34,2020-10-10,NC,6초,이정용,6 박석민,2-2,중견수 뜬공,무사 3:7,1사 3:7,0.64,-0.258,92.1,93.7,-0.016
35,2020-10-01,롯데,8초,이정용,4 이대호,1-1,중견수 뜬공,1사 1루 3:1,2사 1루 3:1,0.65,-0.322,13.3,14.9,-0.016
36,2020-08-14,NC,8말,이정용,8 박준영,2-1,박준영/12522 : 삼진 아웃,무사 8:4,1사 8:4,0.6,-0.258,4.2,2.7,-0.015
37,2020-08-19,KIA,7초,이정용,8 박찬호,2-1,박찬호/11261 : 삼진 아웃,무사 1:5,1사 1:5,0.59,-0.258,94.3,95.8,-0.015
38,2020-08-24,한화,7초,이정용,6 노시환,1-1,3루수 땅볼,1사 2루 4:1,2사 2루 4:1,0.5,-0.381,9.5,10.9,-0.013999999999999999
39,2020-08-26,삼성,7말,이정용,2 구자욱,1-2,3루수 파울 뜬공,1사 4:5,2사 4:5,0.56,-0.18,77.2,75.8,-0.013999999999999999
40,2020-10-01,롯데,8초,이정용,5 정훈,1-3,유격수 땅볼,2사 1루 3:1,이닝종료 3:1,0.47,-0.251,14.9,16.2,-0.013000000000000001
41,2020-08-21,키움,9말,이정용,8 박준태,2-2,박준태/11260 : 삼진 아웃,1사 1루 7:3,2사 1루 7:3,0.5,-0.322,1.9,0.5,-0.013000000000000001
42,2020-09-18,롯데,9초,이정용,4 안치홍,2-2,안치홍/10014 : 삼진 아웃,2사 2루 5:3,이닝종료 5:3,0.45,-0.344,7.8,9.1,-0.013000000000000001
43,2020-10-11,NC,5초,이정용,5 나성범,0-1,중견수 뜬공,1사 3:1,2사 3:1,0.51,-0.18,26.3,27.5,-0.013000000000000001
44,2020-10-01,롯데,8초,이정용,2 손아섭,2-3,좌익수 뜬공,무사 3:1,1사 3:1,0.49,-0.258,13.4,14.6,-0.013000000000000001
45,2020-10-11,NC,6초,이정용,9 김형준,2-2,중견수 뜬공,"무사 1,2루 3:1","1사 1,3루 3:1",1.23,-0.33,15.4,16.6,-0.012
46,2020-07-24,두산,7말,이정용,6 허경민,1-2,유격수 병살타,무사 1루 7:0,2사 7:0,0.26,-0.836,1.6,0.5,-0.011000000000000001
47,2020-09-12,삼성,6초,이정용,4 팔카,2-2,팔카/14743 : 삼진 아웃,무사 4:1,1사 4:1,0.43,-0.258,13.4,14.4,-0.011000000000000001
48,2020-08-26,삼성,7말,이정용,3 팔카,0-3,2루수 땅볼,2사 4:5,이닝종료 4:5,0.39,-0.11699999999999999,75.8,74.8,-0.01
49,2020-08-19,KIA,7초,이정용,9 홍종표,2-1,우익수 뜬공,1사 1:5,2사 1:5,0.35,-0.18,95.8,96.7,-0.009000000000000001
50,2020-09-12,삼성,7초,이정용,7 강한울,0-0,좌익수 파울 뜬공,무사 4:1,1사 4:1,0.35,-0.258,10.3,11.2,-0.009000000000000001
51,2020-10-11,NC,5초,이정용,6 박석민,1-0,유격수 뜬공,2사 3:1,이닝종료 3:1,0.34,-0.11699999999999999,27.5,28.4,-0.009000000000000001
52,2020-08-14,NC,8말,이정용,9 지석훈,2-1,지석훈/10683 : 삼진 아웃,1사 8:4,2사 8:4,0.35,-0.18,2.7,1.8,-0.009000000000000001
53,2020-09-12,삼성,6초,이정용,5 김동엽,1-0,2루수 땅볼,1사 4:1,2사 4:1,0.32,-0.18,14.4,15.2,-0.008
54,2020-09-24,NC,6말,이정용,7 알테어,2-2,알테어/14599 : 삼진 아웃,무사 7:1,1사 7:1,0.3,-0.258,3.0,2.3,-0.008
55,2020-09-18,롯데,9초,이정용,1 정훈,2-1,우익수 파울 뜬공,무사 5:3,1사 5:3,0.29,-0.258,7.4,8.1,-0.008
