,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,정수빈,2,2,0,2,1,0,0,3,2,0,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.52,1.08,0.210
1,최진행,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,3.21,1.00,0.106
2,황재균,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.39,1.14,0.104
3,노수광,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.69,1.43,0.103
4,오윤석,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.15,1.24,0.099
5,박승욱,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.32,0.40,0.082
6,조용호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.04,0.40,0.080
7,터커,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.81,1.60,0.068
8,박석민,6,5,1,2,0,0,1,5,1,0,0,1,0,0,1,0,0,0,0.400,0.500,1.000,1.500,1.14,0.98,0.058
9,노진혁,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,0.97,0.80,0.056
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,유한준,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.76,0.63,0.049
12,이성규,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.47,0.29,0.047
13,이유찬,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3.39,0.22,0.046
14,심우준,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.33,0.38,0.040
15,박경수,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.19,0.38,0.040
16,박준영,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,1.24,0.42,0.039
17,마차도,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.44,0.08,0.025
