,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-18,KIA,9초,이찬혁,5 나지완,2-0,유격수 뜬공,"2사 1,2루 4:0",이닝종료 4:0,0.11,-0.466,1.5,1.8,-0.003
1,2020-10-18,KIA,9초,이찬혁,4 최형우,2-2,좌익수 뜬공,"1사 1,2루 4:0","2사 1,2루 4:0",0.12,-0.505,1.2,1.5,-0.003
2,2020-10-18,KIA,9초,이찬혁,1 최원준,2-3,좌익수 뜬공,무사 4:0,1사 4:0,0.06,-0.258,1.4,1.6,-0.002
3,2020-07-24,두산,9말,이찬혁,8 김인태,2-1,유격수 땅볼,"2사 1,2루 8:1",이닝종료 8:1,0.02,-0.466,0.1,0.0,-0.001
4,2020-07-28,SK,9말,이찬혁,1 최지훈,2-2,중견수 뜬공,무사 2루 24:5,1사 2루 24:5,0.0,-0.46399999999999997,0.0,0.0,0.0
5,2020-07-28,SK,9말,이찬혁,9 정현,2-3,볼넷,무사 24:5,무사 1루 24:5,0.0,0.39799999999999996,0.0,0.0,0.0
6,2020-10-13,롯데,8말,이찬혁,3 허일,2-2,삼진,2사 2:17,이닝종료 2:17,0.0,-0.11699999999999999,100.0,100.0,0.0
7,2020-10-13,롯데,8말,이찬혁,2 민병헌,1-1,2루수 병살타,무사 1루 2:17,2사 2:17,0.0,-0.836,100.0,100.0,0.0
8,2020-10-13,롯데,8말,이찬혁,1 안치홍,1-1,중견수 안타,무사 2:17,무사 1루 2:17,0.0,0.39799999999999996,100.0,100.0,0.0
9,2020-07-28,SK,9말,이찬혁,2 최항,1-1,우익수 뜬공,1사 2루 24:5,2사 2루 24:5,0.0,-0.381,0.0,0.0,0.0
10,2020-07-28,SK,9말,이찬혁,3 윤석민,1-2,좌익수 홈런,2사 2루 24:5,2사 24:7,0.0,1.7730000000000001,0.0,0.0,0.0
11,2020-07-28,SK,9말,이찬혁,4 김강민,2-1,몸에 맞는 볼,2사 24:7,2사 1루 24:7,0.0,0.134,0.0,0.0,0.0
12,2020-07-28,SK,9말,이찬혁,5 오준혁,1-1,중견수 뜬공,2사 1루 24:7,이닝종료 24:7,0.0,-0.251,0.0,0.0,0.0
13,2020-07-24,두산,9말,이찬혁,6 권민석,1-3,볼넷,2사 2루 8:0,"2사 1,2루 8:0",0.0,0.122,0.0,0.0,0.0
14,2020-07-24,두산,9말,이찬혁,7 이유찬,0-0,좌익수 안타,"2사 1,2루 8:0","2사 1,2루 8:1",0.01,1.0,0.0,0.1,0.0
15,2020-10-18,KIA,9초,이찬혁,3 터커,2-3,볼넷,1사 2루 4:0,"1사 1,2루 4:0",0.08,0.24600000000000002,1.3,1.2,0.001
16,2020-10-18,KIA,9초,이찬혁,김규성,,*실책진루(투수)[실책포함],1사 1루 4:0,1사 2루 4:0,0.08,0.152,1.4,1.3,0.001
17,2020-10-18,KIA,9초,이찬혁,2 김선빈,2-0,중견수 안타,1사 4:0,1사 1루 4:0,0.05,0.276,1.6,1.4,0.002
