,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-11-02,키움,13말,김태훈,9 이천웅,2-3,유격수 내야안타,"2사 2,3루 3:2","2사 1,3루 3:3",8.28,0.904,24.2,63.7,0.395
1,2020-07-04,삼성,9초,오승환,1 이천웅,2-2,우익수 안타,1사 만루 3:5,"1사 1,2루 5:5",6.34,1.321,72.2,41.9,0.303
2,2020-06-13,롯데,9말,김원중,1 이천웅,0-0,중견수 안타,1사 1루 7:6,"1사 1,3루 7:6",4.68,0.67,20.9,45.9,0.25
3,2020-06-14,롯데,5말,샘슨,1 이천웅,1-2,우익수 안타,"2사 2,3루 4:2",2사 1루 4:4,2.84,1.617,30.1,53.1,0.23
4,2020-06-04,삼성,2말,백정현,1 이천웅,0-1,1루수 2루타,"2사 2,3루 0:0",2사 2루 0:2,2.07,1.71,56.1,73.9,0.17800000000000002
5,2020-09-10,키움,7말,조성운,6 이천웅,0-2,우익수 홈런,"2사 1,2루 1:3",2사 1:6,0.78,2.6510000000000002,88.6,98.4,0.098
6,2020-11-05,두산,8말,이영하,7 이천웅,2-0,우익수 안타,무사 8:7,무사 1루 8:7,2.48,0.39799999999999996,30.4,40.1,0.098
7,2020-09-17,롯데,3말,서준원,6 이천웅,0-2,우익수 홈런,2사 1루 0:3,2사 0:5,0.42,1.8659999999999999,83.0,92.7,0.09699999999999999
8,2020-06-27,SK,3초,핀토,1 이천웅,1-3,중견수 안타,1사 2루 0:0,1사 1루 1:0,1.39,0.848,47.9,38.4,0.095
9,2020-06-06,키움,4초,이승호,1 이천웅,2-1,중견수 안타,2사 2루 2:0,2사 1루 3:0,0.95,0.907,27.9,19.7,0.08199999999999999
10,2020-07-11,NC,2말,라이트,1 이천웅,1-2,우익수 안타,"1사 2,3루 3:0","1사 1,3루 3:1",1.68,0.7759999999999999,33.4,40.9,0.075
11,2020-07-11,NC,4말,김영규,1 이천웅,2-0,중견수 2루타,무사 3:3,무사 2루 3:3,1.07,0.634,56.0,63.4,0.07400000000000001
12,2020-09-15,한화,8초,강재민,6 이천웅,2-1,좌익수 안타,무사 5:5,무사 1루 5:5,1.85,0.39799999999999996,50.0,43.2,0.068
13,2020-05-16,키움,3말,한현희,1 이천웅,2-1,좌익수 안타,무사 1루 3:0,"무사 1,2루 3:0",1.59,0.62,27.0,33.4,0.063
14,2020-06-13,롯데,1말,박세웅,1 이천웅,2-2,좌익수 2루타,무사 2:0,무사 2루 2:0,0.91,0.634,34.8,40.9,0.061
15,2020-07-05,삼성,7초,노성호,1 이천웅,2-3,볼넷,1사 1루 0:2,"1사 1,2루 0:2",1.8,0.39799999999999996,81.3,75.3,0.061
16,2020-05-13,SK,1말,핀토,1 이천웅,1-2,중견수 2루타,무사 0:0,무사 2루 0:0,0.87,0.634,54.8,60.7,0.059000000000000004
17,2020-05-28,한화,1초,서폴드,1 이천웅,2-0,1루수 2루타,무사 0:0,무사 2루 0:0,0.87,0.634,50.0,44.1,0.059000000000000004
18,2020-07-15,롯데,5초,김대우,1 이천웅,1-0,우익수 안타,2사 만루 6:2,"2사 1,3루 8:2",0.97,1.723,9.4,3.6,0.057999999999999996
19,2020-09-17,롯데,2말,서준원,6 이천웅,2-1,중견수 안타,무사 1루 0:0,"무사 1,2루 0:0",1.51,0.62,58.8,64.5,0.057
20,2020-07-04,삼성,3초,허윤동,1 이천웅,2-2,우익수 안타,1사 2루 0:1,"1사 1,3루 0:1",1.45,0.518,59.3,53.7,0.055999999999999994
21,2020-07-11,NC,1말,라이트,1 이천웅,0-1,우익수 2루타,무사 3:0,무사 2루 3:0,0.83,0.634,26.2,31.8,0.055
22,2020-05-16,키움,5말,한현희,1 이천웅,2-0,좌익수 안타,무사 3:2,무사 1루 3:2,1.36,0.39799999999999996,41.2,46.7,0.055
23,2020-05-06,두산,7말,함덕주,1 이천웅,1-2,좌익수 안타,1사 1루 5:2,"1사 1,2루 5:2",1.42,0.39799999999999996,12.8,18.0,0.052000000000000005
24,2020-05-22,KT,8말,주권,1 이천웅,2-3,볼넷,무사 5:2,무사 1루 5:2,1.05,0.39799999999999996,8.4,13.4,0.049
25,2020-05-19,삼성,2초,뷰캐넌,1 이천웅,0-0,우익수 홈런,무사 1루 5:0,무사 7:0,0.45,1.6019999999999999,9.4,4.5,0.049
26,2020-07-15,롯데,5초,샘슨,1 이천웅,0-0,중견수 안타,무사 2:2,무사 1루 2:2,1.19,0.39799999999999996,50.0,45.3,0.047
27,2020-09-26,KT,5초,배제성,2 이천웅,1-1,우익수 안타,1사 1루 1:1,"1사 1,2루 1:1",1.59,0.39799999999999996,49.7,45.0,0.047
28,2020-05-12,SK,3말,킹엄,1 이천웅,2-1,우익수 안타,무사 2:1,무사 1루 2:1,1.08,0.39799999999999996,43.4,47.8,0.044000000000000004
29,2020-06-11,SK,3말,핀토,1 이천웅,1-1,우익수 안타,무사 1:0,무사 1루 1:0,1.08,0.39799999999999996,43.4,47.8,0.044000000000000004
30,2020-10-01,롯데,3말,노경은,1 이천웅,2-3,볼넷,1사 1루 2:0,"1사 1,2루 2:0",1.39,0.39799999999999996,32.7,37.1,0.044000000000000004
31,2020-05-14,SK,7말,서진용,1 이천웅,1-1,중견수 2루타,2사 2:2,2사 2루 2:2,0.81,0.22699999999999998,52.1,56.4,0.043
32,2020-05-20,삼성,3초,최채흥,1 이천웅,2-2,2루수 내야안타,무사 0:1,무사 1루 0:1,1.03,0.39799999999999996,61.4,57.1,0.043
33,2020-09-08,KIA,9초,전상현,6 이천웅,1-0,우익수 안타,2사 2:3,2사 1루 2:3,1.41,0.134,96.4,92.1,0.043
34,2020-07-03,삼성,7초,김윤수,1 이천웅,2-3,볼넷,1사 2루 6:8,"1사 1,2루 6:8",1.86,0.24600000000000002,79.5,75.3,0.042
35,2020-07-16,롯데,5초,장원삼,1 이천웅,1-3,몸에 맞는 볼,1사 1루 1:4,"1사 1,2루 1:4",1.19,0.39799999999999996,83.7,79.7,0.040999999999999995
36,2020-09-16,한화,1초,김진욱,6 이천웅,1-0,우익수 2루타,1사 2루 3:0,"1사 2,3루 3:0",0.75,0.742,22.1,18.0,0.040999999999999995
37,2020-05-07,두산,3말,플렉센,1 이천웅,2-3,볼넷,무사 1:1,무사 1루 1:1,0.99,0.39799999999999996,55.5,59.5,0.04
38,2020-06-14,롯데,1말,샘슨,1 이천웅,2-2,우익수 안타,무사 2:0,무사 1루 2:0,0.91,0.39799999999999996,34.8,38.6,0.038
39,2020-09-10,키움,6말,한현희,6 이천웅,0-3,볼넷,1사 1:1,1사 1루 1:1,0.98,0.276,54.2,57.8,0.036000000000000004
40,2020-07-03,삼성,3초,백정현,1 이천웅,2-1,중견수 안타,무사 2:5,무사 1루 2:5,0.84,0.39799999999999996,79.9,76.3,0.036000000000000004
41,2020-09-22,SK,5말,박종훈,6 이천웅,1-2,좌익수 안타,1사 2:0,1사 1루 2:0,0.87,0.276,25.2,28.8,0.036000000000000004
42,2020-06-16,한화,1초,장민재,1 이천웅,2-2,유격수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
43,2020-06-17,한화,1초,채드벨,1 이천웅,2-1,우익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
44,2020-05-08,NC,1초,이재학,1 이천웅,0-0,1루수 내야안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
45,2020-05-19,삼성,1초,뷰캐넌,1 이천웅,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
46,2020-05-26,한화,1초,채드벨,1 이천웅,1-0,유격수 땅볼 실책[실책포함],무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
47,2020-05-31,KIA,1초,가뇽,1 이천웅,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
48,2020-06-27,SK,1초,핀토,1 이천웅,2-1,중견수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
49,2020-06-28,SK,1초,김주한,1 이천웅,2-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
50,2020-07-08,두산,1초,박종기,1 이천웅,1-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
51,2020-07-09,두산,1초,알칸타라,1 이천웅,2-2,중견수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,50.0,46.5,0.036000000000000004
52,2020-09-15,한화,4초,김민우,6 이천웅,0-1,2루수 2루타,무사 3:0,무사 2루 3:0,0.5,0.634,18.2,14.7,0.035
53,2020-05-12,SK,1말,킹엄,1 이천웅,0-1,우익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
54,2020-06-11,SK,1말,김태훈,1 이천웅,1-3,볼넷,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
55,2020-06-04,삼성,1말,백정현,1 이천웅,2-0,중견수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
56,2020-06-09,SK,1말,이건욱,1 이천웅,2-1,우익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
57,2020-06-25,키움,1말,한현희,1 이천웅,1-0,우익수 안타,무사 0:0,무사 1루 0:0,0.87,0.39799999999999996,54.8,58.3,0.035
