,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,구승민,3,3,1,1,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.68,2.28,0.490
1,박치국,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,1.35,0.90,0.249
2,김민수,7,6,1,3,2,0,1,8,3,0,0,1,0,0,2,0,0,0,0.500,0.571,1.333,1.905,1.04,1.74,0.228
3,최지광,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.36,0.86,0.220
4,김재열,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.41,1.74,0.177
5,이보근,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.25,1.44,0.173
6,최성영,7,7,2,2,1,0,1,6,3,0,0,0,0,0,2,0,0,0,0.286,0.286,0.857,1.143,0.93,2.21,0.168
7,하준호,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,0.58,0.56,0.153
8,이민우,4,3,1,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0.333,0.500,1.000,1.500,0.94,1.09,0.125
9,김진성,4,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,0.98,0.76,0.119
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,유원상,3,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.26,1.53,0.115
12,김영규,4,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,1.27,0.93,0.112
13,채지선,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.49,1.50,0.108
14,김이환,4,3,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,0.91,1.30,0.098
15,윤대경,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.60,0.14,0.097
16,장원삼,4,3,2,3,0,0,2,9,2,0,0,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.27,2.53,0.092
17,양승철,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.40,-0.17,0.089
18,한현희,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.26,0.95,0.087
19,김태훈,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.85,0.63,0.086
20,이재학,2,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.49,1.78,0.085
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,소이현,2,1,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.40,2.77,0.069
23,이승호,5,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,0.69,0.64,0.062
24,양현종,8,8,1,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.875,1.375,0.98,0.34,0.062
25,전유수,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.25,0.82,0.059
26,권휘,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.57,0.49,0.055
27,김건국,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.42,0.82,0.048
28,신재웅,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.23,1.00,0.042
29,가뇽,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0.68,-0.69,0.040
30,박세웅,6,5,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,0.82,-0.13,0.036
31,루친스키,6,6,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.13,0.22,0.036
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김현수,2,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.14,1.48,0.034
34,최준용,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.63,0.13,0.026
35,황영국,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.17,1.72,0.025
36,손동현,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.49,0.82,0.024
37,임정호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.61,0.40,0.024
38,정해영,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.68,0.49,0.024
39,홍상삼,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.93,0.22,0.021
40,배재환,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.30,-0.74,0.018
41,김성민,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.12,1.29,0.017
42,조영우,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.000,1.000,1.000,2.000,0.12,0.67,0.013
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,백승건,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.60,0.15,0.013
45,김민규,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,0.61,0.42,0.013
46,이인복,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3.71,-0.02,0.012
47,유희관,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.66,0.31,0.011
48,이주엽,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.30,0.40,0.011
49,박희수,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.12,1.10,0.008
50,안우진,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.17,0.13,0.007
51,김진욱,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.333,0.000,0.333,0.75,-0.13,0.006
52,브리검,5,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.250,0.200,0.250,0.450,0.46,-0.01,0.006
53,이대은,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0.25,0.67,0.004
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,최채흥,5,4,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,0.79,0.41,0.004
56,박시영,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.08,0.10,0.003
57,김대우,3,2,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.21,-0.11,0.001
58,이준영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
59,안영명,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.26,0.000
60,김주온,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
61,이원준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.00,0.40,0.000
62,윤희상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
63,강윤구,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.38,-0.001
64,정영일,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.34,-0.001
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,강동연,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.11,-0.26,-0.003
67,오주원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.17,-0.18,-0.004
68,문동욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.20,-0.26,-0.005
69,박준표,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.21,-0.18,-0.005
70,김선기,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.18,-0.18,-0.005
71,핀토,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,1.03,-0.01,-0.005
72,양기현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.18,-0.12,-0.005
73,문경찬,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.51,-0.005
74,장현식,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0.500,0.500,2.000,2.500,1.02,0.16,-0.006
75,김진영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.20,-0.25,-0.006
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,손정욱,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.14,-0.38,-0.007
78,김명찬,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.32,-0.47,-0.008
79,이형범,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.29,-0.26,-0.008
80,김정빈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.33,-0.12,-0.009
81,신민혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.36,-0.26,-0.009
82,남재현,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.22,-0.65,-0.012
83,김재웅,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.50,-0.47,-0.013
84,고영창,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.18,-1.02,-0.014
85,스트레일리,6,6,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.833,1.167,0.42,1.21,-0.015
86,조성운,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.47,-0.23,-0.015
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,김현준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.60,-0.26,-0.015
89,윤명준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.65,-0.82,-0.016
90,소형준,5,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,0.50,-0.22,-0.016
91,함덕주,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.75,-0.38,-0.017
92,김건태,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.71,-0.82,-0.018
93,허윤동,5,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,0.55,-0.36,-0.023
94,김민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.51,-0.83,-0.026
95,김민우,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.200,0.000,0.200,0.63,-0.59,-0.031
96,임창민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.23,-0.26,-0.031
97,이영준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.39,-0.18,-0.035
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,이승현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.39,-0.18,-0.035
100,김기훈,4,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0.000,0.000,0.000,0.000,0.88,-0.71,-0.036
101,배제성,8,6,0,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0.167,0.375,0.167,0.542,0.91,-1.03,-0.037
102,요키시,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,0.87,-0.49,-0.043
103,장필준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.61,-0.25,-0.045
104,김명신,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.81,-0.26,-0.046
105,김원중,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.83,-0.26,-0.047
106,이태양,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.99,-0.11,-0.047
107,라이트,7,6,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.333,0.429,0.333,0.762,1.29,-0.42,-0.047
108,김윤수,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.93,-0.52,-0.047
109,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
110,송명기,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.63,-0.63,-0.048
111,전상현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.12,-0.18,-0.053
112,브룩스,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.000,0.000,0.000,0.000,0.52,-1.48,-0.055
113,양현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.16,-0.26,-0.055
114,서폴드,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.80,-0.69,-0.062
115,이상민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.25,-0.34,-0.064
116,최원준,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0.77,-0.70,-0.064
117,홍성민,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.91,-0.54,-0.076
118,박상원,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.22,-0.54,-0.091
119,조현우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3.45,-0.63,-0.101
120,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
121,쿠에바스,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.08,-1.38,-0.112
122,이영하,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.71,-0.70,-0.125
123,샘슨,12,12,2,3,0,1,1,8,3,0,0,0,0,0,5,0,0,0,0.250,0.250,0.667,0.917,0.88,0.65,-0.130
124,박정수,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.000,0.000,0.000,0.000,1.05,-1.60,-0.132
125,라이블리,9,8,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.125,0.222,0.125,0.347,1.17,-1.29,-0.133
126,주권,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.05,-0.82,-0.138
127,장시환,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.09,-1.47,-0.142
128,정우람,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.05,-0.82,-0.151
129,김재윤,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.86,-0.60,-0.153
130,오승환,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6.39,-0.82,-0.159
131,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
132,김종수,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,1.90,-0.59,-0.167
133,원종현,4,3,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.333,0.500,0.333,0.833,2.45,-0.25,-0.186
134,박종훈,5,5,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0.200,0.200,0.400,0.600,1.42,-1.47,-0.195
135,노경은,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,1.18,-2.11,-0.232
136,우규민,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,3.07,-0.83,-0.246
