,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-28,KT,11말,전유수,2 장준원,0-1,중견수 희생플라이,"1사 1,3루 5:5",2사 1루 5:6,5.23,0.008,82.4,100.0,0.17600000000000002
1,2020-08-19,KIA,3말,이민우,8 장준원,2-1,중견수 안타,"2사 1,2루 1:3","2사 1,3루 1:4",1.16,1.072,76.3,84.3,0.08
2,2020-08-24,한화,2말,김이환,7 장준원,2-3,유격수 야수선택[실책포함],1사 3루 0:0,1사 2루 0:1,1.45,0.742,60.0,67.4,0.07400000000000001
3,2020-06-30,KT,7말,주권,9 장준원,2-2,우익수 안타,무사 2:2,무사 1루 2:2,1.51,0.39799999999999996,58.8,64.4,0.055999999999999994
4,2020-06-27,SK,7초,박희수,9 장준원,2-3,좌익수 2루타,무사 2:0,무사 2루 2:0,0.6,0.634,18.1,13.8,0.043
5,2020-07-03,삼성,7초,김윤수,9 장준원,2-3,볼넷,1사 6:8,1사 1루 6:8,0.91,0.276,85.3,81.3,0.04
6,2020-06-27,SK,5초,핀토,9 장준원,2-0,좌익수 2루타,2사 1루 1:0,"2사 2,3루 1:0",0.88,0.38299999999999995,38.7,35.0,0.037000000000000005
7,2020-08-19,KIA,2말,이민우,8 장준원,0-3,볼넷,"2사 1,2루 1:0",2사 만루 1:0,1.85,0.349,43.4,46.8,0.035
8,2020-08-13,KIA,2말,이민우,8 장준원,2-3,볼넷,"2사 1,2루 0:0",2사 만루 0:0,1.74,0.349,54.5,57.5,0.031
9,2020-06-26,SK,3초,이건욱,9 장준원,1-3,볼넷,1사 0:2,1사 1루 0:2,0.67,0.276,74.0,71.2,0.027999999999999997
10,2020-06-30,KT,4말,김민수,9 장준원,2-1,좌익수 안타,1사 1루 0:2,"1사 1,2루 0:2",0.8,0.39799999999999996,79.0,81.3,0.023
11,2020-08-06,KIA,5초,브룩스,7 장준원,0-0,우익수 안타,2사 0:2,2사 1루 0:2,0.47,0.134,80.3,78.7,0.016
12,2020-08-14,NC,8초,문경찬,2 장준원,2-2,좌익수 안타,1사 6:4,1사 1루 6:4,0.38,0.276,14.6,13.3,0.013000000000000001
13,2020-08-24,한화,4말,김이환,7 장준원,2-3,볼넷,2사 0:1,2사 1루 0:1,0.41,0.134,65.1,66.3,0.012
14,2020-08-21,키움,4초,이승호,8 장준원,1-3,볼넷,2사 3:1,2사 1루 3:1,0.34,0.134,29.7,28.8,0.01
15,2020-08-30,두산,7말,윤명준,장준원,,*폭투,1사 2루 0:3,1사 3루 0:3,0.29,0.258,94.8,95.7,0.009000000000000001
16,2020-08-30,두산,7말,윤명준,9 장준원,1-1,유격수 내야안타,무사 0:3,무사 1루 0:3,0.21,0.39799999999999996,94.3,95.1,0.008
17,2020-08-01,한화,1말,서폴드,8 장준원,0-0,3루수 땅볼 실책[실책포함],2사 1루 0:4,"2사 1,2루 0:4",0.33,0.215,85.6,86.3,0.008
18,2020-08-11,KIA,9말,박정수,8 장준원,0-1,우익수 홈런,1사 8:3,1사 8:4,0.08,1.0,0.3,0.7,0.004
19,2020-08-19,KIA,5말,남재현,8 장준원,0-1,3루수 플라이 실책[실책포함],1사 2루 1:5,"1사 1,2루 1:5",0.3,0.24600000000000002,93.9,94.2,0.004
20,2020-07-01,KT,9말,한승지,9 장준원,2-1,중견수 안타,"무사 2,3루 11:3",무사 1루 11:5,0.1,0.9009999999999999,0.4,0.7,0.002
21,2020-08-01,한화,3말,서폴드,8 장준원,0-0,유격수 땅볼 실책[실책포함],2사 0:6,2사 1루 0:6,0.07,0.134,95.5,95.6,0.002
22,2020-08-14,NC,9초,김진성,2 장준원,2-1,중견수 2루타,2사 10:4,2사 2루 10:4,0.01,0.22699999999999998,0.3,0.3,0.0
23,2020-08-14,NC,9초,김진성,장준원,,*폭투,"2사 1,2루 10:4","2사 1,3루 10:4",0.03,0.07200000000000001,0.3,0.3,0.0
24,2020-09-01,SK,9초,김주온,장준원,,*폭투,"2사 1,2루 13:5","2사 2,3루 13:5",0.01,0.07200000000000001,0.1,0.0,0.0
25,2020-07-28,SK,9초,김주온,6 장준원,0-1,중견수 안타,무사 1루 18:5,"무사 1,2루 18:5",0.0,0.62,0.0,0.0,0.0
26,2020-07-30,SK,9초,이원준,5 장준원,0-2,좌익수 안타,무사 9:1,무사 1루 9:1,0.0,0.39799999999999996,0.0,0.0,0.0
27,2020-08-04,KIA,9초,고영창,2 장준원,1-0,3루수 땅볼,"2사 2,3루 15:5",이닝종료 15:5,0.0,-0.634,0.0,0.0,0.0
28,2020-08-15,NC,9초,원종현,9 장준원,0-0,유격수 땅볼,"2사 1,2루 13:4",이닝종료 13:4,0.0,-0.466,0.0,0.0,0.0
29,2020-08-19,KIA,8말,서덕원,8 장준원,2-3,포수 파울 뜬공,"1사 2,3루 1:10","2사 2,3루 1:10",0.0,-0.833,100.0,100.0,0.0
30,2020-09-13,삼성,8말,최채흥,2 장준원,1-1,2루수 뜬공,2사 1루 11:0,이닝종료 11:0,0.0,-0.251,0.0,0.0,0.0
31,2020-07-01,KT,7말,이상화,9 장준원,1-0,중견수 뜬공,2사 10:1,이닝종료 10:1,0.01,-0.11699999999999999,0.1,0.1,-0.0
32,2020-08-06,KIA,8초,브룩스,7 장준원,2-0,장준원/11214 : 삼진 아웃,1사 1:10,2사 1:10,0.01,-0.18,100.0,100.0,-0.0
33,2020-07-05,삼성,9초,홍정우,7 장준원,2-2,유격수 뜬공,1사 1루 7:3,2사 1루 7:3,0.08,-0.322,1.4,1.6,-0.002
34,2020-07-01,KT,5말,배제성,9 장준원,2-0,3루수 땅볼,2사 6:0,이닝종료 6:0,0.11,-0.11699999999999999,2.8,2.5,-0.003
35,2020-08-30,두산,8말,이형범,9 장준원,2-2,중견수 뜬공,1사 1루 1:4,2사 1루 1:4,0.15,-0.322,97.4,97.0,-0.004
36,2020-08-19,KIA,7말,고영창,8 장준원,0-0,유격수 병살타,무사 1루 1:6,2사 1:6,0.09,-0.836,98.8,98.4,-0.004
37,2020-09-07,롯데,9초,이인복,5 장준원,1-0,유격수 병살타,"무사 1,2루 5:12",2사 3루 5:12,0.15,-1.186,99.4,100.0,-0.006
38,2020-08-13,KIA,4말,이민우,8 장준원,1-2,포수 희생번트,무사 1루 0:3,1사 2루 0:3,0.64,-0.228,87.9,87.3,-0.006999999999999999
39,2020-08-16,NC,5초,박정수,8 장준원,0-2,3루수 땅볼,2사 6:4,이닝종료 6:4,0.34,-0.11699999999999999,27.5,28.4,-0.009000000000000001
40,2020-08-20,키움,2초,요키시,8 장준원,2-2,장준원/11214 : 삼진 아웃,2사 1:0,이닝종료 1:0,0.39,-0.11699999999999999,43.0,44.0,-0.01
41,2020-08-01,한화,5말,김진욱,8 장준원,1-1,3루수 파울 뜬공,1사 5:7,2사 5:7,0.42,-0.18,80.1,79.0,-0.011000000000000001
42,2020-07-02,KT,5말,조병욱,9 장준원,2-2,장준원/11214 : 삼진 아웃,2사 2:3,이닝종료 2:3,0.42,-0.11699999999999999,67.3,66.3,-0.011000000000000001
43,2020-08-21,키움,6초,김재웅,8 장준원,2-2,3루수 땅볼,무사 4:1,1사 4:1,0.43,-0.258,13.4,14.4,-0.011000000000000001
44,2020-08-06,KIA,2초,브룩스,7 장준원,2-1,삼진,2사 0:0,이닝종료 0:0,0.42,-0.11699999999999999,54.0,55.1,-0.011000000000000001
45,2020-08-01,한화,7말,윤대경,8 장준원,0-0,좌익수 뜬공,2사 1루 5:7,이닝종료 5:7,0.39,-0.251,87.7,86.6,-0.011000000000000001
46,2020-06-23,키움,2말,최원태,9 장준원,0-0,유격수 땅볼,2사 2:1,이닝종료 2:1,0.46,-0.11699999999999999,39.8,38.6,-0.012
47,2020-07-02,KT,3말,조병욱,9 장준원,0-1,3루수 땅볼,2사 2:0,이닝종료 2:0,0.46,-0.11699999999999999,27.9,26.7,-0.012
48,2020-07-03,삼성,4초,백정현,9 장준원,2-1,유격수 땅볼,2사 5:5,이닝종료 5:5,0.51,-0.11699999999999999,54.7,56.0,-0.013000000000000001
49,2020-08-21,키움,2초,이승호,8 장준원,0-1,중견수 뜬공,무사 3:0,1사 3:0,0.54,-0.258,21.8,23.2,-0.013999999999999999
50,2020-08-13,KIA,6말,이민우,8 장준원,0-0,유격수 땅볼,2사 1루 1:3,이닝종료 1:3,0.49,-0.251,83.3,81.9,-0.013999999999999999
51,2020-08-16,NC,2초,최성영,8 장준원,1-3,3루수 땅볼,1사 0:1,2사 0:1,0.68,-0.18,63.0,64.7,-0.017
52,2020-08-23,한화,5말,김민우,8 장준원,0-1,유격수 땅볼,1사 3:0,2사 3:0,0.68,-0.18,16.1,14.4,-0.017
