,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-06,키움,7말,정우영,1 서건창,1-3,2루수 병살타,1사 만루 4:2,이닝종료 4:2,5.07,-1.65,39.9,13.4,-0.265
1,2020-06-30,KT,9초,정우영,9 심우준,1-0,2루수 땅볼,"1사 2,3루 3:3","2사 1,3루 3:3",4.04,-0.929,28.2,50.0,-0.218
2,2020-10-24,NC,8말,정우영,이재율,,*도루실패(이재율/12525),무사 2루 3:3,1사 3:3,2.06,-0.892,74.0,56.1,-0.179
3,2020-08-26,삼성,8말,정우영,6 강민호,2-0,유격수 병살타,"무사 1,2루 8:5",2사 3루 8:5,3.25,-1.186,22.3,6.1,-0.162
4,2020-05-26,한화,7말,정우영,6 송광민,1-0,유격수 병살타,"1사 1,2루 2:0",이닝종료 2:0,3.61,-0.971,29.0,13.4,-0.157
5,2020-05-26,한화,8말,정우영,8 최재훈,1-1,유격수 병살타,무사 1루 2:0,2사 2:0,3.05,-0.836,24.1,9.0,-0.15
6,2020-09-20,두산,8말,정우영,2 오재원,2-0,오재원/10178 : 삼진 아웃,무사 만루 5:3,1사 만루 5:3,5.33,-0.767,51.8,37.2,-0.146
7,2020-06-30,KT,9초,정우영,1 배정대,2-1,1루수 뜬공,"2사 2,3루 3:3",이닝종료 3:3,4.99,-0.634,49.1,63.7,-0.146
8,2020-07-18,한화,9초,정우영,1 이용규,1-2,1루수 땅볼,2사 만루 1:3,이닝종료 1:3,5.7,-0.815,85.5,100.0,-0.145
9,2020-10-23,KIA,7말,정우영,5 나지완,2-2,나지완/10030 : 삼진 아웃,2사 만루 6:4,이닝종료 6:4,5.28,-0.815,26.8,13.4,-0.134
10,2020-08-18,KIA,10초,정우영,9 홍종표,0-0,투수 땅볼,1사 2루 5:5,2사 1루 5:5,3.27,-0.474,44.2,57.3,-0.131
11,2020-06-18,한화,8말,정우영,7 이성열,1-2,1루수 땅볼,"2사 2,3루 6:4",이닝종료 6:4,4.2,-0.634,19.8,7.4,-0.125
12,2020-08-05,KIA,8말,정우영,8 오선우,2-2,오선우/14181 : 삼진 아웃,"2사 1,2루 5:4",이닝종료 5:4,4.74,-0.466,28.4,16.2,-0.122
13,2020-06-30,KT,8초,정우영,5 유한준,2-1,중견수 뜬공,"2사 2,3루 3:3",이닝종료 3:3,4.07,-0.634,48.7,60.7,-0.11900000000000001
14,2020-10-20,KT,6말,정우영,8 문상철,2-2,유격수 땅볼,2사 만루 4:2,이닝종료 4:2,4.66,-0.815,29.9,18.1,-0.11800000000000001
15,2020-10-02,KT,7말,정우영,1 배정대,1-2,유격수 땅볼,2사 만루 2:2,이닝종료 2:2,4.63,-0.815,61.6,50.0,-0.11599999999999999
16,2020-06-12,롯데,9초,정우영,4 이대호,2-0,이대호/10251 : 삼진 아웃,"2사 1,2루 2:2",이닝종료 2:2,4.46,-0.466,52.3,63.7,-0.114
17,2020-07-02,KT,9초,정우영,2 황재균,2-0,황재균/10407 : 삼진 아웃,2사 2루 3:3,이닝종료 3:3,3.66,-0.344,53.4,63.7,-0.10300000000000001
18,2020-08-20,키움,8말,정우영,9 김혜성,1-1,2루수 땅볼,"1사 1,2루 5:4","2사 1,3루 5:4",5.24,-0.433,40.4,30.4,-0.099
19,2020-09-01,SK,7말,정우영,9 김성현,0-0,3루수 땅볼,2사 만루 8:5,이닝종료 8:5,3.85,-0.815,16.8,6.9,-0.098
20,2020-10-15,롯데,8말,정우영,4 이병규,2-0,유격수 병살타,"무사 1,2루 5:1",2사 3루 5:1,2.09,-1.186,12.5,2.8,-0.09699999999999999
21,2020-09-24,NC,8말,정우영,3 박민우,2-3,박민우/11137 : 중견수 직선타 아웃,"무사 1,2루 7:7","1사 1,2루 7:7",2.91,-0.602,76.2,67.0,-0.092
