,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,박병호,6,5,1,1,0,0,1,4,4,0,0,1,0,0,4,0,0,0,0.200,0.333,0.800,1.133,2.47,1.53,0.447
1,천성호,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.65,1.24,0.305
2,반즈,4,3,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0.333,0.500,0.333,0.833,1.87,0.99,0.247
3,황재균,8,6,0,2,1,0,0,3,1,0,0,1,1,0,1,0,0,0,0.333,0.500,0.500,1.000,1.94,1.41,0.189
4,김인태,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,6.01,1.00,0.183
5,양의지,6,6,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.333,1.09,0.42,0.165
6,주효상,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,3.30,0.64,0.159
7,최정,6,6,0,2,2,0,0,4,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,1.46,0.23,0.151
8,허경민,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,1.75,0.52,0.149
9,러셀,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,1.67,-0.19,0.147
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,노수광,2,2,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.77,1.40,0.135
12,최원준,2,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.78,0.27,0.125
13,이정후,3,2,2,1,0,0,1,4,1,0,0,1,0,1,0,0,0,0,0.500,0.667,2.000,2.667,2.12,1.07,0.120
14,정훈,3,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,2.33,1.21,0.120
15,박동원,3,3,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,1.93,1.75,0.098
16,노진혁,4,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.500,0.750,0.500,1.250,0.74,0.71,0.093
17,박경수,4,4,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,2.19,0.56,0.088
18,전준우,4,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.37,0.87,0.086
19,김재유,2,2,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,2.87,0.51,0.083
20,알테어,5,4,0,1,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0.250,0.400,0.250,0.650,1.27,-0.09,0.073
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김민식,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,1.80,-0.10,0.067
23,임종찬,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.82,0.28,0.067
24,이흥련,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.99,0.10,0.055
25,강진성,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,0.99,-0.19,0.054
26,박정음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3.34,0.15,0.049
27,오선진,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1.39,0.28,0.047
28,이성곤,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.06,0.28,0.046
29,김지수,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.25,1.00,0.043
30,김상수,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.28,0.69,0.038
31,김준태,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.80,0.25,0.038
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,노태형,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.92,1.78,0.036
34,최주환,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.55,1.72,0.029
35,한동민,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,2.37,0.22,0.028
36,김규민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.04,-0.03,0.025
37,장성우,6,4,0,1,1,0,0,2,1,0,0,1,0,0,1,0,1,0,0.250,0.400,0.500,0.900,2.10,0.49,0.023
38,임병욱,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.39,0.22,0.021
39,최지훈,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.35,0.01,0.020
40,오재일,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.17,0.35,0.011
41,안치홍,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,3.66,0.12,0.011
42,김민혁,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,2.53,-0.14,0.008
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,허일,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.13,0.22,0.007
45,박준태,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2.34,-0.10,0.005
46,페르난데스,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.08,0.28,0.005
47,조한민,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.08,0.28,0.005
48,김재환,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.05,0.22,0.003
49,채현우,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.04,0.13,0.003
50,마차도,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
51,이성규,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
52,김성민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
53,최정원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,허정협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
56,이해창,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
57,최인호,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
58,최정민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
59,신본기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
60,이명기,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
61,김도환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
62,김태군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
63,강민국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
64,이상호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,이도윤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
67,김경호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
68,김주형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
69,박계범,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
70,유서준,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
71,이지영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.18,-0.001
72,김형준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.12,-0.12,-0.003
73,정진호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.20,-0.26,-0.005
74,나성범,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.10,-0.38,-0.005
75,전병우,5,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,0.96,-0.48,-0.007
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,김병희,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.26,-0.26,-0.007
78,김규성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.29,-0.12,-0.007
79,나주환,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.35,-0.26,-0.009
80,김민하,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,0.97,0.50,-0.009
81,정진기,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.64,0.02,-0.010
82,정은원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.38,-0.12,-0.010
83,송민섭,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.40,-0.18,-0.010
84,이현석,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.38,-0.12,-0.010
85,강로한,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.42,-0.47,-0.011
86,김강민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.42,-0.12,-0.011
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,정기훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.51,-0.12,-0.014
89,오태곤,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.000,,,2.96,-0.08,-0.014
90,허도환,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.53,-0.26,-0.014
91,조용호,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,1.78,-0.04,-0.017
92,고종욱,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.31,-0.56,-0.017
93,최준우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.70,-0.18,-0.017
94,한승택,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.68,-0.47,-0.018
95,강백호,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.80,-0.03,-0.018
96,양우현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.80,-0.12,-0.021
97,이재원,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.40,-0.52,-0.021
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,김창평,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.46,-0.37,-0.024
100,최진행,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.47,-0.30,-0.024
101,오준혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.07,-0.26,-0.027
102,정수빈,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.500,0.000,0.500,1.65,-0.08,-0.027
103,김헌곤,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.01,-0.39,-0.028
104,강경학,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.80,-0.12,-0.029
105,이홍구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.15,-0.18,-0.029
106,박찬호,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.500,0.500,0.500,1.000,1.42,-0.21,-0.029
107,박석민,4,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0.333,0.250,1.333,1.583,1.07,0.57,-0.030
108,김하성,4,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,2.30,-0.05,-0.034
109,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
110,최영진,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.38,-0.12,-0.035
111,김성욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.61,-0.18,-0.035
112,권희동,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,2.19,0.13,-0.037
113,박승욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.45,-0.26,-0.037
114,남태혁,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.30,-0.34,-0.037
115,이학주,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.54,-0.26,-0.039
116,김웅빈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3.34,0.06,-0.042
117,김태진,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.71,-0.26,-0.043
118,김준완,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.75,-0.34,-0.044
119,김동엽,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,1.77,-0.01,-0.044
120,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
121,박승규,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.91,-0.44,-0.045
122,김찬형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.80,-0.18,-0.045
123,이성열,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,3.37,-0.24,-0.046
124,박해민,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,0.83,-0.75,-0.047
125,박상언,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.76,-0.82,-0.047
126,윤석민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.85,-0.26,-0.047
127,김혜성,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2.39,-0.00,-0.049
128,이병규,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000,0.500,0.000,0.500,1.53,-0.91,-0.052
129,김동한,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,2.34,-0.31,-0.053
130,백용환,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.16,-0.26,-0.055
131,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
132,민병헌,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.32,-0.26,-0.059
133,정상호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.57,-0.82,-0.065
134,김호령,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.32,-0.25,-0.065
135,채태인,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.32,-0.63,-0.069
136,박건우,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.91,-0.76,-0.069
137,노시환,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.89,-0.49,-0.069
138,이용규,4,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,2.75,0.48,-0.070
139,정현,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.33,-0.51,-0.073
140,김지찬,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.37,-0.51,-0.075
141,지석훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.84,-0.34,-0.080
142,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
143,이원석,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,1.22,-0.54,-0.080
144,터커,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.14,-0.52,-0.083
145,손아섭,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,1.23,-0.38,-0.087
146,박찬도,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,1.04,-0.80,-0.088
147,하주석,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.333,0.333,0.333,0.667,1.12,-0.47,-0.090
148,박민우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.91,-0.60,-0.092
149,문상철,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2.35,-0.86,-0.110
150,이재율,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,2.37,-0.66,-0.110
151,이대호,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,1.93,-0.77,-0.113
152,김성현,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.30,-1.07,-0.117
153,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
154,김재호,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.51,-1.37,-0.117
155,최항,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,2.57,-0.55,-0.121
156,오선우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4.74,-0.47,-0.122
157,유민상,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.67,-0.76,-0.122
158,정의윤,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.28,-1.24,-0.130
159,홍종표,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3.27,-0.47,-0.131
160,로맥,5,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.000,0.200,0.000,0.200,1.34,-1.55,-0.141
161,오재원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5.33,-0.77,-0.146
162,김태균,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,1.51,-1.10,-0.152
163,배정대,6,5,2,2,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,2.70,-1.03,-0.157
164,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
165,송광민,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,3.88,-0.92,-0.161
166,최재훈,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,2.43,-1.09,-0.196
