,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,전상현,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5.88,0.59,0.222
1,장민재,2,2,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,1.16,2.32,0.168
2,김기훈,2,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,1,0,1.000,1.000,4.000,5.000,1.26,1.84,0.161
3,이민우,8,8,1,3,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0.375,0.375,0.375,0.750,1.44,0.41,0.149
4,샘슨,12,11,2,3,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0.273,0.333,0.273,0.606,0.99,0.94,0.134
5,정우람,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5.36,0.68,0.127
6,윤대경,5,5,2,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.400,0.400,0.800,1.200,0.42,0.84,0.110
7,김진욱,5,5,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,0.94,-0.17,0.091
8,박종훈,5,4,1,1,0,0,1,4,1,2,1,1,0,0,1,0,0,0,0.250,0.400,1.000,1.400,1.21,0.51,0.076
9,브룩스,6,5,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,0.78,0.89,0.076
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,홍건희,3,3,0,2,1,1,0,5,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,1.79,1.21,0.072
12,서폴드,5,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,0.87,0.77,0.072
13,김재윤,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,3.28,0.42,0.068
14,핀토,6,5,3,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,1.34,0.62,0.064
15,하준호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.61,0.28,0.056
16,김영규,7,6,1,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.333,0.429,0.500,0.929,0.66,0.93,0.053
17,전유수,2,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.71,0.10,0.052
18,박세웅,4,3,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.667,0.750,0.667,1.417,0.79,0.55,0.052
19,김민수,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.82,0.49,0.050
20,브리검,6,6,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.833,1.167,0.62,0.51,0.038
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김재열,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.39,0.25,0.035
23,문승원,2,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.53,0.28,0.034
24,임정호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.87,0.25,0.025
25,주권,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,3.14,0.38,0.025
26,김민우,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.64,0.07,0.024
27,이재학,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.36,0.87,0.024
