,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-11-02,키움,10초,진해수,2 서건창,1-1,유격수 땅볼,2사 만루 2:2,이닝종료 2:2,6.87,-0.815,46.6,63.7,-0.171
1,2020-07-08,두산,8말,진해수,8 박세혁,2-2,2루수 병살타,"무사 1,2루 6:3",2사 3루 6:3,3.25,-1.186,22.3,6.1,-0.162
2,2020-09-20,두산,6말,진해수,1 허경민,1-0,2루수 병살타,"무사 1,2루 5:2",2사 3루 5:2,2.77,-1.186,28.2,13.9,-0.14400000000000002
3,2020-07-11,NC,11초,진해수,김성욱,,*도루실패(김성욱/11153),무사 1루 6:6,1사 6:6,3.44,-0.6559999999999999,41.8,55.9,-0.141
4,2020-05-05,두산,7초,진해수,8 오재원,2-2,유격수 병살타,"1사 1,2루 1:3",이닝종료 1:3,3.17,-0.971,75.3,89.0,-0.13699999999999998
5,2020-07-11,NC,10초,진해수,8 이명기,2-2,이명기/10119 : 삼진 아웃,2사 2루 6:6,이닝종료 6:6,3.66,-0.344,53.4,63.7,-0.10300000000000001
6,2020-10-04,KT,4말,진해수,2 조용호,2-3,조용호/12943 : 삼진 아웃,2사 만루 5:2,이닝종료 5:2,3.27,-0.815,24.3,16.0,-0.084
7,2020-10-23,KIA,7말,진해수,3 터커,2-1,중견수 뜬공,"1사 1,2루 6:4","2사 1,2루 6:4",3.61,-0.505,29.0,20.8,-0.08199999999999999
8,2020-06-25,키움,7초,진해수,9 이지영,2-0,이지영/10312 : 삼진 아웃,"무사 1,3루 2:5","1사 1,3루 2:5",2.62,-0.6609999999999999,75.2,83.0,-0.077
9,2020-08-29,두산,7초,진해수,3 오재일,2-0,오재일/10400 : 삼진 아웃,"2사 1,2루 3:3",이닝종료 3:3,2.93,-0.466,51.3,58.8,-0.075
10,2020-06-18,한화,7말,진해수,1 노수광,2-1,노수광/11268 : 삼진 아웃,2사 2루 4:3,이닝종료 4:3,2.63,-0.344,32.6,25.2,-0.07400000000000001
11,2020-05-24,KT,7초,진해수,4 로하스,2-1,로하스/12995 : 삼진 아웃,"1사 1,3루 5:4","2사 1,3루 5:4",2.08,-0.705,23.0,30.4,-0.07400000000000001
12,2020-09-19,두산,7말,진해수,4 김재환,0-0,유격수 땅볼,2사 3루 6:6,이닝종료 6:6,2.67,-0.387,57.3,50.0,-0.073
13,2020-09-03,NC,8초,진해수,1 박민우,2-1,박민우/11137 : 삼진 아웃,1사 만루 4:3,2사 만루 4:3,2.37,-0.835,16.3,23.4,-0.071
14,2020-10-28,한화,7초,진해수,오선진,,*도루실패(오선진/10557),1사 1루 6:6,2사 6:6,2.05,-0.456,49.7,56.8,-0.07
15,2020-05-10,NC,8말,진해수,1 박민우,2-2,2루수 땅볼,"2사 2,3루 10:7",이닝종료 10:7,2.17,-0.634,9.9,3.3,-0.066
16,2020-06-30,KT,7초,진해수,4 강백호,2-3,강백호/13168 : 삼진 아웃,무사 1루 1:2,1사 1루 1:2,2.83,-0.38,62.5,69.0,-0.065
17,2020-11-04,두산,4말,진해수,2 페르난데스,0-1,유격수 병살타,1사 만루 0:3,이닝종료 0:3,1.09,-1.65,90.5,84.0,-0.065
18,2020-09-08,KIA,7말,진해수,9 박찬호,0-0,투수 땅볼,1사 1루 2:1,2사 1루 2:1,2.58,-0.322,36.5,30.4,-0.061
19,2020-05-26,한화,7말,진해수,4 호잉,1-1,좌익수 뜬공,무사 1루 2:0,1사 1루 2:0,2.66,-0.38,28.3,22.2,-0.061
20,2020-07-08,두산,7말,진해수,4 김재환,2-0,김재환/10643 : 삼진 아웃,"1사 1,2루 6:3","2사 1,2루 6:3",2.68,-0.505,18.0,11.9,-0.061
21,2020-09-04,NC,11초,진해수,2 이명기,1-0,3루수 번트 아웃,무사 5:5,1사 5:5,2.32,-0.258,50.0,55.9,-0.059000000000000004
22,2020-10-08,삼성,9초,진해수,2 강한울,2-1,강한울/11255 : 삼진 아웃,무사 0:0,1사 0:0,2.32,-0.258,50.0,55.9,-0.059000000000000004
23,2020-07-02,KT,8초,진해수,6 박경수,2-2,박경수/10469 : 삼진 아웃,1사 1루 3:3,2사 1루 3:3,2.44,-0.322,49.8,55.6,-0.057999999999999996
24,2020-09-15,한화,9말,진해수,1 이용규,2-1,유격수 땅볼,무사 5:5,1사 5:5,2.26,-0.258,63.7,58.0,-0.057999999999999996
25,2020-09-15,한화,8말,진해수,8 최인호,2-1,최인호/14707 : 삼진 아웃,1사 1루 5:5,2사 1루 5:5,2.37,-0.322,60.7,55.0,-0.057
26,2020-09-26,KT,8말,진해수,3 로하스,1-1,중견수 뜬공,1사 1루 1:1,2사 1루 1:1,2.37,-0.322,60.7,55.0,-0.057
27,2020-10-28,한화,7초,진해수,8 임종찬,2-3,임종찬/14706 : 삼진 아웃,무사 1루 6:6,2사 6:6,2.42,-0.38,44.1,49.7,-0.055999999999999994
28,2020-06-30,KT,7초,진해수,5 유한준,1-2,중견수 뜬공,1사 1루 1:2,2사 1루 1:2,2.31,-0.322,69.0,74.6,-0.055
29,2020-06-11,SK,8초,진해수,5 정진기,2-2,정진기/10717 : 삼진 아웃,무사 3:4,1사 3:4,2.16,-0.258,74.8,80.3,-0.055
30,2020-07-19,한화,8초,진해수,2 김지수,2-0,김지수/12662 : 삼진 아웃,무사 1:2,1사 1:2,2.16,-0.258,74.8,80.3,-0.055
31,2020-07-04,삼성,12말,진해수,2 박해민,0-2,투수 희생번트,무사 1루 6:5,1사 2루 6:5,5.4,-0.228,33.4,28.1,-0.054000000000000006
32,2020-06-25,키움,7초,진해수,3 이정후,0-0,좌익수 희생플라이,1사 만루 3:5,"2사 1,2루 4:5",4.61,-0.184,65.5,70.7,-0.053
33,2020-07-02,KT,8초,진해수,7 장성우,2-1,유격수 땅볼,2사 1루 3:3,이닝종료 3:3,1.8,-0.251,55.6,60.7,-0.051
34,2020-07-08,두산,7말,진해수,5 오재일,2-2,우익수 뜬공,"2사 1,2루 6:3",이닝종료 6:3,1.94,-0.466,11.9,6.9,-0.05
35,2020-09-15,한화,8말,진해수,9 정진호,2-0,우익수 뜬공,2사 1루 5:5,이닝종료 5:5,1.8,-0.251,55.0,50.0,-0.05
36,2020-09-19,두산,7말,진해수,3 페르난데스,0-0,2루수 땅볼,1사 2루 6:6,2사 3루 6:6,2.13,-0.33799999999999997,62.4,57.3,-0.05
37,2020-07-26,두산,7말,진해수,3 오재일,1-2,2루수 뜬공,1사 1루 4:2,2사 1루 4:2,2.07,-0.322,22.2,17.3,-0.05
38,2020-09-08,KIA,7말,진해수,7 황대인,2-0,황대인/11306 : 삼진 아웃,무사 2:1,1사 2:1,1.91,-0.258,36.0,31.1,-0.049
39,2020-06-09,SK,8초,진해수,9 남태혁,2-1,유격수 뜬공,무사 1:1,1사 1:1,1.85,-0.258,50.0,54.7,-0.047
