,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,로하스,8,7,4,4,1,0,1,8,1,0,0,1,0,0,2,0,0,0,0.571,0.625,1.143,1.768,1.77,1.77,0.444
1,구자욱,5,5,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,1.83,1.43,0.312
2,터커,6,6,0,2,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0.333,0.333,0.500,0.833,1.61,0.96,0.310
3,최주환,6,6,0,4,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,1.42,2.31,0.263
4,김상수,3,2,1,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.28,2.40,0.212
5,조용호,4,4,0,3,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0.750,0.750,0.750,1.500,1.79,1.61,0.210
6,최형우,8,6,0,3,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0.500,0.625,0.500,1.125,1.12,0.51,0.126
7,정수빈,4,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.20,1.05,0.125
8,김하성,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.69,1.00,0.116
9,정진기,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,2.00,0.43,0.115
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김호재,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.40,0.62,0.090
12,유한준,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.85,0.27,0.080
13,정진호,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.333,0.333,0.333,0.667,1.53,0.96,0.074
14,김인태,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.25,0.55,0.062
15,서건창,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2.19,0.41,0.060
16,김재호,5,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,1.11,-0.07,0.058
17,김태진,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.41,0.28,0.054
18,김문호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.36,0.22,0.052
19,강백호,7,7,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.286,0.286,0.714,1.000,2.16,0.46,0.052
20,이진영,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,1.09,-0.09,0.050
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김성현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.05,0.40,0.049
23,하주석,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.76,-0.24,0.043
24,박세혁,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.333,0.600,0.333,0.933,1.85,0.01,0.041
25,이상호,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1.24,0.25,0.039
26,정은원,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,1.03,0.51,0.037
27,김창평,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.54,0.28,0.026
28,신본기,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.55,1.00,0.026
29,최진행,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.50,0.28,0.017
