,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-10,NC,1말,박정수,5 채은성,0-0,좌익수 홈런,"2사 1,2루 0:0",2사 0:3,1.62,2.6510000000000002,54.2,78.8,0.24600000000000002
1,2020-09-22,SK,6말,박종훈,5 채은성,0-0,중견수 안타,1사 만루 2:1,"1사 1,2루 2:3",4.36,1.321,56.1,77.5,0.214
2,2020-05-29,KIA,8초,고영창,3 채은성,0-1,우익수 홈런,"2사 1,3루 2:1",2사 5:1,1.88,2.5789999999999997,25.2,4.1,0.21100000000000002
3,2020-05-10,NC,8초,김건태,3 채은성,0-0,우익수 홈런,2사 1루 8:7,2사 10:7,0.88,1.8659999999999999,27.9,8.1,0.19899999999999998
4,2020-06-12,롯데,10말,박진형,4 채은성,2-1,우익수 2루타,무사 2:2,무사 2루 2:2,2.26,0.634,63.7,81.1,0.17300000000000001
5,2020-09-24,NC,2초,최성영,5 채은성,0-1,좌익수 홈런,무사 1루 0:0,무사 2:0,1.53,1.6019999999999999,46.2,29.9,0.163
6,2020-05-16,키움,8말,김태훈,8 채은성,1-1,좌익수 안타,"1사 1,3루 3:3","1사 1,3루 3:4",4.03,1.0,75.1,91.0,0.159
7,2020-05-21,삼성,1초,원태인,3 채은성,1-0,좌익수 홈런,1사 2루 0:0,1사 2:0,1.21,1.5719999999999998,48.2,32.8,0.154
8,2020-05-22,KT,8말,주권,3 채은성,2-3,좌익수 홈런,1사 1루 5:2,1사 5:4,1.38,1.724,8.8,24.0,0.152
9,2020-07-02,KT,5말,조병욱,5 채은성,1-0,좌익수 2루타,무사 1루 2:0,"무사 2,3루 2:0",2.12,1.099,33.7,48.7,0.151
10,2020-09-19,두산,3초,함덕주,5 채은성,0-0,좌익수 홈런,무사 1루 3:2,무사 5:2,1.39,1.6019999999999999,35.2,20.2,0.15
11,2020-07-28,SK,4초,핀토,3 채은성,2-1,우익수 안타,"2사 1,3루 4:2",2사 1루 6:2,1.42,1.713,26.7,13.0,0.13699999999999998
12,2020-05-24,KT,9말,김민수,3 채은성,0-0,중견수 안타,"1사 1,2루 7:5",1사 만루 7:5,4.7,0.679,19.8,33.0,0.132
13,2020-10-15,롯데,4초,노경은,5 채은성,1-1,좌익수 홈런,1사 1:1,1사 2:1,0.78,1.0,52.7,39.8,0.13
14,2020-07-29,SK,4초,김세현,3 채은성,0-1,우익수 홈런,"2사 2,3루 5:2",2사 8:2,1.13,2.483,17.7,5.4,0.124
15,2020-08-05,KIA,3초,양현종,3 채은성,0-0,중견수 안타,"2사 1,2루 0:0","2사 1,3루 1:0",1.87,1.072,50.7,38.6,0.121
16,2020-06-16,한화,1초,장민재,4 채은성,1-1,중견수 안타,"1사 1,2루 0:0","1사 1,3루 1:0",1.93,1.272,46.2,34.3,0.12
17,2020-05-19,삼성,1초,뷰캐넌,3 채은성,2-1,우익수 안타,"무사 1,2루 0:0","무사 1,3루 1:0",1.87,1.331,41.0,29.1,0.11900000000000001
18,2020-05-14,SK,3말,박종훈,3 채은성,0-0,좌익수 안타,2사 2루 1:1,2사 1루 1:2,1.32,0.907,53.7,64.7,0.109
19,2020-10-10,NC,3말,임창민,5 채은성,2-2,좌익수 홈런,"무사 1,2루 1:3",무사 1:6,1.18,1.982,82.7,93.5,0.10800000000000001
20,2020-06-09,SK,9말,조영우,3 채은성,0-0,우익수 안타,무사 1루 2:2,"무사 1,2루 2:2",3.19,0.62,71.1,81.5,0.10400000000000001
21,2020-11-02,키움,1말,브리검,3 채은성,0-1,좌익수 홈런,2사 0:0,2사 0:1,0.4,1.0,51.0,61.4,0.10400000000000001
22,2020-10-04,KT,1초,쿠에바스,5 채은성,0-0,좌익수 2루타,2사 1루 1:0,2사 2루 2:0,0.72,1.093,42.5,32.3,0.102
23,2020-10-28,한화,11말,송윤준,3 채은성,1-1,유격수 땅볼 실책[실책포함],1사 7:6,1사 1루 7:6,2.63,0.276,11.2,20.9,0.09699999999999999
24,2020-08-14,NC,8초,문경찬,3 채은성,2-1,좌익수 홈런,1사 1루 6:4,1사 8:4,0.65,1.724,13.3,3.8,0.095
25,2020-10-07,삼성,8말,노성호,5 채은성,2-2,몸에 맞는 볼,무사 1루 1:1,"무사 1,2루 1:1",2.68,0.62,67.1,76.2,0.091
26,2020-07-31,한화,9말,정우람,3 채은성,2-2,중견수 안타,1사 2루 2:0,1사 1루 2:1,2.58,0.848,11.8,20.9,0.091
27,2020-10-30,SK,6초,박종훈,3 채은성,0-3,볼넷,무사 1루 1:2,"무사 1,2루 1:2",2.4,0.62,60.3,51.3,0.09
28,2020-07-04,삼성,9초,오승환,6 채은성,0-0,중견수 2루타,무사 3:5,무사 2루 3:5,1.5,0.634,92.6,83.9,0.08800000000000001
29,2020-10-23,KIA,5초,정해영,5 채은성,0-3,볼넷,1사 만루 4:3,1사 만루 5:3,2.56,1.0,26.1,17.4,0.087
30,2020-05-13,SK,2말,핀토,3 채은성,1-3,중견수 안타,2사 만루 0:3,"2사 1,3루 0:5",1.45,1.723,83.5,92.2,0.087
31,2020-08-15,NC,1초,이재학,3 채은성,1-1,좌익수 안타,1사 2루 0:0,1사 1루 1:0,1.21,0.848,48.2,40.0,0.08199999999999999
32,2020-06-03,삼성,3말,허윤동,3 채은성,0-0,우익수 안타,무사 1루 0:1,"무사 1,3루 0:1",1.3,0.951,70.3,78.3,0.081
33,2020-06-02,삼성,4말,원태인,3 채은성,1-0,좌익수 안타,무사 1루 2:0,"무사 1,2루 2:0",1.92,0.62,35.4,42.9,0.075
