,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-10-07,삼성,8초,최동환,3 김동엽,2-0,유격수 병살타,무사 1루 1:1,2사 1:1,2.83,-0.836,43.2,58.2,-0.15
1,2020-11-02,키움,11초,최동환,7 박동원,2-2,3루수 파울 뜬공,"2사 2,3루 2:2",이닝종료 2:2,4.99,-0.634,49.1,63.7,-0.146
2,2020-09-26,KT,8말,최동환,6 박경수,0-1,좌익수 뜬공,2사 만루 1:1,이닝종료 1:1,5.35,-0.815,63.4,50.0,-0.134
3,2020-11-02,키움,11초,최동환,4 박병호,2-3,박병호/10470 : 삼진 아웃,무사 1루 2:2,1사 2루 2:2,3.44,-0.38,41.8,50.0,-0.081
4,2020-06-12,롯데,7초,최동환,4 이대호,0-1,3루수 병살타,무사 1루 2:1,2사 2:1,1.52,-0.836,26.7,34.7,-0.08
5,2020-11-02,키움,11초,최동환,5 김하성,1-1,2루수 땅볼,1사 2루 2:2,2사 3루 2:2,3.27,-0.33799999999999997,44.2,51.7,-0.075
6,2020-06-30,KT,11초,최동환,5 유한준,2-0,우익수 뜬공,무사 3:3,1사 3:3,2.32,-0.258,50.0,55.9,-0.059000000000000004
7,2020-06-30,KT,10초,최동환,2 황재균,1-1,유격수 땅볼,무사 3:3,1사 3:3,2.32,-0.258,50.0,55.9,-0.059000000000000004
8,2020-07-11,NC,12초,최동환,3 박석민,2-1,3루수 땅볼,무사 6:6,1사 6:6,2.32,-0.258,50.0,55.9,-0.059000000000000004
9,2020-10-24,NC,12말,최동환,3 나성범,1-2,우익수 뜬공,무사 3:3,1사 3:3,2.26,-0.258,63.7,58.0,-0.057999999999999996
10,2020-06-13,롯데,7초,최동환,8 마차도,2-1,좌익수 뜬공,"2사 1,3루 7:6",이닝종료 7:6,2.02,-0.5379999999999999,30.4,36.0,-0.055999999999999994
11,2020-10-06,삼성,8초,최동환,9 이성규,1-0,1루수 파울 뜬공,무사 1:2,1사 1:2,2.16,-0.258,74.8,80.3,-0.055
12,2020-10-07,삼성,8초,최동환,5 팔카,2-0,3루수 파울 뜬공,2사 1루 1:1,이닝종료 1:1,1.8,-0.251,55.6,60.7,-0.051
13,2020-08-05,KIA,7말,최동환,1 이창진,0-0,유격수 뜬공,무사 5:4,1사 5:4,1.91,-0.258,36.0,31.1,-0.049
14,2020-09-30,롯데,7초,최동환,3 전준우,0-1,중견수 뜬공,"2사 1,2루 3:2",이닝종료 3:2,1.85,-0.466,31.3,36.0,-0.047
15,2020-06-30,KT,11초,최동환,6 천성호,0-0,우익수 뜬공,1사 3:3,2사 3:3,1.8,-0.18,55.9,60.4,-0.045
16,2020-06-30,KT,10초,최동환,3 로하스,2-3,우익수 뜬공,1사 3:3,2사 3:3,1.8,-0.18,55.9,60.4,-0.045
17,2020-10-24,NC,12말,최동환,4 양의지,0-0,유격수 땅볼,1사 3:3,2사 3:3,1.8,-0.18,58.0,53.5,-0.045
18,2020-07-11,NC,12초,최동환,4 양의지,0-0,유격수 뜬공,1사 6:6,2사 6:6,1.8,-0.18,55.9,60.4,-0.045
19,2020-06-12,롯데,6초,최동환,민병헌,,*도루실패(민병헌/10188),1사 1루 2:1,2사 2:1,1.28,-0.456,33.6,38.0,-0.044000000000000004
20,2020-09-20,두산,4말,최동환,3 박건우,2-2,1루수 뜬공,2사 2루 3:2,이닝종료 3:2,1.54,-0.344,40.3,35.9,-0.044000000000000004
21,2020-10-11,NC,6초,최동환,2 강진성,2-1,1루수 파울 뜬공,"2사 2,3루 3:1",이닝종료 3:1,1.48,-0.634,21.1,25.5,-0.044000000000000004
22,2020-09-20,두산,5말,최동환,5 오재일,0-2,3루수 뜬공,무사 1루 5:2,1사 1루 5:2,1.78,-0.38,23.1,19.0,-0.040999999999999995
23,2020-09-03,NC,7초,최동환,5 알테어,2-1,좌익수 안타,2사 2루 4:3,이닝종료 4:3,1.38,-0.344,32.1,36.0,-0.039
24,2020-10-06,삼성,8초,최동환,1 박해민,1-1,유격수 땅볼,1사 1:2,2사 1:2,1.57,-0.18,80.3,84.2,-0.039
25,2020-09-04,NC,7초,최동환,양의지,,*도루실패(양의지/10165),무사 1루 5:3,1사 5:3,0.94,-0.6559999999999999,15.8,19.6,-0.038
26,2020-10-24,NC,12말,최동환,5 강진성,2-1,강진성/11148 : 삼진 아웃,2사 3:3,이닝종료 3:3,1.38,-0.11699999999999999,53.5,50.0,-0.035
27,2020-08-05,KIA,7말,최동환,2 김선빈,1-0,우익수 뜬공,1사 5:4,2사 5:4,1.41,-0.18,31.1,27.6,-0.035
28,2020-10-16,KIA,7초,최동환,7 유민상,2-2,유격수 병살타,"1사 1,2루 0:5",이닝종료 0:5,0.9,-0.971,95.2,98.6,-0.035
29,2020-06-30,KT,10초,최동환,4 강백호,2-1,강백호/13168 : 삼진 아웃,2사 3:3,이닝종료 3:3,1.32,-0.11699999999999999,60.4,63.7,-0.034
30,2020-06-30,KT,11초,최동환,7 오태곤,0-0,좌익수 뜬공,2사 3:3,이닝종료 3:3,1.32,-0.11699999999999999,60.4,63.7,-0.034
31,2020-07-11,NC,12초,최동환,5 알테어,2-1,알테어/14599 : 삼진 아웃,2사 6:6,이닝종료 6:6,1.32,-0.11699999999999999,60.4,63.7,-0.034
32,2020-09-20,두산,5말,최동환,6 김재호,1-1,좌익수 뜬공,1사 1루 5:2,2사 1루 5:2,1.35,-0.322,19.0,15.8,-0.033
33,2020-09-20,두산,5말,최동환,7 최주환,2-2,유격수 땅볼,2사 2루 5:2,이닝종료 5:2,1.13,-0.344,16.6,13.4,-0.032
34,2020-10-30,SK,7말,최동환,4 로맥,2-2,로맥/12991 : 삼진 아웃,2사 만루 1:3,이닝종료 1:3,1.25,-0.815,89.7,86.6,-0.031
35,2020-10-16,KIA,7초,최동환,6 김태진,2-2,좌익수 파울 뜬공,"무사 1,2루 0:5","1사 1,2루 0:5",1.19,-0.602,92.3,95.2,-0.028999999999999998
36,2020-06-13,롯데,8초,최동환,2 전준우,2-1,전준우/10266 : 삼진 아웃,1사 1루 7:6,2사 1루 7:6,1.19,-0.322,25.1,27.9,-0.028999999999999998
37,2020-10-06,삼성,8초,최동환,2 김호재,2-0,중견수 뜬공,2사 1:2,이닝종료 1:2,1.03,-0.11699999999999999,84.2,86.9,-0.027000000000000003
38,2020-06-12,롯데,6초,최동환,2 전준우,0-0,좌익수 뜬공,2사 1루 2:1,이닝종료 2:1,0.92,-0.251,36.6,39.2,-0.026000000000000002
39,2020-05-06,두산,3초,최동환,8 허경민,1-1,2루수 병살타,"1사 1,2루 5:0",이닝종료 5:0,0.55,-0.971,8.1,10.6,-0.025
40,2020-06-12,롯데,6초,최동환,8 한동희,0-0,유격수 땅볼,무사 2:1,1사 2:1,0.97,-0.258,33.7,36.2,-0.025
41,2020-07-29,SK,8말,최동환,3 최정,0-0,유격수 뜬공,"1사 1,3루 10:5","2사 1,3루 10:5",0.85,-0.705,4.2,1.8,-0.024
42,2020-10-04,KT,6말,최동환,2 조용호,1-1,포수 희생번트,무사 2루 6:5,1사 3루 6:5,2.15,-0.20600000000000002,50.0,47.7,-0.023
43,2020-06-13,롯데,8초,최동환,9 한동희,1-0,중견수 뜬공,무사 7:6,1사 7:6,0.9,-0.258,25.2,27.5,-0.023
44,2020-09-23,SK,8초,최동환,2 박성한,2-2,박성한/12922 : 삼진 아웃,무사 2:5,1사 2:5,0.88,-0.258,93.1,95.3,-0.022000000000000002
45,2020-10-04,KT,6말,최동환,6 박경수,1-1,좌익수 뜬공,2사 1루 6:7,이닝종료 6:7,0.79,-0.251,71.8,69.6,-0.022000000000000002
46,2020-09-23,SK,8초,최동환,5 채태인,2-1,채태인/10331 : 삼진 아웃,2사 1루 2:5,이닝종료 2:5,0.6,-0.251,95.6,97.3,-0.018000000000000002
47,2020-07-31,한화,8초,최동환,3 반즈,2-3,2루수 땅볼,1사 1:0,2사 1:0,0.68,-0.18,27.5,29.2,-0.017
48,2020-10-11,NC,7초,최동환,3 박민우,2-0,유격수 땅볼,무사 3:1,1사 3:1,0.6,-0.258,18.1,19.6,-0.015
49,2020-09-23,SK,8초,최동환,3 최정,1-3,중견수 뜬공,1사 2:5,2사 2:5,0.54,-0.18,95.3,96.7,-0.013999999999999999
50,2020-07-07,두산,5말,최동환,9 정수빈,2-2,1루수 땅볼,"2사 1,3루 3:7",이닝종료 3:7,0.46,-0.5379999999999999,93.4,92.1,-0.013000000000000001
51,2020-06-12,롯데,7초,최동환,5 마차도,2-0,중견수 뜬공,2사 2:1,이닝종료 2:1,0.5,-0.11699999999999999,34.7,36.0,-0.013000000000000001
52,2020-09-04,NC,8초,최동환,7 강진성,1-0,중견수 뜬공,무사 5:3,1사 5:3,0.49,-0.258,13.4,14.6,-0.013000000000000001
53,2020-07-29,SK,8말,최동환,4 로맥,2-2,좌익수 뜬공,"2사 1,3루 10:5",이닝종료 10:5,0.44,-0.5379999999999999,1.8,0.6,-0.012
54,2020-07-31,한화,8초,최동환,4 김태균,1-3,김태균/10552 : 유격수 직선타 아웃,2사 1:0,이닝종료 1:0,0.47,-0.11699999999999999,29.2,30.4,-0.012
55,2020-09-04,NC,7초,최동환,5 알테어,2-2,알테어/14599 : 삼진 아웃,1사 5:3,2사 5:3,0.45,-0.18,19.6,20.7,-0.011000000000000001
56,2020-10-11,NC,7초,최동환,4 양의지,0-1,중견수 뜬공,1사 3:1,2사 3:1,0.45,-0.18,19.6,20.7,-0.011000000000000001
57,2020-09-04,NC,8초,최동환,8 노진혁,0-0,좌익수 뜬공,1사 5:3,2사 5:3,0.38,-0.18,14.6,15.6,-0.009000000000000001
58,2020-10-03,KT,8말,최동환,1 홍현빈,2-1,홍현빈/12941 : 좌익수 직선타 아웃,무사 7:2,1사 7:2,0.33,-0.258,2.1,1.2,-0.008
59,2020-09-04,NC,7초,최동환,6 박석민,2-1,박석민/10322 : 삼진 아웃,2사 5:3,이닝종료 5:3,0.31,-0.11699999999999999,20.7,21.5,-0.008
60,2020-10-11,NC,7초,최동환,5 나성범,2-2,1루수 땅볼,2사 3:1,이닝종료 3:1,0.31,-0.11699999999999999,20.7,21.5,-0.008
61,2020-08-18,KIA,9초,최동환,4 나지완,1-0,3루수 땅볼,무사 5:3,1사 5:3,0.29,-0.258,7.4,8.1,-0.008
62,2020-10-10,NC,8초,최동환,1 이명기,2-3,유격수 땅볼,무사 0:5,1사 0:5,0.27,-0.258,98.3,99.0,-0.006999999999999999
63,2020-06-23,키움,6초,최동환,3 이정후,1-0,이정후/12906 : 2루수 직선타 아웃,무사 6:2,1사 6:2,0.26,-0.258,7.9,8.6,-0.006999999999999999
64,2020-05-13,SK,7초,최동환,9 정현,0-0,좌익수 뜬공,"1사 1,3루 2:10",이닝종료 2:10,0.14,-1.2429999999999999,99.2,99.9,-0.006
