,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,오윤석,2,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.87,1.34,0.345
1,이명기,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.75,0.74,0.257
2,김형준,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.70,1.00,0.207
3,강백호,3,3,1,1,0,0,1,4,1,1,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.51,0.72,0.157
4,황재균,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,2.77,1.72,0.143
5,최형우,2,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.07,1.88,0.137
6,배정대,2,2,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.89,0.38,0.103
7,나지완,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.58,1.26,0.066
8,지성준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.26,0.35,0.058
9,김재환,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,0.49,0.42,0.053
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김하성,3,3,1,2,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0.667,0.667,1.667,2.333,0.18,0.45,0.049
12,이원석,3,2,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,1.667,0.59,1.42,0.047
13,박병호,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.08,1.22,0.039
14,안치홍,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.98,0.40,0.037
15,김선빈,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.20,0.45,0.033
16,페르난데스,3,2,2,2,0,0,1,5,2,0,0,0,0,0,0,0,0,1,1.000,0.667,2.500,3.167,0.10,1.77,0.031
17,터커,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.25,0.38,0.023
18,손아섭,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.34,0.27,0.016
19,권희동,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,0.13,-0.13,0.010
20,이지영,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.07,1.00,0.009
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,서건창,2,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,2.02,0.008
23,민병헌,4,4,1,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.46,0.55,0.005
24,문상철,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.08,0.28,0.005
25,정훈,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.02,0.82,0.005
26,이유찬,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.08,1.08,0.005
27,살라디노,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.10,0.84,0.004
28,김창평,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.08,0.78,0.003
29,박찬도,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,0.62,0.003
30,정진기,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,0.40,0.002
31,정상호,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.05,0.13,0.002
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김상수,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,0.40,0.002
34,이홍구,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.03,0.89,0.002
35,한동민,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.02,0.28,0.001
36,변상권,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.03,0.38,0.001
37,이재율,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
38,최영진,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
39,이현석,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,0.01,-1.24,0.000
40,김동한,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.26,0.000
41,김주형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
42,국해성,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.07,-0.49,0.000
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,이우성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
45,이상호,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
46,김재현,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
47,주효상,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.12,0.000
48,김응민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
49,황윤호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.12,0.000
50,김민혁,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
51,송민섭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
52,김호령,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
53,고종욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.33,0.000
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,오선우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
56,심우준,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
57,조상우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
58,최정용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
59,오준혁,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.00,0.63,0.000
60,임종찬,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.01,0.13,0.000
61,김규민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.18,0.000
62,강로한,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
63,김지찬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
64,문선재,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.26,0.000
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,안권수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
67,박정음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
68,신본기,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.38,0.000
69,최정원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
70,김인태,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
