,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-30,두산,7초,최성훈,4 김재환,0-0,2루수 병살타,무사 1루 0:3,2사 0:3,1.69,-0.836,85.5,93.5,-0.08
1,2020-09-19,두산,5말,최성훈,5 오재일,0-0,1루수 병살타,1사 1루 6:6,이닝종료 6:6,1.56,-0.573,56.9,50.0,-0.069
2,2020-08-20,키움,7말,최성훈,3 이정후,2-1,이정후/12906 : 삼진 아웃,1사 1루 4:3,2사 1루 4:3,2.58,-0.322,36.5,30.4,-0.061
3,2020-07-02,KT,10초,최성훈,3 로하스,2-1,로하스/12995 : 삼진 아웃,무사 3:3,1사 3:3,2.32,-0.258,50.0,55.9,-0.059000000000000004
4,2020-08-28,KT,9초,최성훈,3 로하스,2-2,로하스/12995 : 삼진 아웃,무사 5:5,1사 5:5,2.32,-0.258,50.0,55.9,-0.059000000000000004
5,2020-07-04,삼성,10말,최성훈,3 구자욱,2-2,구자욱/10892 : 삼진 아웃,무사 5:5,1사 5:5,2.26,-0.258,63.7,58.0,-0.057999999999999996
6,2020-06-30,KT,8초,최성훈,4 강백호,2-1,투수 땅볼,"1사 1,2루 3:3","2사 2,3루 3:3",3.79,-0.337,43.1,48.7,-0.057
7,2020-09-04,NC,6초,최성훈,3 나성범,2-1,나성범/11162 : 삼진 아웃,2사 만루 5:3,이닝종료 5:3,2.06,-0.815,20.3,25.5,-0.052000000000000005
8,2020-09-26,KT,6말,최성훈,4 강백호,0-0,2루수 땅볼,무사 1루 1:1,1사 1루 1:1,2.07,-0.38,62.6,57.8,-0.048
9,2020-09-19,두산,5말,최성훈,4 김재환,2-2,좌익수 뜬공,무사 1루 6:6,1사 1루 6:6,1.88,-0.38,61.2,56.9,-0.044000000000000004
10,2020-09-01,SK,7말,최성훈,7 최항,2-3,1루수 땅볼,"1사 1,2루 8:5","2사 2,3루 8:5",2.68,-0.337,18.0,13.9,-0.040999999999999995
11,2020-08-23,한화,7초,최성훈,정진호,,*도루실패(정진호/10645),무사 1루 3:1,1사 3:1,0.94,-0.6559999999999999,15.8,19.6,-0.038
12,2020-09-19,두산,6말,최성훈,9 박세혁,2-2,박세혁/10891 : 삼진 아웃,2사 1루 6:6,이닝종료 6:6,1.27,-0.251,53.6,50.0,-0.036000000000000004
13,2020-09-19,두산,6말,최성훈,6 최주환,0-1,2루수 땅볼,무사 6:6,1사 6:6,1.32,-0.258,57.5,54.2,-0.034
14,2020-09-03,NC,7초,최성훈,2 이명기,2-1,이명기/10119 : 삼진 아웃,무사 4:3,1사 4:3,0.98,-0.258,30.5,32.9,-0.025
15,2020-06-13,롯데,8초,최성훈,3 손아섭,2-1,중견수 뜬공,2사 1루 7:6,이닝종료 7:6,0.88,-0.251,27.9,30.4,-0.025
16,2020-09-19,두산,6말,최성훈,7 김재호,2-3,유격수 땅볼,1사 6:6,2사 6:6,0.98,-0.18,54.2,51.7,-0.024
17,2020-07-31,한화,8초,최성훈,2 이용규,2-1,좌익수 안타,무사 1:0,1사 1:0,0.9,-0.258,25.2,27.5,-0.023
18,2020-08-18,KIA,6초,최성훈,2 터커,1-1,중견수 뜬공,1사 1루 5:3,2사 1루 5:3,0.87,-0.322,21.6,23.7,-0.021
19,2020-06-13,롯데,9초,최성훈,6 김준태,2-1,김준태/10835 : 삼진 아웃,1사 1루 7:6,2사 1루 7:6,0.86,-0.322,16.1,18.2,-0.021
20,2020-06-13,롯데,9초,최성훈,7 오윤석,2-2,오윤석/11397 : 삼진 아웃,2사 1루 7:6,이닝종료 7:6,0.64,-0.251,18.2,20.0,-0.018000000000000002
21,2020-09-03,NC,7초,최성훈,3 나성범,0-1,2루수 땅볼,1사 4:3,2사 4:3,0.72,-0.18,32.9,34.7,-0.018000000000000002
22,2020-08-18,KIA,6초,최성훈,3 최형우,0-2,1루수 땅볼,2사 1루 5:3,이닝종료 5:3,0.64,-0.251,23.7,25.5,-0.018000000000000002
23,2020-07-16,롯데,7말,최성훈,8 김동한,2-2,김동한/10734 : 삼진 아웃,2사 2루 10:12,이닝종료 10:12,0.6,-0.344,88.3,86.6,-0.017
24,2020-06-25,키움,6초,최성훈,7 김혜성,1-2,1루수 땅볼,무사 4:2,1사 4:2,0.66,-0.258,21.7,23.4,-0.017
25,2020-08-18,KIA,6초,최성훈,9 김규성,2-3,김규성/12540 : 삼진 아웃,무사 5:3,1사 5:3,0.66,-0.258,21.7,23.4,-0.017
26,2020-06-13,롯데,9초,최성훈,4 이대호,1-3,유격수 땅볼,무사 7:6,1사 7:6,0.66,-0.258,16.2,17.9,-0.017
27,2020-09-12,삼성,8초,최성훈,3 구자욱,1-2,2루수 병살타,1사 1루 4:1,이닝종료 4:1,0.35,-0.573,6.9,8.4,-0.015
28,2020-06-25,키움,7초,최성훈,1 서건창,0-0,2루수 땅볼,무사 4:2,1사 4:2,0.6,-0.258,18.1,19.6,-0.015
29,2020-08-23,한화,8초,최성훈,2 강경학,2-0,강경학/10676 : 삼진 아웃,무사 3:1,1사 3:1,0.49,-0.258,13.4,14.6,-0.013000000000000001
30,2020-06-25,키움,6초,최성훈,8 전병우,2-0,전병우/11422 : 삼진 아웃,1사 4:2,2사 4:2,0.49,-0.18,23.4,24.6,-0.012
31,2020-06-25,키움,7초,최성훈,2 김하성,2-1,우익수 뜬공,1사 4:2,2사 4:2,0.45,-0.18,19.6,20.7,-0.011000000000000001
32,2020-08-23,한화,7초,최성훈,9 노수광,1-1,투수 땅볼,1사 3:1,2사 3:1,0.45,-0.18,19.6,20.7,-0.011000000000000001
33,2020-06-21,두산,8초,최성훈,6 박세혁,2-2,좌익수 뜬공,2사 2루 3:0,이닝종료 3:0,0.38,-0.344,7.3,8.4,-0.011000000000000001
34,2020-07-09,두산,7말,최성훈,5 최주환,2-1,최주환/10182 : 삼진 아웃,"2사 1,2루 0:3",이닝종료 0:3,0.41,-0.466,94.1,93.1,-0.011000000000000001
35,2020-07-03,삼성,7말,최성훈,4 이성곤,2-1,이성곤/11206 : 삼진 아웃,무사 6:8,1사 6:8,0.4,-0.258,89.0,87.9,-0.01
36,2020-06-25,키움,6초,최성훈,9 김규민,2-2,김규민/10868 : 삼진 아웃,2사 4:2,이닝종료 4:2,0.33,-0.11699999999999999,24.6,25.5,-0.009000000000000001
37,2020-06-25,키움,7초,최성훈,3 이정후,1-1,2루수 땅볼,2사 4:2,이닝종료 4:2,0.31,-0.11699999999999999,20.7,21.5,-0.008
38,2020-08-23,한화,7초,최성훈,1 이용규,1-1,투수 땅볼,2사 3:1,이닝종료 3:1,0.31,-0.11699999999999999,20.7,21.5,-0.008
39,2020-08-11,KIA,7초,최성훈,8 최원준,1-1,1루수 땅볼,"1사 1,3루 6:1","2사 2,3루 6:1",0.23,-0.609,2.2,2.9,-0.008
40,2020-09-12,삼성,8초,최성훈,1 박해민,1-1,좌익수 뜬공,무사 4:1,1사 4:1,0.26,-0.258,6.9,7.6,-0.006999999999999999
41,2020-06-17,한화,7말,최성훈,2 정진호,2-1,좌익수 뜬공,무사 7:1,1사 7:1,0.24,-0.258,1.9,1.3,-0.006
42,2020-07-07,두산,7말,최성훈,6 최주환,1-0,2루수 땅볼,무사 5:8,1사 5:8,0.21,-0.258,94.3,93.8,-0.006
43,2020-07-09,두산,7말,최성훈,1 박건우,2-0,2루수 땅볼,무사 0:3,1사 0:3,0.21,-0.258,94.3,93.8,-0.006
44,2020-09-29,롯데,7초,최성훈,2 손아섭,2-2,2루수 땅볼,"2사 1,2루 8:3",이닝종료 8:3,0.21,-0.466,3.1,3.7,-0.005
45,2020-11-04,두산,6말,최성훈,1 허경민,1-0,우익수 뜬공,1사 1루 0:4,2사 1루 0:4,0.22,-0.322,95.3,94.8,-0.005
46,2020-11-04,두산,6말,최성훈,2 페르난데스,1-0,투수 땅볼,2사 1루 0:4,이닝종료 0:4,0.16,-0.251,94.8,94.3,-0.005
47,2020-09-07,롯데,5말,최성훈,1 민병헌,0-1,유격수 병살타,1사 1루 4:10,이닝종료 4:10,0.1,-0.573,97.9,97.5,-0.004
48,2020-11-04,두산,6말,최성훈,8 정수빈,0-0,포수 희생번트,무사 1루 0:3,1사 2루 0:3,0.46,-0.228,92.5,92.1,-0.004
49,2020-07-07,두산,7말,최성훈,7 김재호,1-0,유격수 땅볼,1사 5:8,2사 5:8,0.16,-0.18,93.8,93.4,-0.004
50,2020-07-09,두산,7말,최성훈,2 페르난데스,2-1,3루수 땅볼,1사 0:3,2사 0:3,0.16,-0.18,93.8,93.4,-0.004
51,2020-07-07,두산,6말,최성훈,5 오재원,0-0,3루수 파울 뜬공,2사 2루 3:8,이닝종료 3:8,0.14,-0.344,97.4,97.0,-0.004
52,2020-06-17,한화,7말,최성훈,3 이용규,0-0,유격수 땅볼,1사 7:1,2사 7:1,0.14,-0.18,1.3,1.0,-0.003
53,2020-09-12,삼성,9초,최성훈,4 팔카,1-0,투수 땅볼,무사 4:1,1사 4:1,0.13,-0.258,3.3,3.6,-0.003
54,2020-07-07,두산,7말,최성훈,8 박세혁,2-1,유격수 땅볼,2사 5:8,이닝종료 5:8,0.11,-0.11699999999999999,93.4,93.1,-0.003
55,2020-08-11,KIA,7초,최성훈,5 김민식,0-0,투수 희생번트,무사 1루 5:1,1사 2루 5:1,0.3,-0.228,4.9,5.2,-0.003
56,2020-09-29,롯데,7초,최성훈,7 김준태,2-3,중견수 2루타,무사 8:3,1사 8:3,0.1,-0.258,3.0,3.3,-0.003
57,2020-07-28,SK,6말,최성훈,6 채태인,0-0,유격수 땅볼,무사 11:3,1사 11:3,0.1,-0.258,0.9,0.6,-0.003
58,2020-11-04,두산,7말,최성훈,3 오재일,2-0,2루수 땅볼,무사 0:4,1사 0:4,0.11,-0.258,97.2,96.9,-0.003
59,2020-09-07,롯데,5말,최성훈,9 안치홍,2-2,유격수 땅볼,무사 1루 4:10,1사 1루 4:10,0.11,-0.38,98.2,97.9,-0.003
60,2020-06-05,키움,8말,최성훈,9 박준태,2-1,삼진,"2사 1,2루 2:6",이닝종료 2:6,0.09,-0.466,98.8,98.6,-0.002
61,2020-10-03,KT,7말,최성훈,4 강백호,2-1,2루수 병살타,"1사 1,2루 1:7",이닝종료 1:7,0.05,-0.971,99.5,99.2,-0.002
62,2020-06-26,SK,7말,최성훈,2 최지훈,2-3,삼진,2사 2루 0:5,이닝종료 0:5,0.08,-0.344,98.6,98.3,-0.002
63,2020-06-26,SK,7말,최성훈,1 김경호,2-0,김경호/11207 : 삼진 아웃,1사 2루 0:5,2사 2루 0:5,0.08,-0.381,98.8,98.6,-0.002
64,2020-11-04,두산,7말,최성훈,4 김재환,2-2,삼진,1사 0:4,2사 0:4,0.08,-0.18,96.9,96.7,-0.002
65,2020-09-29,롯데,7초,최성훈,8 한동희,0-1,유격수 땅볼,1사 8:3,2사 8:3,0.08,-0.18,3.3,3.5,-0.002
66,2020-07-07,두산,6말,최성훈,4 김재환,1-0,좌익수 뜬공,1사 1루 3:8,2사 2루 3:8,0.12,-0.22899999999999998,97.5,97.4,-0.002
67,2020-07-28,SK,6말,최성훈,7 고종욱,2-1,고종욱/10659 : 삼진 아웃,1사 11:3,2사 11:3,0.06,-0.18,0.6,0.5,-0.002
68,2020-06-07,키움,9말,최성훈,8 허정협,2-1,우익수 파울 뜬공,무사 8:1,1사 8:1,0.03,-0.258,0.1,0.0,-0.001
69,2020-08-11,KIA,8초,최성훈,4 김호령,2-2,유격수 병살타,1사 1루 8:1,이닝종료 8:1,0.02,-0.573,0.4,0.5,-0.001
70,2020-08-11,KIA,7초,최성훈,1 김규성,2-0,좌익수 뜬공,2사 1루 8:1,이닝종료 8:1,0.03,-0.251,0.9,1.0,-0.001
71,2020-06-26,SK,7말,최성훈,9 김성현,0-0,투수 희생번트,무사 1루 0:5,1사 2루 0:5,0.09,-0.228,98.8,98.8,-0.001
72,2020-07-28,SK,6말,최성훈,8 이현석,2-3,이현석/11369 : 삼진 아웃,2사 11:3,이닝종료 11:3,0.02,-0.11699999999999999,0.5,0.4,-0.001
73,2020-08-11,KIA,8초,최성훈,3 최형우,2-2,중견수 뜬공,무사 1루 8:1,1사 1루 8:1,0.03,-0.38,0.3,0.4,-0.001
74,2020-07-24,두산,9말,최성훈,3 오재일,2-1,오재일/10400 : 삼진 아웃,무사 8:0,1사 8:0,0.02,-0.258,0.1,0.0,-0.001
75,2020-07-24,두산,9말,최성훈,5 김재호,0-0,유격수 땅볼,1사 2루 8:0,2사 2루 8:0,0.02,-0.381,0.0,0.0,-0.0
76,2020-08-15,NC,8말,최성훈,5 김준완,0-0,유격수 땅볼,1사 13:4,2사 13:4,0.01,-0.18,0.1,0.0,-0.0
77,2020-06-07,키움,9말,최성훈,9 김규민,1-0,1루수 땅볼,1사 8:1,2사 8:1,0.02,-0.18,0.0,0.0,-0.0
78,2020-07-17,한화,9초,최성훈,3 노태형,1-3,2루수 땅볼,무사 0:8,1사 0:8,0.01,-0.258,100.0,100.0,-0.0
79,2020-06-19,두산,8초,최성훈,8 정수빈,1-1,우익수 뜬공,"2사 1,2루 18:9",이닝종료 18:9,0.01,-0.466,0.1,0.1,-0.0
80,2020-10-16,KIA,9초,최성훈,3 이우성,0-0,유격수 땅볼,무사 0:9,1사 0:9,0.0,-0.258,100.0,100.0,-0.0
81,2020-06-07,키움,9말,최성훈,1 서건창,2-1,2루수 땅볼,2사 8:1,이닝종료 8:1,0.0,-0.11699999999999999,0.0,0.0,-0.0
82,2020-06-19,두산,8초,최성훈,6 국해성,0-1,2루수 뜬공,1사 1루 18:9,2사 1루 18:9,0.0,-0.322,0.1,0.1,-0.0
83,2020-06-19,두산,8초,최성훈,4 김재환,1-1,2루수 땅볼,무사 18:9,1사 18:9,0.0,-0.258,0.1,0.1,-0.0
84,2020-06-19,두산,7초,최성훈,3 김인태,0-0,1루수 땅볼,2사 18:8,이닝종료 18:8,0.0,-0.11699999999999999,0.1,0.1,-0.0
85,2020-07-17,한화,9초,최성훈,4 최진행,1-0,유격수 뜬공,1사 0:8,2사 0:8,0.0,-0.18,100.0,100.0,-0.0
86,2020-08-04,KIA,9말,최성훈,2 최정용,0-0,2루수 땅볼,무사 15:5,1사 15:5,0.0,-0.258,0.0,0.0,-0.0
87,2020-10-16,KIA,9초,최성훈,5 나지완,1-2,중견수 뜬공,1사 1루 0:9,2사 1루 0:9,0.0,-0.322,100.0,100.0,-0.0
88,2020-08-15,NC,8말,최성훈,6 이원재,2-3,2루수 땅볼,2사 13:4,이닝종료 13:4,0.0,-0.11699999999999999,0.0,0.0,0.0
89,2020-10-13,롯데,7말,최성훈,8 강태율,0-2,중견수 뜬공,1사 2루 2:17,2사 2루 2:17,0.0,-0.381,100.0,100.0,0.0
90,2020-10-13,롯데,7말,최성훈,9 김동한,2-3,유격수 땅볼,2사 2루 2:17,이닝종료 2:17,0.0,-0.344,100.0,100.0,0.0
91,2020-10-13,롯데,7말,최성훈,6 김재유,0-2,중견수 뜬공,무사 2:17,1사 2:17,0.0,-0.258,100.0,100.0,0.0
92,2020-10-13,롯데,7말,최성훈,7 한동희,0-2,좌익수 안타,1사 2:17,1사 1루 2:17,0.0,0.276,100.0,100.0,0.0
