,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,고영창,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,0.12,0.03
1,김승범,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,,0.09,0.26,0.003
2,홍정우,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.06,0.09,0.001
3,오승환,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
4,우규민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
5,김윤수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
6,김성민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
7,김현수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
8,이민우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0
9,장지훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.32,-0.12,-0.034
