,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,이대은,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.99,0.46,0.376
1,문경찬,6,5,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.200,0.333,0.800,1.133,1.28,1.32,0.355
2,원종현,2,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,2.76,1.14,0.299
3,서폴드,7,6,3,4,2,0,0,6,2,0,0,0,1,0,0,0,0,0,0.667,0.714,1.000,1.714,1.05,2.82,0.292
4,오승환,3,2,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,2.34,1.01,0.283
5,샘슨,16,12,0,4,2,0,0,6,2,0,0,3,0,0,0,0,1,0,0.333,0.467,0.500,0.967,0.93,2.19,0.282
6,홍상삼,2,1,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.86,1.28,0.230
7,이보근,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.94,0.54,0.200
8,전유수,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.03,0.55,0.187
9,배제성,14,10,3,2,1,0,0,3,1,1,0,4,0,0,1,0,0,0,0.200,0.429,0.300,0.729,1.01,1.43,0.185
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,라이블리,10,7,1,2,0,0,0,2,1,2,0,2,1,0,0,0,0,0,0.286,0.500,0.286,0.786,1.04,0.80,0.140
12,김대우,3,3,2,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.64,1.59,0.137
13,김영규,6,5,0,3,0,0,0,3,1,0,1,1,0,0,1,0,0,0,0.600,0.667,0.600,1.267,0.97,1.28,0.134
14,김민우,6,5,2,2,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0.400,0.500,0.400,0.900,0.94,1.07,0.132
15,이승호,8,7,2,3,1,0,0,4,1,0,0,1,0,0,1,0,0,0,0.429,0.500,0.571,1.071,0.92,1.13,0.127
