,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,이정후,2,1,2,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.06,1.49,0.225
1,변상권,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.94,2.65,0.119
2,최재훈,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.13,0.50,0.105
3,박계범,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.56,0.66,0.098
4,이용규,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.76,0.64,0.087
5,이원석,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.79,-0.11,0.086
6,양의지,2,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.55,1.89,0.077
7,박동원,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.00,1.27,0.064
8,노태형,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.84,0.63,0.059
9,로맥,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.92,1.65,0.054
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,박석민,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,0.64,0.15,0.054
12,반즈,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.68,0.14,0.042
13,구자욱,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.57,0.37,0.034
