,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-25,KIA,6말,장현식,9 김인태,1-3,우익수 홈런,"1사 1,2루 4:3",1사 4:6,3.44,2.326,45.9,83.5,0.376
1,2020-05-10,KT,11말,이대은,1 김인태,1-3,2루수 땅볼 실책[실책포함],"1사 1,2루 12:12","1사 1,2루 12:13",4.3,1.0,70.8,100.0,0.292
2,2020-10-11,KT,5초,데스파이네,6 김인태,0-2,우익수 안타,"2사 2,3루 2:3",2사 2루 4:3,2.88,1.71,62.5,37.6,0.25
3,2020-09-20,LG,8말,정우영,3 김인태,0-3,볼넷,1사 만루 5:3,1사 만루 5:4,6.01,1.0,37.2,55.5,0.183
4,2020-11-09,KT,9초,조현우,9 김인태,0-1,우익수 안타,1사 3루 2:2,1사 1루 3:2,4.44,0.59,32.8,16.1,0.16699999999999998
5,2020-08-06,삼성,1말,라이블리,8 김인태,1-1,우익수 안타,2사 만루 1:2,"2사 1,2루 1:4",2.42,1.651,66.6,80.5,0.139
6,2020-08-02,NC,5초,최성영,8 김인태,0-0,좌익수 2루타,1사 1루 1:1,"1사 2,3루 1:1",1.59,0.894,49.7,38.4,0.113
7,2020-07-26,LG,9말,고우석,9 김인태,2-3,우익수 2루타,무사 4:2,무사 2루 4:2,1.83,0.634,9.1,19.8,0.107
8,2020-09-13,키움,9초,조상우,8 김인태,1-3,볼넷,"2사 1,2루 5:6",2사 만루 5:6,5.46,0.349,85.9,76.9,0.091
9,2020-08-01,NC,10초,원종현,2 김인태,1-0,중견수 2루타,2사 3루 9:8,2사 2루 10:8,1.16,0.9570000000000001,16.8,7.8,0.09
10,2020-06-21,LG,2초,이민호,9 김인태,0-2,몸에 맞는 볼,무사 만루 0:0,무사 만루 1:0,2.22,1.0,32.9,24.7,0.08199999999999999
11,2020-05-30,롯데,11말,송승준,4 김인태,2-3,좌익수 안타,무사 4:4,무사 1루 4:4,2.26,0.39799999999999996,63.7,71.1,0.07400000000000001
12,2020-08-16,KT,5말,소형준,1 김인태,2-3,볼넷,무사 1루 4:1,"무사 1,2루 4:1",1.78,0.62,23.1,30.3,0.07200000000000001
13,2020-09-10,KIA,6초,장현식,9 김인태,1-2,우익수 안타,1사 1루 3:2,"1사 1,3루 3:2",1.28,0.67,33.6,26.4,0.07200000000000001
14,2020-08-13,삼성,9초,오승환,9 김인태,2-3,볼넷,1사 2루 2:3,"1사 1,2루 2:3",4.05,0.24600000000000002,77.5,71.9,0.055
15,2020-06-16,삼성,4말,백정현,8 김인태,2-3,볼넷,"1사 1,2루 0:1",1사 만루 0:1,1.78,0.679,72.2,77.5,0.053
16,2020-05-19,NC,8말,배재환,9 김인태,1-3,볼넷,무사 5:2,무사 1루 5:2,1.05,0.39799999999999996,8.4,13.4,0.049
17,2020-09-20,LG,7말,진해수,3 김인태,2-3,볼넷,무사 5:2,무사 1루 5:2,1.07,0.39799999999999996,12.4,17.3,0.049
18,2020-08-14,KT,10말,유원상,9 김인태,1-3,볼넷,2사 1루 3:3,"2사 1,2루 3:3",2.3,0.215,56.4,61.2,0.048
19,2020-06-21,LG,6초,여건욱,9 김인태,0-1,중견수 2루타,무사 2:0,무사 2루 2:0,0.66,0.634,21.7,17.0,0.047
20,2020-06-26,NC,5말,이재학,8 김인태,0-3,볼넷,무사 1:1,무사 1루 1:1,1.17,0.39799999999999996,56.6,61.2,0.046
21,2020-08-19,롯데,5초,샘슨,7 김인태,2-1,우익수 안타,1사 0:1,1사 1루 0:1,0.91,0.276,67.3,63.7,0.036000000000000004
22,2020-08-20,롯데,4말,박세웅,7 김인태,2-3,볼넷,1사 2:0,1사 1루 2:0,0.8,0.276,27.7,31.0,0.032
23,2020-05-30,롯데,8말,박시영,4 김인태,2-3,볼넷,"2사 1,3루 3:3",2사 만루 3:3,3.85,0.27699999999999997,60.7,63.4,0.027000000000000003
24,2020-06-25,SK,5초,문승원,8 김인태,1-1,좌익수 안타,1사 0:3,1사 1루 0:3,0.61,0.276,86.3,83.7,0.026000000000000002
25,2020-08-30,LG,8초,송은범,7 김인태,1-1,우익수 안타,1사 0:3,1사 1루 0:3,0.54,0.276,95.3,92.8,0.026000000000000002
26,2020-08-20,롯데,2말,박세웅,7 김인태,2-3,볼넷,1사 0:0,1사 1루 0:0,0.67,0.276,52.8,55.3,0.026000000000000002
27,2020-09-29,한화,6초,윤대경,김인태,,*폭투,1사 만루 4:3,"1사 2,3루 5:3",1.38,0.272,19.1,16.6,0.024
28,2020-07-30,키움,6말,양현,8 김인태,2-3,볼넷,2사 7:5,2사 1루 7:5,0.58,0.134,19.6,21.6,0.02
29,2020-06-21,LG,4초,이민호,9 김인태,0-1,몸에 맞는 볼,1사 2:0,1사 1루 2:0,0.51,0.276,28.5,26.6,0.019
30,2020-09-29,한화,6초,김진영,1 김인태,2-3,볼넷,1사 2루 4:3,"1사 1,2루 4:3",1.36,0.24600000000000002,31.6,29.8,0.017
31,2020-06-21,LG,2초,이민호,김인태,,*폭투,"1사 1,2루 2:0","1사 2,3루 2:0",1.42,0.22399999999999998,24.8,23.3,0.015
32,2020-09-24,삼성,8말,이승현,5 김인태,2-3,볼넷,"2사 1,2루 0:1",2사 만루 0:1,1.01,0.349,86.4,87.8,0.013999999999999999
33,2020-09-20,LG,7말,진해수,김인태,,*폭투,1사 1루 5:2,1사 2루 5:2,1.42,0.152,12.8,14.1,0.013000000000000001
34,2020-06-25,SK,2초,문승원,8 김인태,2-0,좌익수 안타,2사 0:0,2사 1루 0:0,0.42,0.134,54.0,52.7,0.013000000000000001
35,2020-08-27,NC,7초,홍성민,8 김인태,2-1,중견수 2루타,무사 2:8,무사 2루 2:8,0.2,0.634,98.4,97.2,0.012
36,2020-09-09,KT,9말,김재윤,9 김인태,2-3,볼넷,1사 2루 2:2,"1사 1,2루 2:2",3.17,0.24600000000000002,69.8,70.8,0.01
37,2020-06-21,LG,7초,김대현,9 김인태,2-3,볼넷,2사 1루 3:0,"2사 1,2루 3:0",0.34,0.215,11.4,10.6,0.008
38,2020-06-04,KT,4초,류희운,9 김인태,1-3,볼넷,무사 8:1,무사 1루 8:1,0.09,0.39799999999999996,2.8,2.5,0.003
39,2020-06-02,KT,9초,유원상,7 김인태,2-3,볼넷,무사 11:7,무사 1루 11:7,0.06,0.39799999999999996,1.4,1.2,0.002
40,2020-06-02,KT,7초,김민수,7 김인태,2-3,볼넷,무사 10:4,무사 1루 10:4,0.06,0.39799999999999996,1.6,1.4,0.002
41,2020-08-12,삼성,9초,임현준,4 김인태,0-3,중견수 희생플라이,1사 만루 13:8,"2사 1,2루 14:8",0.07,-0.184,0.4,0.3,0.001
42,2020-09-04,삼성,8초,심창민,4 김인태,1-1,우익수 안타,2사 만루 1:11,2사 만루 2:11,0.02,1.0,100.0,99.9,0.001
