,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-21,NC,5말,이재학,5 오재원,0-0,우익수 안타[실책포함],"2사 1,2루 1:1",2사 2루 1:3,2.23,1.8780000000000001,55.7,80.6,0.249
1,2020-05-23,삼성,5초,황동재,5 오재원,0-0,우익수 홈런,1사 만루 2:1,1사 6:1,2.56,2.647,26.1,6.6,0.195
2,2020-11-05,LG,2초,윌슨,8 오재원,1-0,좌익수 2루타,2사 2루 0:0,2사 2루 1:0,1.2,1.0,51.7,41.0,0.10800000000000001
3,2020-10-30,키움,2말,요키시,9 오재원,1-1,중견수 2루타,1사 1루 0:1,1사 2루 0:2,1.04,1.1520000000000001,65.9,76.4,0.10400000000000001
4,2020-07-05,한화,7말,김종수,6 오재원,1-2,중견수 2루타,2사 2루 4:5,2사 2루 4:6,1.1,1.0,77.9,88.3,0.10400000000000001
5,2020-07-25,LG,2말,켈리,7 오재원,2-1,중견수 안타,1사 1루 1:1,"1사 2,3루 1:1",1.22,0.894,55.3,64.1,0.08800000000000001
6,2020-07-02,키움,1초,조영건,7 오재원,1-3,볼넷,2사 만루 1:0,2사 만루 2:0,2.54,1.0,38.1,29.4,0.087
7,2020-06-04,KT,3초,김민,6 오재원,0-1,우익수 홈런,"1사 1,2루 5:1",1사 8:1,0.8,2.326,12.2,4.0,0.083
8,2020-09-13,키움,10초,김성민,2 오재원,2-3,볼넷,무사 6:6,무사 1루 6:6,2.32,0.39799999999999996,50.0,41.8,0.08199999999999999
9,2020-08-13,삼성,7초,우규민,8 오재원,2-3,볼넷,무사 2:3,무사 1루 2:3,1.73,0.39799999999999996,69.6,62.5,0.07
10,2020-07-11,롯데,6초,박세웅,6 오재원,1-3,중견수 안타,무사 1루 2:5,"무사 1,2루 2:5",1.65,0.62,82.6,75.7,0.069
11,2020-11-04,LG,4말,이민호,9 오재원,1-0,우익수 2루타,"1사 1,3루 0:2","1사 2,3루 0:3",1.27,1.224,83.5,90.3,0.068
12,2020-11-20,NC,7말,임정호,오재원,,*폭투,무사 2루 6:6,무사 3루 6:6,1.86,0.293,69.7,76.3,0.066
13,2020-05-12,롯데,7초,구승민,5 오재원,1-2,우익수 홈런,무사 1루 8:5,무사 10:5,0.55,1.6019999999999999,9.0,3.0,0.059000000000000004
14,2020-05-30,롯데,10말,구승민,2 오재원,0-1,중견수 안타,1사 4:4,1사 1루 4:4,1.8,0.276,58.0,63.5,0.055
15,2020-11-20,NC,7말,임정호,오재원,,*도루(오재원/10178),무사 1루 6:6,무사 2루 6:6,2.33,0.23600000000000002,64.4,69.7,0.053
16,2020-11-05,LG,4초,진해수,8 오재원,0-1,좌익수 안타,"1사 1,3루 2:0","1사 1,2루 3:0",1.46,0.728,21.4,16.2,0.052000000000000005
17,2020-05-19,NC,9말,원종현,9 오재원,1-2,좌익수 안타,2사 5:4,2사 1루 5:4,1.81,0.134,4.7,9.8,0.051
18,2020-07-21,키움,6말,요키시,8 오재원,1-3,좌익수 안타,무사 0:0,무사 1루 0:0,1.32,0.39799999999999996,57.5,62.6,0.051
19,2020-07-01,키움,1초,한현희,7 오재원,1-3,중견수 2루타,"무사 1,3루 4:0",무사 2루 6:0,0.64,1.285,11.1,6.6,0.045
