,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-07,KIA,9초,윤명준,8 유민상,2-2,중견수 뜬공,무사 1루 2:3,2사 2:3,4.61,-0.836,72.3,96.4,-0.24100000000000002
1,2020-08-25,KIA,8초,윤명준,4 나지완,2-1,나지완/10030 : 삼진 아웃,2사 만루 8:8,이닝종료 8:8,5.64,-0.815,46.6,60.7,-0.141
2,2020-06-14,한화,7말,윤명준,1 이용규,1-0,우익수 뜬공,1사 2루 2:3,이닝종료 2:3,1.05,-0.725,80.9,74.8,-0.061
3,2020-05-10,KT,7초,윤명준,2 오태곤,2-2,오태곤/10249 : 삼진 아웃,1사 만루 6:10,2사 만루 6:10,2.6,-0.835,85.7,91.7,-0.06
4,2020-05-20,NC,10초,윤명준,7 이상호,1-1,중견수 뜬공,무사 1:1,1사 1:1,2.32,-0.258,50.0,55.9,-0.059000000000000004
5,2020-05-30,롯데,9초,윤명준,8 정보근,2-3,중견수 뜬공,무사 3:3,1사 3:3,2.32,-0.258,50.0,55.9,-0.059000000000000004
6,2020-05-10,KT,7초,윤명준,3 강백호,2-0,1루수 땅볼,2사 만루 6:10,이닝종료 6:10,2.09,-0.815,91.7,97.2,-0.054000000000000006
7,2020-05-17,KIA,8말,윤명준,2 김선빈,2-1,3루수 병살타,"무사 1,2루 6:1",2사 2루 6:1,1.23,-1.229,6.6,1.2,-0.054000000000000006
8,2020-05-20,NC,10초,윤명준,8 권희동,1-0,권희동/11172 : 2루수 직선타 아웃,1사 1:1,2사 1:1,1.8,-0.18,55.9,60.4,-0.045
9,2020-06-05,KIA,8초,윤명준,5 나지완,0-1,중견수 뜬공,"무사 1,2루 1:5","1사 1,2루 1:5",1.76,-0.602,89.7,93.9,-0.042
10,2020-05-14,롯데,8말,윤명준,6 마차도,2-0,중견수 희생플라이,"1사 2,3루 7:3",2사 2루 7:4,1.56,-0.12300000000000001,10.1,5.9,-0.042
11,2020-08-06,삼성,6초,윤명준,2 박승규,2-1,유격수 땅볼,2사 2루 2:4,이닝종료 2:4,1.41,-0.344,80.8,84.8,-0.04
12,2020-08-06,삼성,6초,윤명준,1 박해민,2-0,유격수 땅볼,1사 1루 2:4,2사 1루 2:4,1.64,-0.322,77.8,81.8,-0.04
13,2020-05-21,NC,8초,윤명준,4 양의지,1-1,우익수 뜬공,무사 2:4,1사 2:4,1.45,-0.258,86.6,90.3,-0.037000000000000005
14,2020-05-29,롯데,8초,윤명준,6 한동희,2-2,한동희/13145 : 삼진 아웃,무사 2:4,1사 2:4,1.45,-0.258,86.6,90.3,-0.037000000000000005
15,2020-07-16,SK,8초,윤명준,4 한동민,1-2,중견수 뜬공,무사 2:4,1사 2:4,1.45,-0.258,86.6,90.3,-0.037000000000000005
16,2020-06-07,KIA,9초,윤명준,9 박찬호,2-0,박찬호/11261 : 삼진 아웃,2사 2:3,이닝종료 2:3,1.41,-0.11699999999999999,96.4,100.0,-0.036000000000000004
17,2020-08-06,삼성,7초,윤명준,3 구자욱,1-2,유격수 뜬공,무사 2:4,1사 2:4,1.34,-0.258,81.9,85.3,-0.034
18,2020-05-20,NC,10초,윤명준,9 이명기,2-2,2루수 땅볼,2사 1:1,이닝종료 1:1,1.32,-0.11699999999999999,60.4,63.7,-0.034
19,2020-08-06,삼성,6초,윤명준,8 김지찬,0-0,유격수 땅볼,무사 2:4,1사 2:4,1.23,-0.258,78.3,81.4,-0.031
20,2020-08-15,KT,6초,윤명준,5 황재균,1-1,좌익수 뜬공,무사 1:3,1사 1:3,1.23,-0.258,78.3,81.4,-0.031
21,2020-11-21,NC,7초,윤명준,2 김성욱,2-3,2루수 뜬공,"2사 1,2루 2:0",이닝종료 2:0,1.14,-0.466,18.6,21.5,-0.028999999999999998
22,2020-05-22,삼성,8말,윤명준,8 김응민,2-2,김응민/10890 : 3루수 직선타 아웃,"무사 1,2루 9:4","1사 1,2루 9:4",1.23,-0.602,6.6,3.7,-0.028999999999999998
23,2020-08-14,KT,9초,윤명준,1 배정대,1-1,2루수 땅볼,2사 2루 3:2,이닝종료 3:2,0.98,-0.344,17.2,20.0,-0.027999999999999997
24,2020-05-12,롯데,6말,윤명준,1 민병헌,2-2,삼진,무사 7:4,1사 7:4,1.05,-0.258,15.8,13.1,-0.027000000000000003
25,2020-05-14,롯데,8말,윤명준,7 한동희,2-2,한동희/13145 : 삼진 아웃,2사 2루 7:4,이닝종료 7:4,0.91,-0.344,5.9,3.3,-0.026000000000000002
26,2020-05-21,NC,8초,윤명준,5 권희동,2-0,권희동/11172 : 삼진 아웃,1사 2:4,2사 2:4,0.97,-0.18,90.3,92.7,-0.024
27,2020-05-29,롯데,8초,윤명준,7 김준태,2-2,김준태/10835 : 우익수 직선타 아웃,1사 2:4,2사 2:4,0.97,-0.18,90.3,92.7,-0.024
28,2020-05-12,롯데,6말,윤명준,3 손아섭,0-1,투수 땅볼,1사 7:5,2사 7:5,0.96,-0.18,22.0,19.6,-0.024
29,2020-05-14,롯데,9말,윤명준,8 추재현,2-2,중견수 뜬공,무사 7:4,1사 7:4,0.91,-0.258,4.1,1.8,-0.023
30,2020-06-17,삼성,8초,윤명준,5 이학주,0-0,2루수 땅볼,무사 4:3,1사 4:3,0.9,-0.258,25.2,27.5,-0.023
31,2020-08-06,삼성,7초,윤명준,4 김헌곤,2-0,삼진,1사 2:4,2사 2:4,0.91,-0.18,85.3,87.6,-0.023
32,2020-08-14,KT,9초,윤명준,7 김민혁,0-0,좌익수 뜬공,무사 3:2,1사 3:2,0.66,-0.258,16.2,17.9,-0.017
33,2020-05-14,롯데,9말,윤명준,2 전준우,1-1,우익수 뜬공,2사 2루 7:4,이닝종료 7:4,0.56,-0.344,1.6,0.0,-0.016
34,2020-08-30,LG,7말,윤명준,5 이형종,2-2,유격수 땅볼,2사 만루 0:3,이닝종료 0:3,0.65,-0.815,94.7,93.1,-0.016
35,2020-08-30,LG,7말,윤명준,2 양석환,2-1,삼진,1사 3루 0:3,2사 3루 0:3,0.38,-0.596,95.7,94.1,-0.016
36,2020-05-12,롯데,7말,윤명준,7 마차도,2-2,마차도/14629 : 삼진 아웃,1사 2루 10:5,2사 2루 10:5,0.54,-0.381,4.2,2.7,-0.015
37,2020-05-26,SK,7초,윤명준,8 이홍구,1-1,좌익수 뜬공,무사 3:1,1사 3:1,0.6,-0.258,18.1,19.6,-0.015
38,2020-06-12,한화,9말,윤명준,9 조한민,0-2,유격수 땅볼,2사 1루 5:2,이닝종료 5:2,0.5,-0.251,1.5,0.0,-0.015
39,2020-05-12,롯데,6말,윤명준,4 신본기,2-2,1루수 뜬공,2사 7:5,이닝종료 7:5,0.58,-0.11699999999999999,19.6,18.1,-0.015
40,2020-05-12,롯데,7말,윤명준,6 정훈,1-0,1루수 땅볼,무사 1루 10:5,1사 2루 10:5,0.81,-0.228,5.6,4.2,-0.013999999999999999
41,2020-05-29,롯데,8초,윤명준,8 추재현,2-1,추재현/13094 : 삼진 아웃,2사 2:4,이닝종료 2:4,0.51,-0.11699999999999999,92.7,94.0,-0.013999999999999999
42,2020-05-14,롯데,9말,윤명준,9 김준태,2-2,2루수 땅볼,1사 7:4,2사 7:4,0.5,-0.18,1.8,0.5,-0.013000000000000001
43,2020-05-10,KT,8초,윤명준,4 유한준,2-2,유한준/10627 : 삼진 아웃,무사 6:10,1사 6:10,0.49,-0.258,96.5,97.8,-0.013000000000000001
44,2020-08-07,롯데,8초,윤명준,7 안치홍,0-1,중견수 뜬공,"2사 1,2루 7:4",이닝종료 7:4,0.5,-0.466,7.1,8.4,-0.013000000000000001
45,2020-09-16,NC,8초,윤명준,5 도태훈,0-0,2루수 땅볼,무사 5:3,1사 5:3,0.49,-0.258,13.4,14.6,-0.013000000000000001
46,2020-08-14,KT,9초,윤명준,8 박경수,2-2,유격수 땅볼,1사 3:2,2사 3:2,0.5,-0.18,17.9,19.1,-0.012
47,2020-05-26,SK,7초,윤명준,9 김성현,1-1,우익수 뜬공,1사 3:1,2사 3:1,0.45,-0.18,19.6,20.7,-0.011000000000000001
48,2020-08-22,SK,7말,윤명준,2 고종욱,2-2,3루수 땅볼,1사 1루 5:0,2사 2루 5:0,0.53,-0.22899999999999998,3.8,2.7,-0.011000000000000001
49,2020-10-10,KT,9말,윤명준,2 김병희,2-1,우익수 희생플라이,1사 만루 13:7,"2사 1,2루 13:8",0.55,-0.184,1.6,0.5,-0.011000000000000001
50,2020-06-14,한화,7말,윤명준,9 박한결,0-2,투수 희생번트,무사 1루 2:3,1사 2루 2:3,1.15,-0.228,81.9,80.9,-0.011000000000000001
51,2020-08-22,SK,7말,윤명준,9 김성현,0-0,유격수 땅볼,무사 5:0,1사 5:0,0.41,-0.258,3.7,2.6,-0.011000000000000001
52,2020-09-23,한화,8말,윤명준,2 임종찬,2-2,임종찬/14706 : 삼진 아웃,2사 2루 4:6,이닝종료 4:6,0.36,-0.344,93.7,92.6,-0.01
53,2020-05-12,롯데,7말,윤명준,8 한동희,0-0,우익수 뜬공,2사 2루 10:5,이닝종료 10:5,0.34,-0.344,2.7,1.7,-0.01
54,2020-08-22,SK,7말,윤명준,3 최정,2-1,최정/10106 : 삼진 아웃,2사 2루 5:0,이닝종료 5:0,0.34,-0.344,2.7,1.7,-0.01
55,2020-09-23,한화,8말,윤명준,1 정진호,2-1,정진호/10645 : 삼진 아웃,1사 2루 4:6,2사 2루 4:6,0.33,-0.381,94.6,93.7,-0.01
56,2020-08-12,삼성,6말,윤명준,7 김지찬,0-0,좌익수 뜬공,무사 2루 11:4,1사 2루 11:4,0.33,-0.46399999999999997,2.8,1.9,-0.009000000000000001
57,2020-09-16,NC,8초,윤명준,6 강진성,0-1,우익수 뜬공,1사 5:3,2사 5:3,0.38,-0.18,14.6,15.6,-0.009000000000000001
58,2020-05-07,LG,8말,윤명준,2 정주현,0-0,중견수 뜬공,무사 8:3,1사 8:3,0.33,-0.258,2.1,1.2,-0.008
59,2020-08-30,LG,6말,윤명준,8 오지환,0-1,1루수 땅볼,2사 1루 0:3,이닝종료 0:3,0.29,-0.251,90.5,89.7,-0.008
60,2020-05-26,SK,7초,윤명준,1 노수광,0-1,우익수 뜬공,2사 3:1,이닝종료 3:1,0.31,-0.11699999999999999,20.7,21.5,-0.008
61,2020-05-10,KT,8초,윤명준,5 로하스,0-0,중견수 뜬공,1사 6:10,2사 6:10,0.28,-0.18,97.8,98.5,-0.006999999999999999
62,2020-07-11,롯데,8말,윤명준,김동한,,*도루실패(김동한/10734),무사 1루 2:5,1사 2:5,0.17,-0.6559999999999999,97.7,97.1,-0.006999999999999999
63,2020-09-16,NC,8초,윤명준,7 노진혁,0-0,2루수 땅볼,2사 5:3,이닝종료 5:3,0.26,-0.11699999999999999,15.6,16.2,-0.006999999999999999
64,2020-07-02,키움,8말,윤명준,9 허정협,0-1,2루수 병살타,1사 1루 7:10,이닝종료 7:10,0.15,-0.573,97.4,96.7,-0.006999999999999999
65,2020-08-12,삼성,6말,윤명준,8 박계범,2-1,3루수 땅볼,1사 2루 11:4,2사 2루 11:4,0.23,-0.381,1.9,1.2,-0.006999999999999999
66,2020-07-04,한화,6초,윤명준,2 정은원,2-1,2루수 땅볼,2사 2루 6:1,이닝종료 6:1,0.22,-0.344,4.8,5.4,-0.006
67,2020-06-11,NC,8말,윤명준,8 김태군,1-1,우익수 뜬공,무사 5:7,1사 5:7,0.23,-0.258,94.0,93.4,-0.006
68,2020-09-19,LG,9초,윤명준,2 오지환,2-2,유격수 뜬공,2사 2루 9:6,이닝종료 9:6,0.2,-0.344,3.5,4.1,-0.006
69,2020-06-04,KT,9말,윤명준,5 송민섭,0-1,중견수 희생플라이,"무사 2,3루 14:7",1사 2루 14:8,0.22,-0.327,0.9,0.3,-0.005
70,2020-07-04,한화,5초,윤명준,5 최재훈,2-2,최재훈/10170 : 삼진 아웃,무사 6:1,1사 6:1,0.2,-0.258,6.1,6.6,-0.005
71,2020-10-10,KT,9말,윤명준,3 로하스,2-3,중견수 뜬공,"2사 1,2루 13:8",이닝종료 13:8,0.17,-0.466,0.5,0.0,-0.005
72,2020-06-11,NC,8말,윤명준,9 김태진,1-0,좌익수 뜬공,1사 5:7,2사 5:7,0.18,-0.18,93.4,93.0,-0.005
73,2020-05-07,LG,8말,윤명준,3 김현수,2-1,3루수 땅볼,1사 8:3,2사 8:3,0.17,-0.18,1.2,0.8,-0.004
74,2020-06-04,KT,9말,윤명준,7 황재균,1-1,황재균/10407 : 중견수 직선타 아웃,"1사 1,2루 14:8","2사 1,2루 14:8",0.22,-0.505,0.6,0.2,-0.004
75,2020-08-12,삼성,6말,윤명준,9 이성규,0-1,우익수 뜬공,2사 2루 11:4,이닝종료 11:4,0.14,-0.344,1.2,0.8,-0.004
76,2020-07-02,키움,7말,윤명준,5 박동원,2-2,1루수 땅볼,1사 7:10,2사 7:10,0.16,-0.18,93.8,93.4,-0.004
77,2020-06-02,KT,8말,윤명준,4 로하스,1-1,좌익수 뜬공,무사 1루 11:4,1사 1루 11:4,0.17,-0.38,0.8,0.5,-0.004
78,2020-07-04,한화,6초,윤명준,8 송광민,0-1,유격수 땅볼,무사 6:1,1사 6:1,0.15,-0.258,4.5,4.9,-0.004
79,2020-07-04,한화,5초,윤명준,6 오선진,0-0,좌익수 뜬공,1사 6:1,2사 6:1,0.14,-0.18,6.6,6.9,-0.004
80,2020-07-08,LG,9초,윤명준,1 이천웅,1-0,2루수 땅볼,무사 6:3,1사 6:3,0.13,-0.258,3.3,3.6,-0.003
81,2020-06-11,NC,8말,윤명준,1 박민우,1-0,좌익수 뜬공,2사 5:7,이닝종료 5:7,0.12,-0.11699999999999999,93.0,92.6,-0.003
82,2020-09-23,한화,8말,윤명준,9 오선진,0-0,포수 희생번트,무사 1루 4:6,1사 2루 4:6,0.36,-0.228,94.9,94.6,-0.003
83,2020-11-23,NC,7말,윤명준,4 양의지,0-1,1루수 뜬공,"2사 1,3루 0:5",이닝종료 0:5,0.11,-0.5379999999999999,98.6,98.3,-0.003
84,2020-07-02,키움,7말,윤명준,6 이지영,0-0,중견수 뜬공,2사 7:10,이닝종료 7:10,0.11,-0.11699999999999999,93.4,93.1,-0.003
85,2020-07-04,한화,6초,윤명준,9 장운호,2-0,장운호/11122 : 삼진 아웃,1사 6:1,2사 6:1,0.12,-0.18,4.9,5.2,-0.003
86,2020-08-30,LG,7말,윤명준,1 홍창기,0-0,투수 희생번트,무사 1루 0:3,1사 2루 0:3,0.33,-0.228,95.1,94.8,-0.003
87,2020-07-02,키움,8말,윤명준,7 김혜성,2-1,김혜성/12905 : 삼진 아웃,무사 7:10,1사 7:10,0.11,-0.258,97.3,97.1,-0.003
88,2020-08-23,SK,8말,윤명준,9 김성민,1-1,3루수 땅볼,"2사 1,2루 8:1",이닝종료 8:1,0.1,-0.466,0.4,0.1,-0.003
89,2020-07-04,한화,5초,윤명준,7 정진호,0-1,좌익수 뜬공,2사 6:1,이닝종료 6:1,0.09,-0.11699999999999999,6.9,7.2,-0.003
90,2020-09-04,삼성,4말,윤명준,9 이성규,2-2,2루수 땅볼,2사 만루 1:9,이닝종료 1:9,0.1,-0.815,99.1,98.8,-0.003
91,2020-06-02,KT,8말,윤명준,5 강현우,2-3,중견수 뜬공,1사 1루 11:4,2사 1루 11:4,0.09,-0.322,0.5,0.2,-0.002
92,2020-07-11,롯데,8말,윤명준,7 안치홍,2-2,1루수 땅볼,1사 2:5,2사 2:5,0.08,-0.18,97.1,96.9,-0.002
93,2020-08-23,SK,8말,윤명준,5 로맥,2-2,2루수 뜬공,무사 8:1,1사 8:1,0.08,-0.258,0.5,0.2,-0.002
94,2020-06-04,KT,9말,윤명준,8 문상철,1-0,유격수 땅볼,"2사 1,2루 14:8",이닝종료 14:8,0.06,-0.466,0.2,0.0,-0.002
95,2020-05-07,LG,8말,윤명준,4 라모스,2-2,좌익수 뜬공,2사 8:3,이닝종료 8:3,0.07,-0.11699999999999999,0.8,0.6,-0.002
96,2020-10-10,KT,9말,윤명준,7 김민혁,1-1,2루수 땅볼,무사 1루 13:6,1사 2루 13:6,0.08,-0.228,0.3,0.1,-0.002
97,2020-07-11,롯데,8말,윤명준,8 마차도,1-2,중견수 뜬공,2사 2:5,이닝종료 2:5,0.06,-0.11699999999999999,96.9,96.7,-0.002
98,2020-08-28,NC,8말,윤명준,6 박준영,0-0,중견수 뜬공,"2사 1,2루 11:3",이닝종료 11:3,0.04,-0.466,0.2,0.0,-0.001
99,2020-08-28,NC,8말,윤명준,4 김형준,1-1,좌익수 뜬공,1사 1루 11:3,2사 1루 11:3,0.04,-0.322,0.2,0.1,-0.001
100,2020-08-23,SK,8말,윤명준,6 화이트,2-2,화이트/14744 : 3루수 직선타 아웃,1사 8:1,2사 8:1,0.04,-0.18,0.2,0.1,-0.001
101,2020-09-04,삼성,5말,윤명준,5 이원석,1-1,투수 땅볼,"2사 1,2루 1:9",이닝종료 1:9,0.03,-0.466,99.4,99.3,-0.001
102,2020-08-12,삼성,7말,윤명준,1 박해민,2-2,좌익수 뜬공,무사 13:4,1사 13:4,0.04,-0.258,0.2,0.2,-0.001
103,2020-09-30,한화,7말,윤명준,4 반즈,2-2,반즈/14741 : 삼진 아웃,무사 1루 0:6,1사 1루 0:6,0.04,-0.38,99.5,99.4,-0.001
104,2020-07-08,LG,9초,윤명준,6 오지환,2-2,3루수 땅볼,2사 1루 8:3,이닝종료 8:3,0.02,-0.251,0.7,0.8,-0.001
105,2020-06-28,NC,9초,윤명준,2 권희동,1-2,우익수 뜬공,무사 5:0,1사 5:0,0.02,-0.258,0.6,0.7,-0.001
106,2020-09-04,삼성,5말,윤명준,3 구자욱,2-3,구자욱/10892 : 삼진 아웃,1사 1루 1:9,2사 1루 1:9,0.02,-0.322,99.4,99.3,-0.001
107,2020-06-28,NC,9초,윤명준,3 이상호,1-0,유격수 땅볼,1사 5:0,2사 5:0,0.02,-0.18,0.7,0.7,-0.001
108,2020-07-08,LG,9초,윤명준,4 라모스,0-2,2루수 땅볼,1사 8:3,2사 8:3,0.02,-0.18,0.7,0.7,-0.001
109,2020-08-28,NC,8말,윤명준,1 김성욱,1-3,3루수 땅볼,무사 11:2,1사 11:2,0.01,-0.258,0.1,0.1,-0.001
110,2020-09-04,삼성,5말,윤명준,1 박해민,1-1,유격수 땅볼,무사 1:9,1사 1:9,0.02,-0.258,99.4,99.3,-0.001
111,2020-11-23,NC,8말,윤명준,5 강진성,2-1,강진성/11148 : 3루수 직선타 아웃,무사 0:5,1사 0:5,0.02,-0.258,99.5,99.5,-0.001
112,2020-06-28,NC,9초,윤명준,4 양의지,0-1,좌익수 뜬공,2사 5:0,이닝종료 5:0,0.02,-0.11699999999999999,0.7,0.8,-0.0
113,2020-11-23,NC,8말,윤명준,6 노진혁,2-1,노진혁/11165 : 삼진 아웃,1사 0:5,2사 0:5,0.02,-0.18,99.5,99.4,-0.0
114,2020-11-23,NC,8말,윤명준,7 박석민,2-1,2루수 땅볼,2사 0:5,이닝종료 0:5,0.01,-0.11699999999999999,99.4,99.4,-0.0
115,2020-07-01,키움,8말,윤명준,7 김혜성,1-0,2루수 땅볼,1사 14:1,2사 14:1,0.0,-0.18,0.0,0.0,-0.0
116,2020-07-01,키움,8말,윤명준,8 김규민,1-0,좌익수 뜬공,2사 14:1,이닝종료 14:1,0.0,-0.11699999999999999,0.0,0.0,0.0
117,2020-07-01,키움,8말,윤명준,6 김하성,2-0,2루수 땅볼,무사 14:1,1사 14:1,0.0,-0.258,0.0,0.0,0.0
