,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,노진혁,2,1,0,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5.47,2.82,0.368
1,민병헌,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2.26,1.00,0.363
2,강현우,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3.66,1.00,0.362
3,황재균,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.41,1.00,0.360
4,안치홍,2,2,0,2,1,0,0,3,3,1,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.88,2.77,0.346
5,권희동,3,2,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0.500,0.667,0.500,1.167,3.23,1.54,0.232
6,나성범,3,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.47,0.13,0.207
7,이대호,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,5.95,1.00,0.185
8,박석민,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.41,0.96,0.182
9,양의지,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.59,1.41,0.141
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,심우준,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.15,1.42,0.091
12,최정,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.25,1.50,0.089
13,강백호,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.50,1.00,0.089
14,러셀,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.70,1.32,0.071
15,알테어,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,0.79,0.73,0.070
16,정의윤,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.10,1.72,0.066
17,마차도,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.000,0.667,0.000,0.667,0.85,-0.18,0.062
18,조용호,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.28,0.060
19,박준태,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.99,0.62,0.034
20,유강남,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.23,0.82,0.027
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,허정협,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.66,0.40,0.024
23,강민호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.20,0.02,0.013
24,박찬호,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.50,-0.19,0.011
25,이성규,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.10,0.59,0.011
26,한승택,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.34,0.18,0.007
27,신민재,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.08,0.31,0.006
28,백용환,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.18,0.28,0.006
29,서건창,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1.11,-0.11,0.004
30,박계범,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.04,0.22,0.004
31,정진호,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.05,0.43,0.003
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
