,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-05-10,KT,3말,김민,4 김재환,1-1,우익수 홈런,1사 만루 3:0,1사 3:4,3.06,2.647,34.2,65.0,0.308
1,2020-09-24,삼성,8말,임현준,4 김재환,1-0,중견수 안타,"2사 1,3루 0:0","2사 1,2루 0:1",3.85,0.9279999999999999,60.7,86.4,0.257
2,2020-11-09,KT,8초,김재윤,4 김재환,2-2,우익수 안타,"2사 1,3루 0:0","2사 1,3루 1:0",3.88,1.0,49.9,25.2,0.248
3,2020-10-10,KT,3초,쿠에바스,4 김재환,1-0,우익수 홈런,"1사 1,2루 2:2",1사 5:2,2.2,2.326,45.7,21.5,0.243
4,2020-07-28,키움,5말,요키시,4 김재환,2-2,좌익수 홈런,1사 1루 0:0,1사 0:2,1.56,1.724,56.9,80.1,0.23199999999999998
5,2020-09-20,LG,8말,고우석,4 김재환,2-3,볼넷,1사 만루 5:4,1사 만루 5:5,6.54,1.0,55.5,77.5,0.22
6,2020-06-25,SK,1초,박종훈,4 김재환,0-0,우익수 홈런,"1사 1,2루 0:0",1사 3:0,1.93,2.326,46.2,24.6,0.21600000000000003
7,2020-10-29,KIA,1초,양현종,4 김재환,0-1,우익수 홈런,"1사 1,2루 0:0",1사 3:0,1.93,2.326,46.2,24.6,0.21600000000000003
8,2020-10-16,키움,7초,안우진,4 김재환,1-3,좌익수 홈런,2사 1루 2:1,2사 4:1,0.93,1.8659999999999999,33.4,11.9,0.215
9,2020-06-27,NC,1말,최성영,4 김재환,1-3,중견수 홈런,2사 1루 0:0,2사 0:2,0.79,1.8659999999999999,52.2,70.9,0.18600000000000003
10,2020-06-04,KT,1초,김민,4 김재환,0-0,우익수 홈런,2사 1루 0:0,2사 2:0,0.79,1.8659999999999999,52.6,34.0,0.18600000000000003
11,2020-05-13,롯데,1초,서준원,4 김재환,2-2,우익수 홈런,2사 1루 0:0,2사 2:0,0.79,1.8659999999999999,52.6,34.0,0.18600000000000003
12,2020-09-20,LG,3말,이우찬,4 김재환,0-1,좌익수 홈런,1사 2루 3:0,1사 3:2,1.26,1.5719999999999998,24.8,40.7,0.159
13,2020-06-09,NC,4초,최성영,4 김재환,0-0,좌익수 홈런,무사 1루 0:3,무사 2:3,1.51,1.6019999999999999,78.0,62.5,0.155
14,2020-06-02,KT,1초,데스파이네,4 김재환,0-2,우익수 홈런,1사 1루 1:0,1사 3:0,1.05,1.724,40.0,24.6,0.154
15,2020-08-25,KIA,7말,고영창,6 김재환,0-1,중견수 홈런,1사 1루 5:6,1사 5:8,0.99,1.724,79.2,93.8,0.146
16,2020-06-13,한화,5초,김범수,5 김재환,2-0,중견수 홈런,무사 4:4,무사 5:4,1.19,1.0,50.0,35.9,0.141
17,2020-09-23,한화,9초,정우람,4 김재환,0-0,중견수 2루타,1사 1루 4:6,1사 2루 5:6,2.09,1.1520000000000001,91.5,77.5,0.141
18,2020-09-09,KT,6말,데스파이네,4 김재환,0-1,우익수 2루타,1사 1루 2:0,"1사 2,3루 2:0",1.85,0.894,26.0,39.3,0.133
19,2020-09-29,한화,6초,윤대경,4 김재환,2-2,중견수 2루타,"2사 2,3루 5:3",2사 2루 7:3,1.48,1.71,21.1,8.3,0.128
20,2020-06-19,LG,1초,차우찬,4 김재환,1-2,우익수 안타,무사 만루 0:0,"무사 1,3루 2:0",2.13,1.4869999999999999,33.8,21.7,0.12
21,2020-09-18,KT,8초,주권,4 김재환,1-1,우익수 홈런,무사 2:4,무사 3:4,1.45,1.0,86.6,74.8,0.11800000000000001
22,2020-08-02,NC,9초,강윤구,3 김재환,2-0,중견수 안타,무사 3:4,무사 1루 3:4,2.87,0.39799999999999996,83.8,72.3,0.115
23,2020-09-26,키움,4말,이승호,4 김재환,0-0,좌익수 3루타,무사 0:0,무사 3루 0:0,1.07,0.927,56.0,67.4,0.114
24,2020-11-20,NC,3말,라이트,4 김재환,1-1,중견수 안타[실책포함],무사 1루 3:3,"무사 2,3루 3:3",1.61,1.099,59.5,70.8,0.113
25,2020-05-20,NC,1말,구창모,4 김재환,1-1,좌익수 2루타,2사 1루 0:0,2사 2루 0:1,0.79,1.093,52.2,63.4,0.111
26,2020-07-25,LG,2말,켈리,4 김재환,0-0,좌익수 홈런,무사 1:0,무사 1:1,0.99,1.0,44.0,55.1,0.111
27,2020-08-25,KIA,6말,김명찬,6 김재환,1-3,좌익수 2루타,무사 4:3,무사 2루 4:3,1.57,0.634,39.2,50.0,0.10800000000000001
28,2020-05-26,SK,8말,김정빈,4 김재환,2-3,좌익수 2루타,"2사 1,2루 3:4",2사 2루 3:6,1.01,1.8780000000000001,86.4,97.2,0.10800000000000001
29,2020-07-07,LG,1말,차우찬,4 김재환,2-2,투수 내야안타[실책포함],"1사 1,3루 0:0","1사 2,3루 0:1",1.8,1.224,61.3,72.1,0.10800000000000001
30,2020-08-12,삼성,3초,최채흥,4 김재환,0-1,중견수 홈런,1사 4:3,1사 5:3,0.62,1.0,40.8,30.2,0.106
31,2020-08-28,NC,3초,김진호,4 김재환,0-0,우익수 홈런,1사 1:0,1사 2:0,0.62,1.0,40.8,30.2,0.106
32,2020-09-29,한화,3초,김진욱,4 김재환,1-1,우익수 홈런,1사 1:0,1사 2:0,0.62,1.0,40.8,30.2,0.106
33,2020-07-21,키움,6말,요키시,4 김재환,1-2,우익수 홈런,2사 2루 0:2,2사 0:4,0.73,1.7730000000000001,84.0,94.5,0.106
34,2020-06-23,SK,1초,김태훈,4 김재환,1-3,우익수 안타,"1사 2,3루 0:0",1사 1루 2:0,1.51,1.1059999999999999,41.5,30.9,0.105
35,2020-11-10,KT,5초,유원상,4 김재환,2-1,중견수 안타,무사 만루 2:1,"무사 1,3루 4:1",1.89,1.4869999999999999,19.8,9.5,0.10300000000000001
36,2020-08-15,KT,3말,김민수,4 김재환,0-1,우익수 안타,"무사 1,2루 0:1","무사 1,3루 0:2",1.6,1.331,75.0,85.3,0.10300000000000001
37,2020-05-12,롯데,4초,송승준,4 김재환,0-1,좌익수 홈런,2사 3루 5:2,2사 7:2,0.82,1.73,18.8,8.6,0.102
38,2020-05-07,LG,1초,정찬헌,4 김재환,0-0,좌익수 2루타,2사 2루 0:0,2사 2루 1:0,1.12,1.0,51.6,41.6,0.1
39,2020-06-16,삼성,8말,우규민,6 김재환,2-3,볼넷,무사 4:3,무사 1루 4:3,2.48,0.39799999999999996,30.4,40.1,0.098
40,2020-11-10,KT,3초,데스파이네,4 김재환,0-3,우익수 안타,"2사 1,3루 1:0","2사 1,2루 2:0",1.74,0.9279999999999999,38.6,29.0,0.096
41,2020-09-19,LG,4말,임찬규,4 김재환,1-0,우익수 홈런,무사 5:2,무사 5:3,0.97,1.0,21.1,30.6,0.095
42,2020-08-14,KT,1말,데스파이네,4 김재환,1-0,좌익수 홈런,2사 0:1,2사 0:2,0.36,1.0,61.4,70.9,0.094
43,2020-05-08,KT,1말,소형준,4 김재환,1-2,우익수 안타,2사 2루 0:0,2사 1루 0:1,1.14,0.907,53.2,62.5,0.09300000000000001
44,2020-07-14,SK,1말,이건욱,4 김재환,0-1,중견수 안타,2사 2루 0:0,2사 1루 0:1,1.14,0.907,53.2,62.5,0.09300000000000001
45,2020-10-13,한화,1말,김이환,4 김재환,2-3,좌익수 안타,2사 2루 0:0,2사 1루 0:1,1.14,0.907,53.2,62.5,0.09300000000000001
46,2020-07-02,키움,1초,조영건,4 김재환,0-0,중견수 안타,2사 2루 0:0,2사 1루 1:0,1.12,0.907,51.6,42.5,0.091
47,2020-08-18,롯데,1초,스트레일리,4 김재환,1-2,2루수 안타,2사 2루 0:0,2사 1루 1:0,1.12,0.907,51.6,42.5,0.091
48,2020-07-07,LG,5말,차우찬,4 김재환,2-2,중견수 안타,1사 2루 3:4,1사 1루 3:5,1.18,0.848,72.9,81.6,0.087
49,2020-06-30,키움,1초,이승호,4 김재환,2-1,1루수 내야안타,2사 3루 0:0,2사 1루 1:0,1.3,0.8640000000000001,51.2,42.5,0.087
50,2020-05-05,LG,4초,차우찬,4 김재환,2-2,우익수 홈런,무사 0:3,무사 1:3,0.88,1.0,81.8,73.3,0.085
51,2020-06-18,삼성,7말,김윤수,4 김재환,2-3,우익수 안타,"1사 2,3루 3:4",1사 1루 3:6,1.28,1.1059999999999999,86.3,94.4,0.081
52,2020-07-16,SK,3말,백승건,4 김재환,0-0,우익수 안타,"2사 1,2루 0:2","2사 1,3루 0:3",1.16,1.072,76.3,84.3,0.08
53,2020-05-31,롯데,8말,진명호,4 김재환,2-3,볼넷,무사 3:1,무사 1루 3:1,1.71,0.39799999999999996,16.2,24.1,0.078
54,2020-08-27,NC,3초,송명기,4 김재환,0-1,우익수 안타,"2사 1,3루 1:4","2사 1,2루 2:4",1.59,0.9279999999999999,79.9,72.1,0.077
55,2020-06-04,KT,3초,김민,4 김재환,1-1,좌익수 안타,"1사 1,2루 3:1","1사 1,2루 4:1",1.49,1.0,25.6,18.0,0.076
56,2020-07-17,KIA,9초,전상현,4 김재환,0-3,볼넷,무사 2:4,무사 1루 2:4,1.5,0.39799999999999996,92.6,85.1,0.075
57,2020-09-01,한화,1말,장시환,4 김재환,2-3,볼넷,무사 만루 0:0,무사 만루 0:1,2.03,1.0,70.7,78.2,0.075
58,2020-09-12,키움,5초,요키시,4 김재환,2-3,좌익수 2루타,무사 0:2,무사 2루 0:2,1.13,0.634,75.5,68.0,0.075
59,2020-08-21,롯데,9말,최준용,4 김재환,2-3,볼넷,무사 0:0,무사 1루 0:0,2.26,0.39799999999999996,63.7,71.1,0.07400000000000001
60,2020-10-07,SK,9초,서진용,4 김재환,1-1,중견수 안타,2사 1루 4:4,"2사 1,3루 4:4",2.32,0.287,57.3,50.0,0.073
61,2020-08-15,KT,9말,이보근,4 김재환,2-3,볼넷,2사 1루 5:4,"2사 1,2루 5:4",3.49,0.215,9.8,17.1,0.073
62,2020-05-27,SK,5말,문승원,4 김재환,0-0,중견수 안타,2사 2루 1:3,2사 1루 1:4,0.8,0.907,80.6,87.6,0.071
63,2020-08-14,KT,8말,주권,4 김재환,2-3,볼넷,1사 3:2,1사 1루 3:2,1.85,0.276,24.0,31.0,0.07
64,2020-09-15,NC,3말,라이트,5 김재환,1-1,우익수 안타,"2사 1,2루 2:3",이닝종료 2:4,1.52,0.534,66.5,73.3,0.069
65,2020-08-29,LG,8초,진해수,4 김재환,1-1,중견수 안타,무사 3:5,무사 1루 3:5,1.45,0.39799999999999996,86.6,79.9,0.067
66,2020-05-22,삼성,3초,임현준,4 김재환,1-1,유격수 내야안타,"1사 1,2루 2:2",1사 만루 2:2,2.2,0.679,45.7,39.1,0.067
