,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-06-17,삼성,6말,김대우,1 백동훈,2-2,우익수 안타,무사 4:1,무사 1루 4:1,1.05,0.39799999999999996,15.8,20.5,0.047
1,2020-08-22,SK,8초,오원석,1 백동훈,2-2,유격수 땅볼 실책[실책포함],"2사 2,3루 5:0",2사 2루 7:0,0.14,1.71,1.6,0.4,0.012
2,2020-06-19,LG,1초,차우찬,8 백동훈,0-0,좌익수 2루타,2사 5:0,2사 2루 5:0,0.15,0.22699999999999998,13.1,12.3,0.008
3,2020-08-22,SK,7초,김주한,1 백동훈,0-1,몸에 맞는 볼,1사 4:0,1사 1루 4:0,0.14,0.276,6.2,5.7,0.006
4,2020-06-19,LG,2초,김대유,8 백동훈,0-1,몸에 맞는 볼,"무사 1,2루 10:1",무사 만루 10:1,0.1,0.8440000000000001,1.5,1.2,0.003
5,2020-08-23,SK,7초,정영일,백동훈,,*무관심도루(백동훈/11084),무사 1루 7:1,무사 2루 7:1,0.09,0.23600000000000002,1.4,1.2,0.002
6,2020-06-25,SK,8초,백승건,1 백동훈,2-3,볼넷,2사 1루 13:6,"2사 1,2루 13:6",0.01,0.215,0.4,0.4,0.0
7,2020-08-23,SK,9초,김주온,4 백동훈,0-0,2루수 내야안타,무사 8:1,무사 1루 8:1,0.01,0.39799999999999996,0.1,0.1,0.0
8,2020-06-04,KT,9초,이상화,9 백동훈,0-0,백동훈/11084 : 중견수 직선타 아웃,무사 14:5,1사 14:5,0.0,-0.258,0.0,0.0,0.0
9,2020-06-20,LG,9초,문광은,4 백동훈,1-0,백동훈/11084 : 우익수 직선타 아웃,"2사 1,3루 8:0",이닝종료 8:0,0.02,-0.5379999999999999,0.0,0.1,-0.0
10,2020-06-23,SK,8초,김택형,3 백동훈,0-0,중견수 뜬공,1사 9:2,2사 9:2,0.01,-0.18,0.4,0.4,-0.0
11,2020-06-19,LG,5초,최동환,8 백동훈,2-3,1루수 땅볼,무사 15:7,1사 15:7,0.04,-0.258,1.2,1.3,-0.001
12,2020-06-19,LG,3초,최동환,8 백동훈,0-1,3루수 땅볼,"1사 1,3루 13:4","2사 1,3루 13:4",0.08,-0.705,1.1,1.4,-0.003
13,2020-06-25,SK,8초,김정빈,1 백동훈,2-1,백동훈/11084 : 삼진 아웃,무사 0:6,1사 0:6,0.14,-0.258,99.2,99.6,-0.004
14,2020-06-11,NC,7초,임정호,3 백동훈,2-1,백동훈/11084 : 삼진 아웃,"1사 1,2루 2:7","2사 1,2루 2:7",0.9,-0.505,95.2,97.2,-0.02
15,2020-06-14,한화,6초,서폴드,2 백동훈,0-0,1루수 땅볼,2사 1루 2:3,이닝종료 2:3,1.33,-0.251,70.5,74.3,-0.038
16,2020-06-14,한화,9초,문동욱,2 백동훈,2-2,유격수 땅볼,1사 2:3,2사 2:3,2.12,-0.18,91.1,96.4,-0.053
17,2020-06-17,삼성,8말,최지광,1 백동훈,2-2,백동훈/11084 : 삼진 아웃,무사 4:3,1사 4:3,2.48,-0.258,30.4,24.0,-0.063
18,2020-08-26,KIA,7말,정해영,4 백동훈,2-0,백동훈/11084 : 삼진 아웃,1사 만루 4:2,2사 만루 4:2,5.07,-0.835,39.9,26.8,-0.131
19,2020-06-16,삼성,8말,우규민,1 백동훈,2-1,중견수 뜬공,"2사 2,3루 4:3",이닝종료 4:3,5.85,-0.634,33.4,16.2,-0.172
