,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,원태인,7,5,4,4,0,0,3,13,7,0,0,2,0,0,0,0,0,0,0.800,0.857,2.600,3.457,1.43,5.92,0.585
1,이대은,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3.47,1.00,0.437
2,최채흥,9,8,2,5,1,0,1,9,4,0,0,1,0,0,0,0,0,0,0.625,0.667,1.125,1.792,1.07,5.41,0.382
3,홍상삼,3,2,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,1.69,1.89,0.321
4,박세웅,12,10,0,4,2,0,0,6,2,0,0,2,0,0,2,0,0,0,0.400,0.500,0.600,1.100,0.95,2.75,0.302
5,김원중,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,2.14,0.88,0.301
6,양현,2,2,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.60,2.09,0.297
7,전상현,4,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.59,1.81,0.201
8,라이트,12,9,1,4,2,0,0,6,1,0,0,3,0,0,1,0,0,0,0.444,0.583,0.667,1.250,0.91,1.56,0.173
9,오원석,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.16,1.72,0.170
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,이민우,10,10,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0.300,0.300,0.300,0.600,1.25,1.31,0.169
