,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,이건욱,9,8,3,3,1,1,1,9,3,0,0,1,0,0,0,0,0,0,0.375,0.444,1.125,1.569,1.13,2.90,0.429
1,김명찬,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,2.53,2.28,0.394
2,라이트,10,9,2,4,1,0,0,5,3,0,0,1,0,0,1,0,0,0,0.444,0.500,0.556,1.056,1.42,3.15,0.382
3,우규민,2,2,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,1.61,1.04,0.307
4,서진용,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,3.32,1.22,0.262
5,요키시,10,10,2,5,0,1,0,7,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.700,1.200,1.06,1.50,0.215
6,이정용,2,2,0,2,1,0,0,3,2,0,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.52,1.08,0.210
7,박세웅,13,13,4,5,0,2,0,9,0,1,0,0,0,0,1,0,0,0,0.385,0.385,0.692,1.077,0.89,1.81,0.196
8,핀토,8,7,1,3,0,0,0,3,3,1,0,1,0,0,1,0,0,0,0.429,0.500,0.429,0.929,1.19,2.35,0.181
9,임찬규,6,4,2,2,0,0,1,5,2,0,0,2,0,0,0,0,0,0,0.500,0.667,1.250,1.917,0.89,1.58,0.174
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,쿠에바스,8,7,1,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.429,0.500,0.429,0.929,1.05,1.85,0.168
12,최성영,6,6,2,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,0.96,0.87,0.126
13,강지광,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1.85,1.48,0.126
14,진해수,4,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.20,1.05,0.125
15,김원중,3,3,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,1.00,0.41,0.120
16,구승민,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,0.750,1.54,0.31,0.118
17,홍상삼,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,1.45,0.43,0.103
18,최채흥,7,7,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.286,0.571,1.01,0.95,0.102
19,박종훈,6,6,2,2,0,1,0,4,2,1,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,1.22,1.18,0.096
20,장지훈,3,2,2,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1.000,1.000,1.500,2.500,0.81,2.27,0.094
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,샘슨,7,5,1,1,0,0,1,4,2,0,1,2,0,0,0,0,0,0,0.200,0.429,0.800,1.229,0.49,1.12,0.093
23,박진형,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.29,0.57,0.090
24,김진성,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.60,2.72,0.090
25,윤대경,3,2,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.98,0.88,0.089
26,원종현,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.58,0.04,0.083
27,스트레일리,5,4,1,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,1.02,1.42,0.081
28,장원삼,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.77,1.03,0.081
29,이영준,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.22,0.47,0.077
30,강동연,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.26,0.40,0.074
31,이대은,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.92,0.40,0.073
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김민,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.87,0.80,0.072
34,김대현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.47,0.63,0.068
35,이재학,4,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,1.68,0.52,0.065
36,고우석,3,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,1.42,0.19,0.057
37,백정현,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.500,0.333,0.500,0.833,1.42,0.16,0.051
38,임정호,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.32,0.22,0.049
39,진명호,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.70,0.67,0.047
40,정해영,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.39,0.28,0.047
41,백승건,4,3,1,3,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.21,0.92,0.047
42,변시원,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.34,0.83,0.042
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,켈리,11,9,2,4,1,0,0,5,2,1,1,1,1,0,1,0,0,0,0.444,0.546,0.556,1.101,0.92,0.53,0.042
45,송은범,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.99,0.40,0.040
46,오원석,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.52,0.90,0.038
47,김재윤,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.76,0.36,0.036
48,원태인,6,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.95,0.10,0.036
49,장시환,6,6,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.82,-0.07,0.032
50,최지광,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.70,0.02,0.031
51,양현종,10,9,2,3,0,0,1,6,2,1,0,1,0,0,1,0,0,0,0.333,0.400,0.667,1.067,0.89,1.08,0.030
52,김이환,4,3,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,0.82,0.30,0.029
53,양기현,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.35,1.14,0.028
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,가뇽,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,1.41,0.21,0.027
56,황동재,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.20,1.89,0.023
57,김영규,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.76,0.54,0.023
58,정찬헌,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.09,0.14,0.022
59,고영창,3,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.24,0.57,0.022
60,조상우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.39,0.22,0.021
61,김민수,5,5,2,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,0.55,1.40,0.017
62,박민호,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.88,0.12,0.017
63,장웅정,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.80,0.22,0.017
64,이준영,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.80,0.41,0.016
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,뷰캐넌,5,4,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0.250,0.400,0.250,0.650,0.78,-0.41,0.015
67,여건욱,1,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.14,2.57,0.011
68,최영환,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.17,0.63,0.010
69,이승민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.23,0.84,0.009
70,문동욱,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.17,0.60,0.009
71,김현수,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.13,0.02,0.007
72,조영우,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.36,0.05,0.007
73,이승현,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.46,0.22,0.003
74,김주온,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.02,1.40,0.001
75,황인준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.02,0.28,0.001
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,홍정우,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,0.40,0.001
78,김건국,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.03,0.35,0.000
79,양승철,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.06,-0.79,0.000
80,박주홍,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.12,0.000
81,최성훈,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.47,0.000
82,정우람,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.39,0.06,0.000
83,이원준,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.01,1.00,0.000
84,황영국,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,0.01,0.000
85,권오준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.12,0.000
86,서균,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.13,0.000
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,강동호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.32,0.000
89,박진태,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.00,0.43,0.000
90,김진호,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.74,0.03,0.000
91,박주성,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.26,-0.001
92,송승준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.25,-0.001
93,김현준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.60,-0.001
94,서동민,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,-0.13,-0.001
95,박정수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.82,-0.001
96,장민재,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.25,-0.21,-0.001
97,소이현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.18,-0.001
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,안영명,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.12,-0.002
100,김선기,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.38,-0.002
101,문경찬,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-0.34,-0.002
102,하준호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.21,-0.33,-0.002
103,문광은,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.06,0.82,-0.002
104,윤희상,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.26,-0.002
105,배민서,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.04,0.05,-0.002
106,김윤식,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.09,-0.12,-0.002
107,손동현,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0.10,-0.46,-0.003
