,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-09-03,삼성,8말,홍건희,박해민,,*견제사(박해민/11190),무사 2루 10:9,1사 10:9,3.23,-0.892,47.7,24.0,-0.23600000000000002
1,2020-08-02,NC,10말,홍건희,3 나성범,0-0,유격수 병살타,"1사 1,2루 4:4",이닝종료 4:4,4.3,-0.971,70.8,50.0,-0.20800000000000002
2,2020-08-21,롯데,9초,홍건희,6 안치홍,2-1,좌익수 뜬공,"2사 2,3루 0:0",이닝종료 0:0,4.99,-0.634,49.1,63.7,-0.146
3,2020-06-26,NC,6초,홍건희,4 양의지,1-2,유격수 병살타,"1사 1,2루 2:3",이닝종료 2:3,3.23,-0.971,59.9,74.3,-0.14300000000000002
4,2020-09-19,LG,7초,홍건희,6 이천웅,2-3,1루수 병살타,무사 1루 6:6,2사 6:6,2.42,-0.836,44.1,56.8,-0.127
5,2020-07-31,NC,8말,홍건희,9 권희동,2-2,권희동/11172 : 삼진 아웃,"무사 2,3루 7:5","1사 2,3루 7:5",3.73,-0.585,46.3,33.9,-0.124
6,2020-07-25,LG,7초,홍건희,9 정주현,2-1,정주현/10480 : 삼진 아웃,"1사 2,3루 3:5","2사 2,3루 3:5",2.76,-0.833,68.4,79.7,-0.113
7,2020-08-14,KT,11초,홍건희,8 천성호,0-1,유격수 땅볼,2사 2루 3:3,이닝종료 3:3,3.66,-0.344,53.4,63.7,-0.10300000000000001
8,2020-06-26,NC,7초,홍건희,7 박석민,1-1,3루수 병살타,1사 1루 2:3,이닝종료 2:3,2.31,-0.573,69.0,79.1,-0.10099999999999999
9,2020-07-19,KIA,8말,홍건희,6 유민상,1-2,유격수 병살타,1사 1루 6:4,이닝종료 6:4,2.34,-0.573,17.2,7.4,-0.098
10,2020-07-25,LG,7초,홍건희,1 홍창기,2-1,2루수 땅볼,"2사 2,3루 3:5",이닝종료 3:5,3.11,-0.634,79.7,89.0,-0.09300000000000001
11,2020-08-14,KT,11초,홍건희,7 송민섭,2-2,중견수 뜬공,1사 2루 3:3,2사 2루 3:3,3.27,-0.381,44.2,53.4,-0.092
12,2020-08-01,NC,8말,홍건희,2 나성범,0-2,좌익수 뜬공,"2사 1,3루 8:6",이닝종료 8:6,3.32,-0.5379999999999999,16.6,7.4,-0.092
13,2020-06-21,LG,9말,홍건희,8 홍창기,2-2,홍창기/12546 : 삼진 아웃,"2사 1,2루 3:1",이닝종료 3:1,3.53,-0.466,9.0,0.0,-0.09
14,2020-10-07,SK,8말,홍건희,김민준,,*견제사(김민준/11131),1사 1루 4:4,2사 4:4,2.37,-0.456,60.7,52.6,-0.081
