,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-26,KIA,8말,정해영,6 서예일,1-2,중견수 안타,무사 4:2,무사 1루 4:2,1.71,0.39799999999999996,16.2,24.1,0.078
1,2020-09-09,KT,7말,데스파이네,9 서예일,0-0,중견수 2루타,1사 2:2,1사 2루 2:2,1.15,0.428,54.9,62.4,0.07400000000000001
2,2020-06-16,삼성,3말,백정현,9 서예일,2-3,중견수 2루타,1사 0:0,1사 2루 0:0,0.72,0.428,53.0,57.6,0.046
3,2020-08-26,KIA,8말,정해영,서예일,,*폭투,무사 2루 4:2,무사 3루 4:2,2.7,0.293,26.9,30.9,0.04
4,2020-08-26,KIA,8말,정해영,서예일,,*실책진루(투수)[실책포함],무사 1루 4:2,무사 2루 4:2,3.05,0.23600000000000002,24.1,26.9,0.028999999999999998
5,2020-09-04,삼성,9초,장필준,9 서예일,1-0,유격수 내야안타,1사 5:12,1사 1루 5:12,0.01,0.276,100.0,99.9,0.001
6,2020-06-12,한화,9초,박상원,4 서예일,0-1,3루수 땅볼 실책[실책포함],2사 5:0,2사 1루 5:0,0.02,0.134,0.7,0.7,0.0
7,2020-08-23,SK,9초,김주온,7 서예일,1-3,볼넷,2사 1루 8:1,"2사 1,2루 8:1",0.01,0.215,0.1,0.1,0.0
8,2020-08-28,NC,8초,김건태,8 서예일,1-1,좌익수 안타,1사 1루 11:2,"1사 1,2루 11:2",0.0,0.39799999999999996,0.1,0.1,0.0
9,2020-09-08,KT,8말,유원상,8 서예일,0-0,우익수 안타,1사 0:7,1사 1루 0:7,0.0,0.276,99.9,99.9,0.0
10,2020-06-19,LG,9초,김대현,2 서예일,0-0,우익수 뜬공,"무사 1,2루 18:10","1사 1,3루 18:10",0.0,-0.33,0.0,0.0,0.0
11,2020-08-22,SK,9초,서동민,6 서예일,2-3,볼넷,2사 8:1,2사 1루 8:1,0.0,0.134,0.1,0.1,0.0
12,2020-10-08,SK,9초,김주온,2 서예일,1-1,3루수 땅볼,"2사 1,2루 10:0",이닝종료 10:0,0.0,-0.466,0.0,0.0,0.0
13,2020-10-15,한화,6말,황영국,2 서예일,2-3,볼넷,2사 1루 1:13,"2사 1,2루 1:13",0.0,0.215,100.0,100.0,0.0
14,2020-10-15,한화,8말,정우람,2 서예일,2-2,서예일/12523 : 삼진 아웃,1사 2루 2:15,2사 2루 2:15,0.0,-0.381,100.0,100.0,0.0
15,2020-06-23,SK,9초,이태양,1 서예일,2-2,서예일/12523 : 삼진 아웃,1사 만루 9:2,2사 만루 9:2,0.01,-0.835,0.1,0.1,-0.0
16,2020-06-10,NC,8초,배민서,9 서예일,0-1,1루수 땅볼,2사 1루 8:1,이닝종료 8:1,0.01,-0.251,0.4,0.5,-0.0
17,2020-09-04,삼성,8초,심창민,9 서예일,2-0,서예일/12523 : 삼진 아웃,무사 1루 1:11,1사 1루 1:11,0.02,-0.38,99.9,100.0,-0.0
18,2020-10-08,SK,9초,김주온,2 서예일,0-0,3루수 땅볼,무사 5:0,1사 5:0,0.02,-0.258,0.6,0.7,-0.001
19,2020-09-04,삼성,5초,뷰캐넌,9 서예일,2-0,서예일/12523 : 삼진 아웃,2사 1:9,이닝종료 1:9,0.03,-0.11699999999999999,99.3,99.4,-0.001
20,2020-08-23,SK,7초,정영일,7 서예일,2-1,우익수 뜬공,1사 2루 8:1,2사 2루 8:1,0.04,-0.381,0.7,0.9,-0.001
21,2020-08-30,LG,9초,고우석,5 서예일,2-1,서예일/12523 : 삼진 아웃,2사 1:4,이닝종료 1:4,0.14,-0.11699999999999999,99.6,100.0,-0.004
22,2020-08-30,LG,7초,송은범,5 서예일,2-2,2루수 땅볼,2사 0:3,이닝종료 0:3,0.32,-0.11699999999999999,93.5,94.3,-0.008
23,2020-09-04,삼성,3초,뷰캐넌,9 서예일,2-1,서예일/12523 : 삼진 아웃,무사 1:7,1사 1:7,0.37,-0.258,94.2,95.1,-0.009000000000000001
24,2020-06-17,삼성,5말,김대우,9 서예일,2-1,서예일/12523 : 삼진 아웃,2사 4:1,이닝종료 4:1,0.4,-0.11699999999999999,14.4,13.4,-0.01
25,2020-08-27,NC,5초,송명기,9 서예일,0-0,서예일/12523 : 1루수 직선타 아웃,무사 2:7,1사 2:7,0.46,-0.258,93.9,95.1,-0.012
26,2020-08-30,LG,4초,켈리,5 서예일,2-2,서예일/12523 : 2루수 직선타 아웃,2사 0:1,이닝종료 0:1,0.51,-0.11699999999999999,67.4,68.8,-0.013000000000000001
27,2020-08-27,NC,3초,송명기,9 서예일,2-2,중견수 뜬공,무사 1:4,1사 1:4,0.84,-0.258,79.9,82.0,-0.021
28,2020-06-17,삼성,3말,김대우,9 서예일,2-1,중견수 뜬공,무사 1:0,1사 1:0,1.08,-0.258,43.4,40.7,-0.027000000000000003
29,2020-08-26,KIA,9말,전상현,6 서예일,0-0,중견수 희생플라이,1사 3루 7:4,2사 7:5,1.3,0.134,4.9,1.5,-0.034
30,2020-06-14,한화,8초,황영국,8 서예일,2-3,우익수 뜬공,1사 2:3,2사 2:3,1.57,-0.18,80.3,84.2,-0.039
