,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,이재학,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.36,2.10,0.268
1,황동재,2,1,1,1,0,0,1,4,4,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.37,3.33,0.200
2,김종수,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1.10,1.00,0.104
3,조영건,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,2.54,1.00,0.087
4,켈리,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.69,0.78,0.084
5,김성민,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,2.32,0.40,0.082
6,한현희,2,2,0,2,2,0,0,4,5,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.52,3.81,0.075
7,요키시,4,4,1,2,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,1.01,0.34,0.065
8,김민,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.81,2.07,0.062
9,구승민,3,3,1,2,0,0,1,5,2,0,1,0,0,0,1,0,0,0,0.667,0.667,1.667,2.333,1.30,1.45,0.037
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,라이블리,2,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,1.05,0.17,0.029
12,채드벨,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,2.95,0.15,0.029
13,원종현,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.92,-0.16,0.026
14,백승건,2,2,1,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.41,0.57,0.026
15,박세웅,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.43,0.13,0.021
16,강동연,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.25,1.07,0.020
17,송승준,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.15,1.41,0.019
18,최영환,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.27,0.88,0.016
19,배재환,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.10,-0.16,0.016
20,최성훈,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.27,0.07,0.015
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,강윤구,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.74,0.27,0.014
23,노경은,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,0.65,0.16,0.010
24,장지훈,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.20,-0.11,0.010
25,서준원,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.400,0.800,0.55,-0.37,0.009
26,문동욱,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.17,0.28,0.009
27,김진욱,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.49,0.14,0.008
28,김기훈,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,1.16,-0.11,0.008
