,날짜,상대,이닝,투수,타자,P,결과,이전상황,이후상황,LEV,REa,WPs,WPe,WPa
0,2020-08-20,롯데,8말,박진형,9 장승현,0-1,좌익수 안타,1사 4:3,1사 1루 4:3,1.85,0.276,24.0,31.0,0.07
1,2020-10-10,KT,4초,김민수,9 장승현,1-2,좌익수 2루타,1사 2루 5:2,1사 2루 6:2,0.7,1.0,17.1,11.2,0.059000000000000004
2,2020-09-27,키움,3말,윤정현,8 장승현,2-3,볼넷,무사 0:0,무사 1루 0:0,0.99,0.39799999999999996,55.5,59.5,0.04
3,2020-10-10,KT,5초,하준호,9 장승현,0-0,우익수 2루타,"2사 1,3루 8:2",2사 2루 10:2,0.24,1.806,3.6,1.2,0.024
4,2020-10-10,KT,7초,류희운,9 장승현,0-0,우익수 2루타,무사 12:6,무사 2루 12:6,0.06,0.634,1.6,1.2,0.004
5,2020-07-24,LG,8말,이정용,9 장승현,1-0,중견수 안타,1사 8:0,1사 1루 8:0,0.02,0.276,0.1,0.2,0.001
6,2020-10-08,SK,9초,김주온,6 장승현,0-1,몸에 맞는 볼,"1사 1,3루 6:0",1사 만루 6:0,0.03,0.40700000000000003,0.2,0.2,0.0
7,2020-07-01,키움,9초,양현,8 장승현,2-1,2루수 땅볼,1사 14:1,2사 14:1,0.0,-0.18,0.0,0.0,0.0
8,2020-07-10,롯데,9초,강동호,8 장승현,2-0,3루수 병살타,1사 1루 10:1,이닝종료 10:1,0.0,-0.573,0.0,0.0,0.0
9,2020-10-15,한화,7말,서균,7 장승현,1-1,3루수 병살타,무사 1루 1:15,2사 1:15,0.0,-0.836,100.0,100.0,0.0
10,2020-10-22,KT,8말,하준호,6 장승현,2-3,장승현/11097 : 삼진 아웃,1사 2루 17:3,2사 2루 17:3,0.01,-0.381,0.0,0.0,-0.0
11,2020-07-14,SK,8말,정영일,8 장승현,2-0,장승현/11097 : 삼진 아웃,무사 12:3,1사 12:3,0.01,-0.258,0.1,0.1,-0.001
12,2020-10-10,KT,8초,류희운,9 장승현,2-2,장승현/11097 : 삼진 아웃,"2사 1,3루 13:6",이닝종료 13:6,0.03,-0.5379999999999999,0.4,0.5,-0.001
13,2020-07-14,SK,9말,이원준,8 장승현,0-1,1루수 파울 뜬공,1사 2루 12:5,2사 2루 12:5,0.04,-0.381,0.1,0.0,-0.001
14,2020-10-23,키움,9말,김상수,7 장승현,2-2,장승현/11097 : 삼진 아웃,2사 6:2,이닝종료 6:2,0.06,-0.11699999999999999,0.2,0.0,-0.002
15,2020-10-17,키움,5초,이승호,9 장승현,2-1,장승현/11097 : 삼진 아웃,2사 2:0,이닝종료 2:0,0.34,-0.11699999999999999,27.5,28.4,-0.009000000000000001
16,2020-07-04,한화,8말,문동욱,8 장승현,1-2,중견수 뜬공,1사 1루 6:1,2사 1루 6:1,0.39,-0.322,2.1,1.1,-0.01
17,2020-07-30,키움,3말,최원태,9 장승현,2-1,장승현/11097 : 삼진 아웃,1사 4:0,2사 4:0,0.51,-0.18,14.0,12.7,-0.013000000000000001
18,2020-10-22,KT,6말,유원상,6 장승현,0-0,좌익수 뜬공,무사 1루 9:3,1사 1루 9:3,0.58,-0.38,4.4,3.1,-0.013000000000000001
19,2020-07-30,키움,5말,최원태,9 장승현,0-0,3루수 땅볼,무사 7:2,1사 7:2,0.53,-0.258,7.2,5.8,-0.013999999999999999
20,2020-10-17,키움,2초,이승호,9 장승현,0-1,우익수 뜬공,2사 3루 2:0,이닝종료 2:0,1.07,-0.387,30.8,33.7,-0.03
21,2020-10-10,KT,2초,쿠에바스,9 장승현,0-0,우익수 뜬공,2사 3루 2:1,이닝종료 2:1,1.27,-0.387,40.6,44.0,-0.035
